mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	19	19	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	76
6	6	20	20	2.0	0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	94
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	91
6	6	20	20	2.0	0	0	4/4	1	2	1/2	1/2	1		8	68	G#4	4	88
6	6	20	20	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	85
6	6	22	22	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	95
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	92
6	6	22	22	1.5	1/2	1/2	4/4	1	2	3/8	1/4	3/2		6	66	F#4	4	89
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	86
6	6	23	23	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	56	G#3	3	96
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	93
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	87
6	6	47/2	47/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	90
7	7	24	24	0.5	0	0	4/4	2	2	1/8	1/8	1		3	57	A3	3	115
7	7	24	24	1.5	0	0	4/4	2	1	3/8	1/4	3/2		3	57	A3	3	108
7	7	24	24	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	101
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	97
7	7	49/2	49/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	116
7	7	49/2	49/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	102
7	7	25	25	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		9	51	D#3	3	117
7	7	25	25	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	103
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	98
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		11	53	E#3	3	118
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	109
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	104
7	7	26	26	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		6	54	F#3	3	119
7	7	26	26	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61	C#4	4	110
7	7	26	26	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		8	68	G#4	4	105
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	99
7	7	53/2	53/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	120
7	7	53/2	53/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		12	60	B#3	3	111
7	7	53/2	53/2	1.0	5/8	5/8	4/4	1	2	1/4	1/4	1		6	66	F#4	4	106
7	7	107/4	107/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		7	61	C#4	4	112
7	7	27	27	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		12	48	B#2	2	121
7	7	27	27	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		9	63	D#4	4	113
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	100
