mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
6	5	17	17	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	89
6	5	18	18	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		2	50	D3	3	99
6	5	18	18	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		2	62	D4	4	95
6	5	18	18	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	92
6	5	37/2	37/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	96
6	5	19	19	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		1	43	G2	2	100
6	5	19	19	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		5	59	B3	3	97
6	5	19	19	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		2	62	D4	4	93
6	5	19	19	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		1	67	G4	4	90
7	5	20	20	1.0	0	3/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	104
7	5	20	20	1.0	0	3/4	4/4	2	1	1/4		1/4	1		2	62	D4	4	103
7	5	20	20	1.0	0	3/4	4/4	1	2	1/4		1/4	1		1	67	G4	4	102
7	5	20	20	1.0	0	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	101
8	6	21	21	0.5	0	0	4/4	2	2	1/8		1/8	1		6	54	F#3	3	123
8	6	21	21	1.0	0	0	4/4	2	1	1/4		1/4	1		2	62	D4	4	117
8	6	21	21	0.5	0	0	4/4	1	2	1/8		1/8	1		3	69	A4	4	111
8	6	21	21	1.0	0	0	4/4	1	1	1/4		1/4	1		3	69	A4	4	105
8	6	43/2	43/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		2	50	D3	3	124
8	6	43/2	43/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	112
8	6	22	22	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	125
8	6	22	22	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		2	62	D4	4	118
8	6	22	22	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		1	67	G4	4	113
8	6	22	22	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	106
8	6	45/2	45/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		7	61	C#4	4	119
8	6	45/2	45/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	114
8	6	45/2	45/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		1	67	G4	4	107
8	6	23	23	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		2	50	D3	3	126
8	6	23	23	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		2	62	D4	4	120
8	6	23	23	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	115
8	6	23	23	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	A4	4	108
8	6	47/2	47/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	127
8	6	24	24	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		2	50	D3	3	128
8	6	24	24	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		8	56	G#3	3	121
8	6	24	24	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	116
8	6	24	24	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	109
8	6	49/2	49/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		0	48	C3	3	129
8	6	49/2	49/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	122
8	6	49/2	49/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	110
9	7	25	25	1.0	0	0	4/4	2	2	1/4		1/4	1		5	47	B2	2	147
9	7	25	25	0.5	0	0	4/4	2	1	1/8		1/8	1		3	57	A3	3	141
9	7	25	25	1.0	0	0	4/4	1	2	1/4		1/4	1		2	62	D4	4	136
9	7	25	25	1.0	0	0	4/4	1	1	1/4		1/4	1		2	74	D5	5	130
9	7	51/2	51/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	142
9	7	26	26	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		4	52	E3	3	148
9	7	26	26	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	143
9	7	26	26	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	137
9	7	26	26	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	C5	5	131
9	7	53/2	53/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	132
9	7	27	27	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		3	57	A3	3	144
9	7	27	27	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		3	57	A3	3	149
9	7	27	27	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		4	64	E4	4	138
9	7	27	27	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		0	72	C5	5	133
9	7	55/2	55/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	145
9	7	55/2	55/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		2	62	D4	4	139
9	7	55/2	55/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	134
9	7	28	28	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		3	45	A2	2	150
9	7	28	28	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	146
9	7	28	28	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	140
9	7	28	28	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		3	69	A4	4	135
10	8	30	30	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		3	57	A3	3	162
10	8	30	30	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	159
10	8	30	30	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	155
10	8	30	30	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	151
10	8	31	31	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		5	59	B3	3	163
10	8	31	31	1.5	1/2	1/2	4/4	2	1	3/8		1/4	3/2		5	59	B3	3	160
10	8	31	31	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		9	63	D#4	4	156
10	8	31	31	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		6	66	F#4	4	152
10	8	63/2	63/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		0	60	C4	4	164
10	8	63/2	63/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	157
10	8	32	32	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		5	59	B3	3	165
10	8	32	32	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	158
10	8	32	32	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		4	76	E5	5	153
10	8	65/2	65/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		3	57	A3	3	166
10	8	65/2	65/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	161
10	8	65/2	65/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		9	75	D#5	5	154
11	9	33	33	0.5	0	0	4/4	2	2	1/8		1/8	1		1	55	G3	3	190
11	9	33	33	0.5	0	0	4/4	2	1	1/8		1/8	1		5	59	B3	3	183
11	9	33	33	0.5	0	0	4/4	1	2	1/8		1/8	1		4	64	E4	4	175
11	9	33	33	0.5	0	0	4/4	1	1	1/8		1/8	1		4	76	E5	5	167
11	9	67/2	67/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	191
11	9	67/2	67/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	184
11	9	67/2	67/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	176
11	9	67/2	67/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		2	74	D5	5	168
11	9	34	34	0.5	1/4	1/4	4/4	2	2	1/8		1/8	1		4	52	E3	3	192
11	9	34	34	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		1	55	G3	3	185
11	9	34	34	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		1	67	G4	4	177
11	9	34	34	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	C5	5	169
11	9	69/2	69/2	0.5	3/8	3/8	4/4	2	2	1/8		1/8	1		2	50	D3	3	193
11	9	69/2	69/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		8	56	G#3	3	186
11	9	69/2	69/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		-1	65	F4	4	178
11	9	69/2	69/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	170
11	9	35	35	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		0	48	C3	3	194
11	9	35	35	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		3	57	A3	3	187
11	9	35	35	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		4	64	E4	4	179
11	9	35	35	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		3	69	A4	4	171
11	9	71/2	71/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		5	47	B2	2	195
11	9	71/2	71/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	188
11	9	71/2	71/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		1	79	G5	5	172
11	9	36	36	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		3	45	A2	2	196
11	9	36	36	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	189
11	9	36	36	0.5	3/4	3/4	4/4	1	2	1/8		1/8	1		3	69	A4	4	180
11	9	36	36	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5	173
11	9	73/2	73/2	0.25	7/8	7/8	4/4	1	2	1/16		1/16	1		5	71	B4	4	181
11	9	73/2	73/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		4	76	E5	5	174
11	9	147/4	147/4	0.25	15/16	15/16	4/4	1	2	1/16		1/16	1		0	72	C5	5	182
12	10	37	37	1.0	0	0	4/4	2	2	1/4		1/4	1		5	47	B2	2	208
12	10	37	37	1.0	0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	205
12	10	37	37	0.5	0	0	4/4	1	2	1/8		1/8	1		6	66	F#4	4	201
12	10	37	37	0.5	0	0	4/4	1	1	1/8		1/8	1		9	75	D#5	5	197
12	10	75/2	75/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	202
12	10	75/2	75/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		7	73	C#5	5	198
12	10	38	38	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		5	47	B2	2	209
12	10	38	38	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		6	54	F#3	3	206
12	10	38	38	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		9	63	D#4	4	203
12	10	38	38	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	199
12	10	40	40	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		8	56	G#3	3	210
12	10	40	40	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	207
