mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
3	3	10	10	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		0	48	C3	3		107
3	3	10	10	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		4	52	E3	3		109
3	3	10	10	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		1	67	G4	4		97
3	3	10	10	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		1	67	G4	4		105
3	3	10	10	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		0	72	C5	5		95
3	3	10	10	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		0	72	C5	5		103
3	3	10	10	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		4	76	E5	5		85
3	3	10	10	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		4	76	E5	5		87
3	3	10	10	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		4	76	E5	5		89
3	3	10	10	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		4	76	E5	5		91
3	3	10	10	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		4	76	E5	5		93
3	3	10	10	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		4	76	E5	5		99
3	3	10	10	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		4	76	E5	5		101
3	3	11	11	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		0	72	C5	5		81
3	3	11	11	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		4	76	E5	5		78
4	4	12	12	1.0		0	0	4/4	14	1	1/4		1/4	1		1	43	G2	2		138
4	4	12	12	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		1	43	G2	2		122
4	4	12	12	1.0		0	0	4/4	13	1	1/4		1/4	1		1	55	G3	3		136
4	4	12	12	4.0		0	0	4/4	12	2	1		1	1		1	55	G3	3		135
4	4	12	12	4.0		0	0	4/4	9	1	1		1	1		1	67	G4	4		130
4	4	12	12	4.0		0	0	4/4	12	1	1		1	1		1	67	G4	4		134
4	4	12	12	0.5		0	0	4/4	1	2	1/8		1/8	1		5	71	B4	4		117
4	4	12	12	4.0		0	0	4/4	8	2	1		1	1		5	71	B4	4		129
4	4	12	12	4.0		0	0	4/4	11	2	1		1	1		5	71	B4	4		133
4	4	12	12	0.5		0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5		112
4	4	12	12	4.0		0	0	4/4	3	1	1		1	1		2	74	D5	5		124
4	4	12	12	4.0		0	0	4/4	4	1	1		1	1		2	74	D5	5		125
4	4	12	12	4.0		0	0	4/4	5	1	1		1	1		2	74	D5	5		126
4	4	12	12	4.0		0	0	4/4	6	1	1		1	1		2	74	D5	5		127
4	4	12	12	4.0		0	0	4/4	7	1	1		1	1		2	74	D5	5		128
4	4	12	12	4.0		0	0	4/4	10	1	1		1	1		2	74	D5	5		131
4	4	12	12	4.0		0	0	4/4	11	1	1		1	1		2	74	D5	5		132
4	4	25/2	25/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		118
4	4	25/2	25/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		113
4	4	13	13	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		1	67	G4	4		119
4	4	13	13	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		5	71	B4	4		114
4	4	14	14	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		1	43	G2	2		123
4	4	14	14	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		5	47	B2	2		139
4	4	14	14	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		5	59	B3	3		137
4	4	15	15	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		1	67	G4	4		120
4	4	15	15	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		115
4	4	31/2	31/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		121
4	4	31/2	31/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		116
5	5	16	16	1.0		0	0	4/4	14	1	1/4		1/4	1		8	44	G#2	2	2.0	152
5	5	16	16	1.0		0	0	4/4	13	1	1/4		1/4	1		8	56	G#3	3	12.0	150
5	5	16	16	0.5		0	0	4/4	1	2	1/8		1/8	1		5	71	B4	4		145
5	5	16	16	0.5		0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5		140
5	5	33/2	33/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		0	72	C5	5		146
5	5	33/2	33/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		141
5	5	17	17	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		2	74	D5	5		147
5	5	17	17	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		-1	77	F5	5		142
5	5	18	18	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		4	40	E2	2		153
5	5	18	18	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		4	52	E3	3		151
5	5	19	19	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		0	72	C5	5		148
5	5	19	19	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		4	76	E5	5		143
5	5	39/2	39/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		5	71	B4	4		149
5	5	39/2	39/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		2	74	D5	5		144
6	6	20	20	1.0		0	0	4/4	14	1	1/4		1/4	1		3	45	A2	2		168
6	6	20	20	1.0		0	0	4/4	13	1	1/4		1/4	1		3	57	A3	3		166
6	6	20	20	1.0		0	0	4/4	1	2	1/4		1/4	1		3	69	A4	4		160
6	6	20	20	1.0		0	0	4/4	1	1	1/4		1/4	1		0	72	C5	5		154
6	6	21	21	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		161
6	6	21	21	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		155
6	6	43/2	43/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4		162
6	6	43/2	43/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		156
6	6	22	22	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		6	42	F#2	2		169
6	6	22	22	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		6	54	F#3	3		167
6	6	22	22	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		3	69	A4	4		163
6	6	22	22	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		0	72	C5	5		157
6	6	23	23	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		5	71	B4	4		164
6	6	23	23	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		158
6	6	47/2	47/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		165
6	6	47/2	47/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		159
7	7	24	24	1.0		0	0	4/4	14	1	1/4		1/4	1		1	43	G2	2		198
7	7	24	24	1.0		0	0	4/4	13	1	1/4		1/4	1		1	55	G3	3		196
7	7	24	24	0.5		0	0	4/4	1	2	1/8		1/8	1		1	67	G4	4		175
7	7	24	24	0.5		0	0	4/4	1	1	1/8		1/8	1		5	71	B4	4		170
7	7	49/2	49/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		180
7	7	49/2	49/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		176
7	7	49/2	49/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		171
7	7	25	25	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		2	50	D3	3		181
7	7	25	25	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		5	71	B4	4		177
7	7	25	25	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		2	74	D5	5		172
7	7	51/2	51/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		182
7	7	26	26	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		1	31	G1	1		199
7	7	26	26	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		1	43	G2	2		197
7	7	26	26	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		183
7	7	26	26	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		1	55	G3	3		195
7	7	26	26	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		2	62	D4	4		190
7	7	26	26	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		2	62	D4	4		194
7	7	26	26	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		1	67	G4	4		189
7	7	26	26	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		1	67	G4	4		193
7	7	26	26	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		5	71	B4	4		184
7	7	26	26	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		5	71	B4	4		185
7	7	26	26	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		5	71	B4	4		186
