mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
20	19	72	76	0.5		0	0	4/4	1	2	1/8		1/8	1		3	69	A4	4		566
20	19	72	76	2.0		0	0	4/4	3	1	1/2		1/2	1		3	69	A4	4		573
20	19	72	76	2.0		0	0	4/4	4	1	1/2		1/2	1		3	69	A4	4		574
20	19	72	76	2.0		0	0	4/4	5	1	1/2		1/2	1		3	69	A4	4		575
20	19	72	76	2.0		0	0	4/4	6	1	1/2		1/2	1		3	69	A4	4		576
20	19	72	76	2.0		0	0	4/4	7	1	1/2		1/2	1		3	69	A4	4		577
20	19	72	76	2.0		0	0	4/4	8	2	1/2		1/2	1		3	69	A4	4		578
20	19	72	76	2.0		0	0	4/4	10	1	1/2		1/2	1		3	69	A4	4		580
20	19	72	76	2.0		0	0	4/4	11	1	1/2		1/2	1		3	69	A4	4		581
20	19	72	76	2.0		0	0	4/4	11	2	1/2		1/2	1		3	69	A4	4		582
20	19	72	76	0.5		0	0	4/4	1	1	1/8		1/8	1		6	78	F#5	5		561
20	19	145/2	153/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		567
20	19	145/2	153/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		562
20	19	73	77	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		3	69	A4	4		568
20	19	73	77	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		2	74	D5	5		563
20	19	74	78	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		6	42	F#2	2		588
20	19	74	78	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		2	50	D3	3		572
20	19	74	78	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		6	54	F#3	3		586
20	19	75	79	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		569
20	19	75	79	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		564
20	19	151/2	159/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		570
20	19	151/2	159/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		565
21	20	76	80	1.0		0	0	4/4	14	1	1/4		1/4	1		9	39	D#2	2	3.0	607
21	20	76	80	1.0		0	0	4/4	13	1	1/4		1/4	1		9	51	D#3	3	3.0	605
21	20	76	80	0.5		0	0	4/4	1	2	1/8		1/8	1		3	69	A4	4		597
21	20	76	80	0.5		0	0	4/4	1	1	1/8		1/8	1		6	78	F#5	5		589
21	20	153/2	161/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		598
21	20	153/2	161/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		590
21	20	77	81	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		599
21	20	77	81	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5		591
21	20	155/2	163/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		5	71	B4	4		600
21	20	155/2	163/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		1	79	G5	5		592
21	20	78	82	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		5	35	B1	1		608
21	20	78	82	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		5	47	B2	2		606
21	20	78	82	0.5		1/2	1/2	4/4	1	2	1/8		1/8	1		3	69	A4	4		601
21	20	78	82	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		6	78	F#5	5		593
21	20	157/2	165/2	0.5		5/8	5/8	4/4	1	2	1/8		1/8	1		5	71	B4	4		602
21	20	157/2	165/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		1	79	G5	5		594
21	20	79	83	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		603
21	20	79	83	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5		595
21	20	159/2	167/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		5	71	B4	4		604
21	20	159/2	167/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		1	79	G5	5		596
22	21	80	84	1.0		0	0	4/4	14	1	1/4		1/4	1		4	40	E2	2		622
22	21	80	84	1.0		0	0	4/4	13	1	1/4		1/4	1		4	52	E3	3		620
22	21	80	84	1.0		0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4		615
22	21	80	84	1.0		0	0	4/4	1	1	1/4		1/4	1		4	76	E5	5		609
22	21	81	85	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		1	67	G4	4		616
22	21	81	85	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		4	76	E5	5		610
22	21	163/2	171/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4		617
22	21	163/2	171/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		9	75	D#5	5		611
22	21	82	86	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		7	37	C#2	2		623
22	21	82	86	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		7	49	C#3	3		621
22	21	82	86	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		1	67	G4	4		618
22	21	82	86	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		4	76	E5	5		612
22	21	83	87	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		3	69	A4	4		619
22	21	83	87	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5		613
22	21	167/2	175/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		614
23	22	84	88	1.0		0	0	4/4	14	1	1/4		1/4	1		6	42	F#2	2		632
23	22	84	88	1.0		0	0	4/4	13	1	1/4		1/4	1		6	54	F#3	3		630
23	22	84	88	4.0		0	0	4/4	1	2	1		1	1	1	3	69	A4	4		629
23	22	84	88	0.5		0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5		624
23	22	169/2	177/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		625
23	22	85	89	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		6	78	F#5	5		626
23	22	86	90	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		2	38	D2	2		633
23	22	86	90	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		2	50	D3	3		631
23	22	87	91	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		4	76	E5	5		627
23	22	175/2	183/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		2	74	D5	5		628
24	23	88	92	1.0		0	0	4/4	14	1	1/4		1/4	1		3	45	A2	2		658
24	23	88	92	1.0		0	0	4/4	13	1	1/4		1/4	1		3	57	A3	3		656
24	23	88	92	2.0		0	0	4/4	1	2	1/2		1/2	1	-1	3	69	A4	4		639
24	23	88	92	0.5		0	0	4/4	1	1	1/8		1/8	1		7	73	C#5	5		634
24	23	177/2	185/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		635
24	23	89	93	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		7	73	C#5	5		636
24	23	90	94	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		6	42	F#2	2		659
24	23	90	94	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		6	54	F#3	3		657
24	23	90	94	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		6	54	F#3	3		655
24	23	90	94	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		2	62	D4	4		650
24	23	90	94	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		2	62	D4	4		654
24	23	90	94	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		3	69	A4	4		644
24	23	90	94	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		3	69	A4	4		645
24	23	90	94	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		3	69	A4	4		646
24	23	90	94	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		3	69	A4	4		647
24	23	90	94	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		3	69	A4	4		648
24	23	90	94	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		3	69	A4	4		649
24	23	90	94	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		3	69	A4	4		651
24	23	90	94	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		3	69	A4	4		652
24	23	90	94	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		3	69	A4	4		653
24	23	181/2	189/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		641
24	23	91	95	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		2	50	D3	3		642
24	23	91	95	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		3	69	A4	4		640
24	23	91	95	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		637
24	23	183/2	191/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		643
24	23	183/2	191/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		7	73	C#5	5		638
25	24	92	96	1.0		0	0	4/4	14	1	1/4		1/4	1		1	43	G2	2		707
25	24	92	96	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		669
25	24	92	96	1.0		0	0	4/4	13	1	1/4		1/4	1		1	55	G3	3		705
25	24	92	96	2.0		0	0	4/4	12	2	1/2		1/2	1		1	55	G3	3		702
25	24	92	96	1.0		0	0	4/4	9	1	1/4		1/4	1		2	62	D4	4		688
25	24	92	96	1.0		0	0	4/4	12	1	1/4		1/4	1		2	62	D4	4		699
25	24	92	96	1.0		0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4		668
25	24	92	96	2.0		0	0	4/4	8	2	1/2		1/2	1		1	67	G4	4		686
25	24	92	96	2.0		0	0	4/4	11	2	1/2		1/2	1		1	67	G4	4		697
25	24	92	96	0.5		0	0	4/4	1	1	1/8		1/8	1		5	71	B4	4		660
25	24	92	96	1.0		0	0	4/4	3	1	1/4		1/4	1		5	71	B4	4		671
25	24	92	96	1.0		0	0	4/4	4	1	1/4		1/4	1		5	71	B4	4		674
25	24	92	96	1.0		0	0	4/4	5	1	1/4		1/4	1		5	71	B4	4		677
25	24	92	96	1.0		0	0	4/4	6	1	1/4		1/4	1		5	71	B4	4		680
25	24	92	96	1.0		0	0	4/4	7	1	1/4		1/4	1		5	71	B4	4		683
25	24	92	96	1.0		0	0	4/4	10	1	1/4		1/4	1		5	71	B4	4		691
25	24	92	96	1.0		0	0	4/4	11	1	1/4		1/4	1		5	71	B4	4		694
25	24	185/2	193/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		2	74	D5	5		661
25	24	93	97	1.0		1/4	1/4	4/4	9	1	1/4		1/4	1		4	64	E4	4		689
25	24	93	97	1.0		1/4	1/4	4/4	12	1	1/4		1/4	1		4	64	E4	4		700
25	24	93	97	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		7	73	C#5	5		662
25	24	93	97	1.0		1/4	1/4	4/4	3	1	1/4		1/4	1		7	73	C#5	5		672
25	24	93	97	1.0		1/4	1/4	4/4	4	1	1/4		1/4	1		7	73	C#5	5		675
25	24	93	97	1.0		1/4	1/4	4/4	5	1	1/4		1/4	1		7	73	C#5	5		678
25	24	93	97	1.0		1/4	1/4	4/4	6	1	1/4		1/4	1		7	73	C#5	5		681
25	24	93	97	1.0		1/4	1/4	4/4	7	1	1/4		1/4	1		7	73	C#5	5		684
25	24	93	97	1.0		1/4	1/4	4/4	10	1	1/4		1/4	1		7	73	C#5	5		692
25	24	93	97	1.0		1/4	1/4	4/4	11	1	1/4		1/4	1		7	73	C#5	5		695
25	24	187/2	195/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		663
25	24	94	98	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		2	38	D2	2		708
25	24	94	98	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		2	50	D3	3		670
25	24	94	98	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		2	50	D3	3		706
25	24	94	98	1.0		1/2	1/2	4/4	12	2	1/4		1/4	1		6	54	F#3	3		703
25	24	94	98	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		6	66	F#4	4		690
25	24	94	98	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		6	66	F#4	4		701
25	24	94	98	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		3	69	A4	4		687
25	24	94	98	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		3	69	A4	4		698
25	24	94	98	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		2	74	D5	5		664
25	24	94	98	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		2	74	D5	5		673
25	24	94	98	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		2	74	D5	5		676
25	24	94	98	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		2	74	D5	5		679
25	24	94	98	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		2	74	D5	5		682
25	24	94	98	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		2	74	D5	5		685
25	24	94	98	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		2	74	D5	5		693
25	24	94	98	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		2	74	D5	5		696
25	24	189/2	197/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		6	78	F#5	5		665
25	24	95	99	1.0		3/4	3/4	4/4	12	2	1/4		1/4	1		1	55	G3	3		704
25	24	95	99	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		4	76	E5	5		666
25	24	191/2	199/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		1	79	G5	5		667
26	25	96	100	1.0		0	0	4/4	14	1	1/4		1/4	1		3	45	A2	2		746
26	25	96	100	1.0		0	0	4/4	13	1	1/4		1/4	1		3	57	A3	3		744
26	25	96	100	2.0		0	0	4/4	12	2	1/2		1/2	1		3	57	A3	3		742
26	25	96	100	2.0		0	0	4/4	9	1	1/2		1/2	1		4	64	E4	4		732
26	25	96	100	2.0		0	0	4/4	12	1	1/2		1/2	1		4	64	E4	4		740
26	25	96	100	2.0		0	0	4/4	8	2	1/2		1/2	1		3	69	A4	4		730
26	25	96	100	2.0		0	0	4/4	11	2	1/2		1/2	1		3	69	A4	4		738
26	25	96	100	2.0		0	0	4/4	3	1	1/2		1/2	1		2	74	D5	5		720
26	25	96	100	2.0		0	0	4/4	4	1	1/2		1/2	1		2	74	D5	5		722
26	25	96	100	2.0		0	0	4/4	5	1	1/2		1/2	1		2	74	D5	5		724
26	25	96	100	2.0		0	0	4/4	6	1	1/2		1/2	1		2	74	D5	5		726
26	25	96	100	2.0		0	0	4/4	7	1	1/2		1/2	1		2	74	D5	5		728
26	25	96	100	2.0		0	0	4/4	10	1	1/2		1/2	1		2	74	D5	5		734
26	25	96	100	2.0		0	0	4/4	11	1	1/2		1/2	1		2	74	D5	5		736
26	25	96	100	1.0		0	0	4/4	1	1	1/4		1/4	1		6	78	F#5	5		709
26	25	97	101	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		2	74	D5	5		715
26	25	97	101	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5		710
26	25	195/2	203/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		7	73	C#5	5		716
26	25	195/2	203/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		711
26	25	98	102	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		3	33	A1	1		747
26	25	98	102	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		3	45	A2	2		745
26	25	98	102	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		3	45	A2	2		743
26	25	98	102	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		4	64	E4	4		733
26	25	98	102	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		4	64	E4	4		741
26	25	98	102	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		3	69	A4	4		731
26	25	98	102	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		3	69	A4	4		739
26	25	98	102	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		7	73	C#5	5		721
26	25	98	102	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		7	73	C#5	5		723
26	25	98	102	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		7	73	C#5	5		725
26	25	98	102	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		7	73	C#5	5		727
26	25	98	102	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		7	73	C#5	5		729
26	25	98	102	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		7	73	C#5	5		735
26	25	98	102	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		7	73	C#5	5		737
26	25	98	102	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		4	76	E5	5		717
26	25	98	102	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		1	79	G5	5		712
26	25	99	103	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		2	74	D5	5		718
26	25	99	103	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5		713
26	25	199/2	207/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		7	73	C#5	5		719
26	25	199/2	207/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		714
27	26	100	104	1.0		0	0	4/4	14	1	1/4		1/4	1		2	38	D2	2		774
27	26	100	104	1.0		0	0	4/4	13	1	1/4		1/4	1		2	50	D3	3		772
27	26	100	104	4.0		0	0	4/4	12	2	1		1	1		2	50	D3	3		771
27	26	100	104	4.0		0	0	4/4	9	1	1		1	1		6	66	F#4	4		766
27	26	100	104	4.0		0	0	4/4	12	1	1		1	1		6	66	F#4	4		770
27	26	100	104	4.0		0	0	4/4	8	2	1		1	1		3	69	A4	4		765
27	26	100	104	4.0		0	0	4/4	11	2	1		1	1		3	69	A4	4		769
27	26	100	104	1.0		0	0	4/4	1	2	1/4		1/4	1		2	74	D5	5		753
27	26	100	104	4.0		0	0	4/4	3	1	1		1	1		2	74	D5	5		760
27	26	100	104	4.0		0	0	4/4	4	1	1		1	1		2	74	D5	5		761
27	26	100	104	4.0		0	0	4/4	5	1	1		1	1		2	74	D5	5		762
27	26	100	104	4.0		0	0	4/4	6	1	1		1	1		2	74	D5	5		763
27	26	100	104	4.0		0	0	4/4	7	1	1		1	1		2	74	D5	5		764
27	26	100	104	4.0		0	0	4/4	10	1	1		1	1		2	74	D5	5		767
27	26	100	104	4.0		0	0	4/4	11	1	1		1	1		2	74	D5	5		768
27	26	100	104	0.5		0	0	4/4	1	1	1/8		1/8	1		6	78	F#5	5		748
27	26	201/2	209/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		756
27	26	201/2	209/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		4	76	E5	5		749
27	26	101	105	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		2	50	D3	3		757
27	26	101	105	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		3	69	A4	4		754
27	26	101	105	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		2	74	D5	5		750
27	26	203/2	211/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		2	50	D3	3		758
27	26	102	106	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		6	42	F#2	2		775
27	26	102	106	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		759
27	26	102	106	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		6	54	F#3	3		773
27	26	103	107	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		2	62	D4	4		755
27	26	103	107	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		3	69	A4	4		751
27	26	207/2	215/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		752
28	27	104	108	1.0		0	0	4/4	14	1	1/4		1/4	1		3	45	A2	2		792
28	27	104	108	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		788
28	27	104	108	1.0		0	0	4/4	13	1	1/4		1/4	1		3	57	A3	3		790
28	27	104	108	1.0		0	0	4/4	1	2	1/4		1/4	1		3	69	A4	4		782
28	27	104	108	1.0		0	0	4/4	1	1	1/4		1/4	1		0	72	C5	5		776
28	27	105	109	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		783
28	27	105	109	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		777
28	27	211/2	219/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4		784
28	27	211/2	219/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		778
28	27	106	110	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		6	42	F#2	2		793
28	27	106	110	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		789
28	27	106	110	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		6	54	F#3	3		791
28	27	106	110	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		3	69	A4	4		785
28	27	106	110	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		0	72	C5	5		779
28	27	107	111	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		5	71	B4	4		786
28	27	107	111	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		780
28	27	215/2	223/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		787
28	27	215/2	223/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		781
29	28	108	112	1.0		0	0	4/4	14	1	1/4		1/4	1		1	43	G2	2		808
29	28	108	112	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		804
29	28	108	112	1.0		0	0	4/4	13	1	1/4		1/4	1		1	55	G3	3		806
29	28	108	112	0.5		0	0	4/4	1	2	1/8		1/8	1		1	67	G4	4		799
29	28	108	112	0.5		0	0	4/4	1	1	1/8		1/8	1		5	71	B4	4		794
29	28	217/2	225/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		800
29	28	217/2	225/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		795
29	28	109	113	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		5	71	B4	4		801
29	28	109	113	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		2	74	D5	5		796
29	28	110	114	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		1	31	G1	1		809
29	28	110	114	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		1	43	G2	2		807
29	28	110	114	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		805
29	28	111	115	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		802
29	28	111	115	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		797
29	28	223/2	231/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		803
29	28	223/2	231/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		798
30	29	112	116	1.0		0	0	4/4	14	1	1/4		1/4	1		2	38	D2	2		828
30	29	112	116	1.0		0	0	4/4	2	1	1/4		1/4	1		2	50	D3	3		824
30	29	112	116	1.0		0	0	4/4	13	1	1/4		1/4	1		2	50	D3	3		826
30	29	112	116	1.0		0	0	4/4	1	2	1/4		1/4	1		2	62	D4	4		818
30	29	112	116	0.5		0	0	4/4	1	1	1/8		1/8	1		3	69	A4	4		810
30	29	225/2	233/2	0.5		1/8	1/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		811
30	29	113	117	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		1	55	G3	3		819
30	29	113	117	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		812
30	29	227/2	235/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		5	59	B3	3		820
30	29	227/2	235/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		1	67	G4	4		813
30	29	114	118	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		2	26	D1	1		829
30	29	114	118	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		2	38	D2	2		827
30	29	114	118	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		2	50	D3	3		825
30	29	114	118	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		2	62	D4	4		821
30	29	114	118	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		3	69	A4	4		814
30	29	229/2	237/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		815
30	29	115	119	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		1	55	G3	3		822
30	29	115	119	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		816
30	29	231/2	239/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		5	59	B3	3		823
30	29	231/2	239/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		1	67	G4	4		817
31	30	116	120	1.0		0	0	4/4	14	1	1/4		1/4	1		2	38	D2	2		845
31	30	116	120	1.0		0	0	4/4	2	1	1/4		1/4	1		2	50	D3	3		842
31	30	116	120	1.0		0	0	4/4	13	1	1/4		1/4	1		2	50	D3	3		843
31	30	116	120	1.5		0	0	4/4	1	2	3/8		1/4	3/2		2	62	D4	4		836
31	30	116	120	1.5		0	0	4/4	1	1	3/8		1/4	3/2		3	69	A4	4		830
31	30	235/2	243/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		2	62	D4	4		837
31	30	235/2	243/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		831
31	30	118	122	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		0	36	C2	2		846
31	30	118	122	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		0	48	C3	3		844
31	30	118	122	0.5		1/2	1/2	4/4	1	2	1/8		1/8	1		1	67	G4	4		838
31	30	118	122	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		5	71	B4	4		832
31	30	237/2	245/2	0.5		5/8	5/8	4/4	1	2	1/8		1/8	1		2	62	D4	4		839
31	30	237/2	245/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		833
31	30	119	123	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		1	67	G4	4		840
31	30	119	123	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		834
31	30	239/2	247/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		3	69	A4	4		841
31	30	239/2	247/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		835
32	31	120	124	1.0		0	0	4/4	14	1	1/4		1/4	1		5	35	B1	1		873
32	31	120	124	1.0		0	0	4/4	13	1	1/4		1/4	1		5	47	B2	2		871
32	31	120	124	0.5		0	0	4/4	1	2	1/8		1/8	1		5	71	B4	4		851
32	31	120	124	0.5		0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5		847
32	31	241/2	249/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		1	43	G2	2		855
