mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
6	6		18	2.0	1	0	1/2	4/4	2	2	1/2		1/2	1		5	47	B2	2	100
6	6		18	2.0	1	0	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	99
6	6		18	2.0	1	0	1/2	4/4	1	2	1/2		1/2	1		6	66	F#4	4	98
6	6		18	2.0	1	0	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	97
7	7	18	20	1.5	2	0	1/2	4/4	3	3	3/8		1/4	3/2		5	35	B1	1	108
7	7	18	20	1.5	2	0	1/2	4/4	2	3	3/8		1/4	3/2		5	47	B2	2	106
7	7	18	20	2.0	2	0	1/2	4/4	2	2	1/2		1/2	1		5	47	B2	2	105
7	7	18	20	2.0	2	0	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	104
7	7	18	20	2.0	2	0	1/2	4/4	1	2	1/2		1/2	1		6	66	F#4	4	103
7	7	18	20	2.0	2	0	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	102
7	7	39/2	43/2	0.5	2	3/8	7/8	4/4	3	3	1/8		1/8	1		7	37	C#2	2	109
7	7	39/2	43/2	0.5	2	3/8	7/8	4/4	2	3	1/8		1/8	1		7	49	C#3	3	107
8	8	20	22	1.0		0	0	4/4	3	3	1/4		1/4	1		9	39	D#2	2	128
8	8	20	22	1.0		0	0	4/4	2	3	1/4		1/4	1		9	51	D#3	3	123
8	8	21	23	1.0		1/4	1/4	4/4	3	3	1/4		1/4	1		5	35	B1	1	129
8	8	21	23	1.0		1/4	1/4	4/4	2	3	1/4		1/4	1		5	47	B2	2	124
8	8	21	23	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		9	63	D#4	4	114
8	8	21	23	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		6	66	F#4	4	110
8	8	43/2	47/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	115
8	8	43/2	47/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		8	68	G#4	4	111
