mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
8	7	19	19	1.0	0	0	3/4	3	2	1/4		1/4	1		0	48	C3	3	125
8	7	19	19	1.0	0	0	3/4	3	1	1/4		1/4	1		0	60	C4	4	121
8	7	19	19	1.0	0	0	3/4	1	2	1/4		1/4	1		-3	63	Eb4	4	116
8	7	19	19	0.5	0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	112
8	7	39/2	39/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	113
8	7	20	20	0.5	1/4	1/4	3/4	4	2	1/8		1/8	1		2	38	D2	2	131
8	7	20	20	0.5	1/4	1/4	3/4	3	2	1/8		1/8	1		2	50	D3	3	126
8	7	20	20	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		-2	58	Bb3	3	122
8	7	20	20	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		-1	65	F4	4	117
8	7	20	20	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		-2	70	Bb4	4	114
8	7	41/2	41/2	0.5	3/8	3/8	3/4	4	2	1/8		1/8	1		0	36	C2	2	132
8	7	41/2	41/2	0.5	3/8	3/8	3/4	3	2	1/8		1/8	1		0	48	C3	3	127
8	7	41/2	41/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		-3	63	Eb4	4	118
8	7	21	21	0.5	1/2	1/2	3/4	4	2	1/8		1/8	1		2	38	D2	2	133
8	7	21	21	0.5	1/2	1/2	3/4	3	2	1/8		1/8	1		2	50	D3	3	128
8	7	21	21	0.5	1/2	1/2	3/4	3	1	1/8		1/8	1		-1	53	F3	3	123
8	7	21	21	0.5	1/2	1/2	3/4	1	2	1/8		1/8	1		-1	65	F4	4	119
8	7	43/2	43/2	0.5	5/8	5/8	3/4	4	2	1/8		1/8	1		-2	34	Bb1	1	134
8	7	43/2	43/2	0.5	5/8	5/8	3/4	3	2	1/8		1/8	1		-2	46	Bb2	2	129
8	7	43/2	43/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1		1	55	G3	3	124
8	7	43/2	43/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		4	64	E4	4	120
8	7	43/2	43/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	115
9	8	22	22	2.0	0	0	3/4	4	2	1/2		1/2	1		-1	29	F1	1	139
9	8	22	22	2.0	0	0	3/4	3	2	1/2		1/2	1		-1	41	F2	2	138
9	8	22	22	2.0	0	0	3/4	3	1	1/2		1/2	1		3	57	A3	3	137
9	8	22	22	2.0	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	136
9	8	22	22	2.0	0	0	3/4	1	1	1/2		1/2	1		0	72	C5	5	135
10	9	24	24	0.5	0	1/2	3/4	4	2	1/8		1/8	1		-1	41	F2	2	145
10	9	24	24	0.5	0	1/2	3/4	3	2	1/8		1/8	1		-1	53	F3	3	143
