mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		72
4	4	31/2	31/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		5	59	B3	3		88
4	4	31/2	31/2	0.25	7/8	7/8	4/4	1	2	1/16	1/16	1		2	62	D4	4		79
4	4	63/4	63/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	57	A3	3		89
4	4	63/4	63/4	0.25	15/16	15/16	4/4	1	2	1/16	1/16	1		0	60	C4	4		80
5	5	16	16	4.0	0	0	4/4	3	2	1	1	1		4	40	E2	2		106
5	5	16	16	4.0	0	0	4/4	2	2	1	1	1		4	52	E3	3		105
5	5	16	16	4.0	0	0	4/4	2	1	1	1	1		8	56	G#3	3		104
5	5	16	16	4.0	0	0	4/4	1	2	1	1	1		5	59	B3	3		103
5	5	16	16	4.0	0	0	4/4	1	1	1	1	1		4	64	E4	4		102
6	6	21	21	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		1	43	G2	2		122
6	6	21	21	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		118
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3		114
6	6	21	21	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	59	B3	3		110
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4		107
6	6	43/2	43/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		-1	41	F2	2		123
6	6	43/2	43/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		119
6	6	22	22	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		4	40	E2	2		124
6	6	22	22	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		120
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3		115
6	6	22	22	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		0	60	C4	4		111
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4		108
6	6	45/2	45/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		5	59	B3	3		112
6	6	23	23	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		3	45	A2	2		125
6	6	23	23	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3		121
6	6	23	23	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4		116
6	6	23	23	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4		113
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		109
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3		117
7	7	24	24	0.5	0	0	4/4	3	2	1/8	1/8	1		1	43	G2	2		150
7	7	24	24	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3		144
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3		138
7	7	24	24	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4		130
7	7	24	24	1.5	0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4		126
7	7	49/2	49/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		1	31	G1	1		151
7	7	49/2	49/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	43	G2	2		145
7	7	49/2	49/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		131
7	7	25	25	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		3	33	A1	1		152
7	7	25	25	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2		146
7	7	25	25	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		0	60	C4	4		139
7	7	25	25	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4		132
7	7	51/2	51/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		5	35	B1	1		153
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		147
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3		140
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		133
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4		127
7	7	26	26	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		0	36	C2	2		154
7	7	26	26	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3		148
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1	1	1	55	G3	3		141
7	7	26	26	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4		134
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4		128
7	7	53/2	53/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1	1	0	60	C4	4		135
7	7	27	27	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		1	31	G1	1		155
7	7	27	27	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2		149
7	7	27	27	0.75	3/4	3/4	4/4	2	1	3/16	1/8	3/2	-1	1	55	G3	3		142
7	7	27	27	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	0	60	C4	4		136
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4		129
7	7	55/2	55/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		5	59	B3	3		137
7	7	111/4	111/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		-1	53	F3	3		143
8	8	28	28	2.0	0	0	4/4	3	2	1/2	1/2	1		0	24	C1	1	-0.05	165
8	8	28	28	2.0	0	0	4/4	2	2	1/2	1/2	1		0	36	C2	2	-0.05	162
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3		160
8	8	28	28	2.0	0	0	4/4	1	2	1/2	1/2	1		1	55	G3	3		158
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		0	60	C4	4		156
8	8	31	31	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		4	40	E2	2		166
8	8	31	31	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		163
8	8	31	31	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	55	G3	3		159
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3		161
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	60	C4	4		157
