mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
8	7		35/2	0.5	1	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	98
8	7		18	1.0	1	1/4	1/4	4/4	3	2	1/4	1/4	1		-2	34	Bb1	1	103
8	7		18	1.0	1	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	101
8	7		18	1.0	1	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	99
8	7		18	1.0	1	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	96
8	7		18	1.0	1	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	94
9	8	16	19	1.0	2	0	3/4	4/4	3	2	1/4	1/4	1		2	38	D2	2	110
9	8	16	19	1.0	2	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	109
9	8	16	19	0.5	2	0	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	107
9	8	16	19	0.5	2	0	3/4	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	105
9	8	16	19	1.0	2	0	3/4	4/4	1	1	1/4	1/4	1		-1	77	F5	5	104
9	8	33/2	39/2	0.5	2	1/8	7/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	108
9	8	33/2	39/2	0.5	2	1/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	106
10	9	17	20	1.0		0	0	4/4	3	2	1/4	1/4	1		1	43	G2	2	131
10	9	17	20	1.0		0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	127
10	9	17	20	0.5		0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	121
10	9	17	20	1.0		0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	115
10	9	17	20	1.0		0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	111
10	9	35/2	41/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	122
10	9	18	21	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		-2	46	Bb2	2	132
10	9	18	21	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	128
10	9	18	21	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	123
10	9	18	21	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4	116
10	9	18	21	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	112
10	9	37/2	43/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	124
10	9	37/2	43/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	117
10	9	19	22	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-3	39	Eb2	2	133
10	9	19	22	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	129
10	9	19	22	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-1	65	F4	4	125
10	9	19	22	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	118
10	9	19	22	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	113
10	9	20	23	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		2	38	D2	2	134
10	9	20	23	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	130
10	9	20	23	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	126
10	9	20	23	0.5		3/4	3/4	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	119
10	9	20	23	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	114
10	9	41/2	47/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		-4	68	Ab4	4	120
11	10	21	24	1.0		0	0	4/4	3	2	1/4	1/4	1		-3	39	Eb2	2	151
11	10	21	24	1.0		0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	147
11	10	21	24	2.0		0	0	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	144
11	10	21	24	1.0		0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	140
11	10	21	24	0.5		0	0	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	135
11	10	43/2	49/2	0.5		1/8	1/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	136
11	10	22	25	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		-2	34	Bb1	1	152
11	10	22	25	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	148
11	10	22	25	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	141
11	10	22	25	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	137
11	10	23	26	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-1	41	F2	2	153
11	10	23	26	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3	149
11	10	23	26	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	145
11	10	23	26	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	142
11	10	23	26	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	138
11	10	24	27	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		2	38	D2	2	154
11	10	24	27	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	150
11	10	24	27	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	146
11	10	24	27	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	143
11	10	24	27	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	139
12	11	25	28	1.0		0	0	4/4	3	2	1/4	1/4	1		0	36	C2	2	174
12	11	25	28	1.0		0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3	169
12	11	25	28	1.5		0	0	4/4	2	1	3/8	1/4	3/2		0	60	C4	4	165
12	11	25	28	1.0		0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	159
12	11	25	28	1.0		0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	155
12	11	26	29	0.5		1/4	1/4	4/4	3	2	1/8	1/8	1		-1	41	F2	2	175
12	11	26	29	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		-1	53	F3	3	170
12	11	26	29	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		-4	68	Ab4	4	160
12	11	26	29	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	156
12	11	53/2	59/2	0.5		3/8	3/8	4/4	3	2	1/8	1/8	1		1	43	G2	2	176
12	11	53/2	59/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	171
12	11	53/2	59/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	166
12	11	53/2	59/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	161
