mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
5	4	13	13	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	90										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	91										
5	4	13	13	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	92										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	93										
5	4	13	13	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	94										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	95										
5	4	13	13	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	96										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	97										
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0			
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	98	soll'n									
6	5	35/2	35/2	0.0	1/8	1/8	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
6	5	18	18	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0			
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	99	wir									
6	5	37/2	37/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
6	5	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0			
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	100	al-									
6	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	101	-le									
6	5	41/2	41/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
