mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	13	13	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	73												
6	4	16	16	0.0	0	3/4	Tempo	4/4	1	1	0										𝅘𝅥=71.75	72.0	𝅘𝅥	71.75	0.0	
6	4	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	74	Dich,	All'	auch									
6	4	16	16	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	75												
6	4	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	76												
6	4	16	16	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	77												
6	4	16	16	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	78												
7	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	79	Gott	En-	Che-									
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	80	Va-	-gel	-ru-									
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	81	-ter	und	-bim									
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	82	in	all'	und									
7	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	83												2
7	5	35/2	35/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	84												2
7	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	85												
7	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	86												
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	87												
7	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	88												3
7	5	39/2	39/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	89												3
7	5	79/4	79/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	90												
7	5	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	91												
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	92												
7	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	93												4
7	5	35/2	35/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	94												4
7	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	95												
7	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	96												
7	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	97												
7	5	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	98												5
7	5	41/2	41/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	99												5
7	5	83/4	83/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	100												
7	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	101												
7	5	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	102												
7	5	37/2	37/2	0.25	3/8	3/8	Chord	4/4	2	2	1/16	1/16	1	103												
7	5	75/4	75/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	104												
7	5	19	19	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	105												
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	106												
7	5	17	17	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	107												
7	5	18	18	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	108												
7	5	37/2	37/2	0.25	3/8	3/8	Chord	4/4	3	2	1/16	1/16	1	109												
7	5	75/4	75/4	0.25	7/16	7/16	Chord	4/4	3	2	1/16	1/16	1	110												
7	5	19	19	1.5	1/2	1/2	Chord	4/4	3	2	3/8	1/4	3/2	111												
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	112												
8	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	113	E-	Him-	Se-									
8	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	114	-wig-	-mels-	-ra-									
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	115	-keit,	-heer,	-phim									
8	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0										𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	116	eh-	und	sin-									
8	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	117												6
8	6	43/2	43/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	118												
8	6	45/2	45/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	119												
8	6	91/4	91/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	120												
