mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	113									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	114									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	115									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	116									
5	4	13	13	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	117									
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	118									
5	4	14	14	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	119									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	120									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	121									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	122									
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	123	fin-	an-							
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	124	-den	-ru-							
6	5	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	125	we-	-fen,							
6	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	126	-der	du							
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	127									
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	128									
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	129									4
