mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	3	8	8	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	42									
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	43									
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	44	mü-								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	45	-de,								
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	46	ich								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	47	will								
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	48									
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	49									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	50									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	51									
3	3	8	8	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	52									
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	53									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	54									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	55									
3	3	8	8	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	56									
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	57									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	58									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	59									
4	4	13	13	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	60	ich								
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	61	will								
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	62	nach								
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	63									
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	64	dem								
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	65									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	66									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	67									
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	68									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	69									
4	4	12	12	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	70	nach								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	71	dem								
4	4	12	12	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	72									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	73									
4	4	12	12	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	74									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	75									
4	4	12	12	3.0	0	0	Chord	4/4	4	2	3/4	1/2	3/2	76									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	77									
5	5	16	16	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	78	Him-								
5	5	17	17	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	79	-mel								
5	5	18	18	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	80	zu,	articTenutoStaccatoAbove							
5	5	16	16	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	81									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	82									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	83		articTenutoStaccatoBelow							
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	84	Him-								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	85	-mel								
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	86	zu,	articTenutoStaccatoBelow							
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	87									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	88									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	89		articTenutoStaccatoAbove							
5	5	16	16	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	90									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	91									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	92		articTenutoStaccatoBelow							
5	5	16	16	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	93									
5	5	17	17	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	94									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	95		articTenutoStaccatoAbove							
6	6	20	20	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	96	da								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	97	wird								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	98	sein								
6	6	23	23	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	99	der								
6	6	20	20	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	100									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	101									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	102									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	103									
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	104	da								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	105	wird								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	106	sein								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	107	der								
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	108									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	109									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	110									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	111									
6	6	20	20	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	112									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	113									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	114									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	115									
6	6	20	20	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	116									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	117									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	118									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	119									
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	120	rech-								
7	7	25	25	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=72.4	72.0	𝅘𝅥	72.4	0.0	
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	121	-te								
7	7	26	26	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	122	Frie-								
7	7	27	27	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	123									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	124									
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	125									0
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	126									
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	127	rech-								
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	128	-te								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	129	Frie-								
7	7	24	24	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	130									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	131									
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	132									
7	7	24	24	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	133									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	134									
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	135									
7	7	24	24	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	136									
7	7	25	25	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	137									
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	138									
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	139	-de								
8	8	29	29	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	140									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	141									
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	142	ew'-								
8	8	31	31	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	143									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	144	und								
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	145	die								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	146	ew'-								
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	147	-de								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	148	und								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	149	die								
8	8	28	28	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	150									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	151									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	152									
8	8	28	28	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	153									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	154	und								
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	155	die								
8	8	28	28	3.0	0	0	Chord	4/4	4	2	3/4	1/2	3/2	156									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	157	und								
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	158	die								
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	159									
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	160	-ge								
9	9	34	34	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
9	9	34	34	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	161	stol-								
9	9	71/2	71/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	162	-ze								
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	163	-ge								
9	9	33	33	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	164	stol-								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	165	-ze								
9	9	32	32	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	166	ew'-								
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	167	-ge								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	168	stol-								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	169	-ze								
9	9	32	32	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	170									
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	171									
9	9	34	34	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	172									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	173									
9	9	32	32	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	174	ew'-								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	175	-ge								
9	9	34	34	1.5	1/2	1/2	Chord	4/4	3	2	3/8	1/4	3/2	176	stol-								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	177	-ze								
9	9	32	32	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	178	ew'-								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	179	-ge								
9	9	34	34	1.5	1/2	1/2	Chord	4/4	4	2	3/8	1/4	3/2	180	stol-								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	181	-ze								
10	10	36	36	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	182	Ruh.								
10	10	36	36	4.0	0	0	Chord	4/4	1	2	1	1	1	183									
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1	1	1	184	Ruh.								
10	10	36	36	4.0	0	0	Chord	4/4	3	1	1	1	1	185									
10	10	36	36	4.0	0	0	Chord	4/4	3	2	1	1	1	186	Ruh.								
10	10	36	36	4.0	0	0	Chord	4/4	4	2	1	1	1	187	Ruh.								
11	11	40	40	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72.95	73.0	𝅘𝅥	72.95	0.0	
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	188	Welt,								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	189	bei								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	190	dir								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	191	ist								
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	192									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	193									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	194									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	195									
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	196	Welt,								
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	197	bei								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	198	dir								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	199	ist								
11	11	40	40	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	200									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	201									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	202									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	203									
11	11	40	40	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	204									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	205									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	206									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	207									
11	11	40	40	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	208									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	209									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	210									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	211									
12	12	44	44	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
12	12	44	44	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	212	Krieg								
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	213									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	214	Streit,								
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	215									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	216	und								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	217									
12	12	44	44	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	218	Krieg								
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	219	und								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	220	Streit,								
12	12	44	44	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	221									
12	12	45	45	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	222									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	223									
12	12	44	44	1.5	0	0	Chord	4/4	3	2	3/8	1/4	3/2	224									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	225									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	226									
12	12	44	44	1.5	0	0	Chord	4/4	4	2	3/8	1/4	3/2	227									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	228									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	229									
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	230	nichts,								
13	13	49	49	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	231	denn								
13	13	50	50	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	232	lau-								
13	13	51	51	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	233	-ter								
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	234									
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	235									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	236									
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	237									
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	238	nichts,								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	239	denn								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	240	lau-								
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	241	-ter								
13	13	48	48	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	242									
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	243									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	244									
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	245									
13	13	48	48	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	246									
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	247									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	248									
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	249									
13	13	48	48	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	250									
13	13	49	49	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	251									
13	13	50	50	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	252									
13	13	51	51	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	253									
14	14	52	52	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	254	Ei-								
14	14	53	53	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
14	14	107/2	107/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	255									
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	256									
14	14	52	52	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	257									
