mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
9	8	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	186												
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	187												
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	188												
9	8	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	189												
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	190												
9	8	25	25	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	191												
9	8	26	26	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	192												
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	193												
9	8	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	194												
9	8	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	195												
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	196												
10	9	29	29	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=65.6	66.0	𝅘𝅥	65.6	0.0	
10	9	29	29	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	197	ge-	-sto-										
10	9	31	31	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	198	-ben,	sse.										
10	9	29	29	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	199												8
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	200												
10	9	31	31	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	201												
10	9	29	29	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	202												9
