mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	2	6	6	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	196												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	9	1	1/4	1/4	1	197												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	9	1	1/4	1/4	1	198												
3	2	5	5	0.5	0	0	Chord	4/4	9	2	1/8	1/8	1	199												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	9	2	1/8	1/8	1	200												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	201												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	202												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	203												
3	2	5	5	1.0	0	0	Chord	4/4	10	1	1/4	1/4	1	204												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	10	1	1/4	1/4	1	205												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	10	1	1/4	1/4	1	206												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	10	1	1/4	1/4	1	207												
3	2	5	5	1.0	0	0	Chord	4/4	11	2	1/4	1/4	1	208												
3	2	6	6	0.5	1/4	1/4	Chord	4/4	11	2	1/8	1/8	1	209												
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	11	2	1/8	1/8	1	210												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	11	2	1/4	1/4	1	211												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	11	2	1/4	1/4	1	212												
3	2	5	5	1.0	0	0	Chord	4/4	12	1	1/4	1/4	1	213												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	12	1	1/4	1/4	1	214												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	12	1	1/4	1/4	1	215												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	12	1	1/4	1/4	1	216												
3	2	5	5	0.5	0	0	Chord	4/4	13	2	1/8	1/8	1	217												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	13	2	1/8	1/8	1	218												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	13	2	1/4	1/4	1	219												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	13	2	1/4	1/4	1	220												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	13	2	1/4	1/4	1	221												
3	2	5	5	0.5	0	0	Chord	4/4	14	2	1/8	1/8	1	222												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	14	2	1/8	1/8	1	223												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	14	2	1/4	1/4	1	224												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	14	2	1/4	1/4	1	225												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	14	2	1/4	1/4	1	226												
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	227												
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	228												
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	229												
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0										𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	230												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	231												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	232												
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	233												
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	234												
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	235												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	236												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	237												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	238												
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	239	mich	-gend	-gen	Haus								
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	240	in	an	mir	des								
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	241												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	242	sei-	ei-	nach	Her-								
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	243												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	244	-ner	-nem	im	-ren								
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	245												
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	246												
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	247												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	248												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	249												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	250												
4	3	9	9	1.0	0	0	Chord	4/4	2	3	1/4	1/4	1	251												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	3	1/4	1/4	1	252												
4	3	11	11	0.25	1/2	1/2	Chord	4/4	2	3	1/16	1/16	1	253												
4	3	45/4	45/4	0.25	9/16	9/16	Chord	4/4	2	3	1/16	1/16	1	254												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	3	1/8	1/8	1	255												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	3	1/4	1/4	1	256												
4	3	9	9	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	257												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	258												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	259												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	260												
4	3	12	12	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	261												
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	262												
4	3	9	9	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	263												
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	264												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	265												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	266												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	267												
4	3	12	12	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	268												
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	269												
4	3	9	9	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	270												
4	3	10	10	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	271												
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	272												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	273												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	274												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	275												
4	3	9	9	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	276												
4	3	10	10	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	277												
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	278												
4	3	11	11	0.25	1/2	1/2	Chord	4/4	5	3	1/16	1/16	1	279												
4	3	45/4	45/4	0.25	9/16	9/16	Chord	4/4	5	3	1/16	1/16	1	280												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	5	3	1/8	1/8	1	281												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	5	3	1/4	1/4	1	282												
4	3	9	9	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	283	mich	-gend										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	6	1	1/8	1/8	1	284	in	an										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	6	1	1/8	1/8	1	285												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	6	1	1/8	1/8	1	286	sei-	ei-										
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	6	1	1/8	1/8	1	287												
