mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
15	15	48	50	0.5		0	0	Chord	4/4	3	2	1/8		1/8	1	277	-mehr								
15	15	97/2	101/2	0.5		1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	278									
15	15	49	51	1.0		1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	279	zu								
15	15	50	52	1.0		1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	280									10
15	15	51	53	1.0		3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	281									10
16	16	52	54	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	282									
16	16	53	55	0.0		1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
16	16	53	55	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	283	-den								
16	16	107/2	111/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	284									
16	16	54	56	0.0		1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
16	16	54	56	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	285	wer-								11
16	16	55	57	0.0		3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	11
16	16	55	57	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	286									11
16	16	52	54	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	287									7
16	16	105/2	109/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	288									7
16	16	53	55	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	289									7
16	16	107/2	111/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	290									7
16	16	54	56	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	291									
16	16	55	57	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	292	-den								
16	16	52	54	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	293									8
16	16	53	55	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	294									8
16	16	54	56	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	295									
16	16	55	57	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	296									
16	16	52	54	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	297									9
16	16	53	55	2.0		1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	298									
16	16	55	57	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	299									
16	16	52	54	1.0		0	0	Chord	4/4	3	2	1/4		1/4	1	300									10
16	16	53	55	2.0		1/4	1/4	Chord	4/4	3	2	1/2		1/2	1	301									
16	16	55	57	1.0		3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	302									
17	17	56	58	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	11
17	17	56	58	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	303									11
17	17	57	59	0.0		1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0	
17	17	57	59	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	304									
17	17	58	60	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	305	-de..								
17	17	56	58	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	306	wer-								
17	17	58	60	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	307	de.								
17	17	56	58	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	308									12
17	17	113/2	117/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	309									12
17	17	57	59	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	310									
17	17	58	60	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	311									
17	17	56	58	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	312									
17	17	58	60	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	313									
17	17	58	60	2.0		1/2	1/2	Chord	4/4	2	3	1/2		1/2	1	314									
17	17	56	58	2.0		0	0	Chord	4/4	3	2	1/2		1/2	1	315									
17	17	58	60	2.0		1/2	1/2	Chord	4/4	3	3	1/2		1/2	1	316									
