mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	213													
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	214													
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	215													
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	216													
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	217													
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	218													1
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	219													1
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	220													1
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	221													
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	222													
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	223													
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	224													
10	10	36	36	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	225													
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	226													
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	227													
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	228	-ben	-te,	-che										
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	229	will	fer-	und										
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	230	aus	-ner	des										
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	231													
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	232													
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	233													
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	234													
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	235													
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	236													
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	237													
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	238													
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	239													
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	240													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	241													
11	11	40	40	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	242													
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	243													
