mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	3	10	10	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	170										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	171										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	172										
4	3	9	9	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	173										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	6	1	1/8	1/8	1	174										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	6	1	1/8	1/8	1	175										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	6	1	1/8	1/8	1	176										
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	6	1	1/8	1/8	1	177										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	178										
4	3	9	9	1.0	0	0	Chord	4/4	7	2	1/4	1/4	1	179										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	7	2	1/8	1/8	1	180										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	7	2	1/8	1/8	1	181										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	7	2	1/4	1/4	1	182										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	7	2	1/4	1/4	1	183										
4	3	9	9	1.0	0	0	Chord	4/4	8	2	1/4	1/4	1	184										
4	3	10	10	0.5	1/4	1/4	Chord	4/4	8	2	1/8	1/8	1	185										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	8	2	1/8	1/8	1	186										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	187										
4	3	12	12	1.0	3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	188										
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	189										
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	190										
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	191										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	192										
5	4	27/2	27/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	193										
