mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	6	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	104									
6	6	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	105									
6	6	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	106									
6	6	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	107									4
6	6	35/2	35/2	1.0	1/8	1/8	Chord	4/4	2	2	1/4	1/4	1	108									
6	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	109									
6	6	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	110									5
6	6	39/2	39/2	1.0	5/8	5/8	Chord	4/4	2	2	1/4	1/4	1	111									
6	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	112									
6	6	17	17	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	113									6
6	6	35/2	35/2	1.0	1/8	1/8	Chord	4/4	3	2	1/4	1/4	1	114									
6	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	115									
6	6	19	19	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	116									7
6	6	39/2	39/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4	1/4	1	117									
6	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	118									
7	7	21	21	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
7	7	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	119	ganz	dank-	eu-						
7	7	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	120	be-	-te	-er						
7	7	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	121	-dacht,	Gott,	bleib'						
7	7	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
7	7	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	122	das	und	im						
7	7	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	123									
7	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	124									
7	7	22	22	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	125									
7	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	126									
7	7	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	127									
7	7	24	24	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	128									
7	7	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	129									
7	7	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	130									
7	7	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	131									
7	7	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	132									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	133									
7	7	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	134									
7	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	135									
7	7	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	136									
7	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	137									
7	7	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	138									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	139									
7	7	21	21	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	140									
7	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	141									
7	7	22	22	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	142									
7	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	143									
7	7	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	144									
7	7	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	145									
8	8	25	25	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
8	8	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	146	selb'	sprach	Tod						
8	8	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
8	8	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	147	uns	zu	und						
8	8	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
