mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	2	6	6	1.0		1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	74									2
3	2	7	7	1.0		1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	75									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	76	-be								
3	2	5	5	1.0		0	0	Chord	4/4	5	2	1/4	1/4	1	77									3
3	2	6	6	0.5		1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	78									3
3	2	13/2	13/2	0.5		3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	79									3
3	2	7	7	1.0		1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	80									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	81									
3	2	5	5	1.0		0	0	Chord	4/4	6	1	1/4	1/4	1	82									4
3	2	6	6	1.0		1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	83									4
3	2	7	7	0.5		1/2	1/2	Chord	4/4	6	1	1/8	1/8	1	84									4
3	2	15/2	15/2	0.5		5/8	5/8	Chord	4/4	6	1	1/8	1/8	1	85									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	86									
3	2	5	5	1.0		0	0	Chord	4/4	6	2	1/4	1/4	1	87									5
3	2	6	6	1.0		1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	88									5
3	2	7	7	1.0		1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	89									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	90									
3	2	5	5	1.0		0	0	Chord	4/4	7	1	1/4	1/4	1	91									6
3	2	6	6	1.0		1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	92									6
3	2	7	7	0.5		1/2	1/2	Chord	4/4	7	1	1/8	1/8	1	93									6
3	2	15/2	15/2	0.5		5/8	5/8	Chord	4/4	7	1	1/8	1/8	1	94									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	95									
3	2	5	5	1.0		0	0	Chord	4/4	8	2	1/4	1/4	1	96									7
3	2	6	6	1.0		1/4	1/4	Chord	4/4	8	2	1/4	1/4	1	97									7
3	2	7	7	1.0		1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	98									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	99									
3	2	5	5	1.0		0	0	Chord	4/4	9	2	1/4	1/4	1	100									8
3	2	6	6	1.0		1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	101									8
3	2	7	7	1.0		1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	102									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	103									
3	2	5	5	1.0		0	0	Chord	4/4	10	2	1/4	1/4	1	104									9
3	2	6	6	1.0		1/4	1/4	Chord	4/4	10	2	1/4	1/4	1	105									9
3	2	7	7	1.0		1/2	1/2	Chord	4/4	10	2	1/4	1/4	1	106									
3	2	8	8	1.0		3/4	3/4	Chord	4/4	10	2	1/4	1/4	1	107									
4	3	9	9	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	108									
4	3	9	9	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	109									
4	3	9	9	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	110									
4	3	9	9	2.0		0	0	Chord	4/4	3	1	1/2	1/2	1	111									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	112									
4	3	9	9	2.0		0	0	Chord	4/4	4	2	1/2	1/2	1	113									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	114									
4	3	9	9	2.0		0	0	Chord	4/4	5	1	1/2	1/2	1	115	dich								
4	3	12	12	1.0		3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	116	das								
4	3	9	9	2.0		0	0	Chord	4/4	5	2	1/2	1/2	1	117									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	118									
4	3	9	9	2.0		0	0	Chord	4/4	6	1	1/2	1/2	1	119									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	120									
4	3	9	9	2.0		0	0	Chord	4/4	6	2	1/2	1/2	1	121									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	122									
4	3	9	9	2.0		0	0	Chord	4/4	7	1	1/2	1/2	1	123									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	124									
4	3	9	9	2.0		0	0	Chord	4/4	8	2	1/2	1/2	1	125									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	126									
4	3	9	9	2.0		0	0	Chord	4/4	9	2	1/2	1/2	1	127									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	128									
4	3	9	9	2.0		0	0	Chord	4/4	10	2	1/2	1/2	1	129									
4	3	12	12	1.0		3/4	3/4	Chord	4/4	10	2	1/4	1/4	1	130									
5	4	13	13	1.0		0	0	Chord	4/4	3	1	1/4	1/4	1	131									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	132									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	133									
5	4	16	16	1.0		3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	134									
5	4	13	13	1.0		0	0	Chord	4/4	4	2	1/4	1/4	1	135									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	136									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	137									
5	4	16	16	0.5		3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	138									
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	139									
5	4	13	13	1.0		0	0	Chord	4/4	5	1	1/4	1/4	1	140	Volk								
5	4	14	14	1.0		1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	141	in								
5	4	15	15	1.0		1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	142	gu-								
5	4	16	16	1.0		3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	143	-ten								
5	4	13	13	1.0		0	0	Chord	4/4	5	2	1/4	1/4	1	144									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	145									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	146									
5	4	16	16	0.5		3/4	3/4	Chord	4/4	5	2	1/8	1/8	1	147									
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	5	2	1/8	1/8	1	148									
5	4	13	13	0.5		0	0	Chord	4/4	6	1	1/8	1/8	1	149									
5	4	27/2	27/2	0.5		1/8	1/8	Chord	4/4	6	1	1/8	1/8	1	150									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	151									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	152									
5	4	16	16	0.5		3/4	3/4	Chord	4/4	6	1	1/8	1/8	1	153									
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	6	1	1/8	1/8	1	154									
5	4	13	13	1.0		0	0	Chord	4/4	6	2	1/4	1/4	1	155									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	156									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	157									
5	4	16	16	1.0		3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	158									
5	4	13	13	0.5		0	0	Chord	4/4	7	1	1/8	1/8	1	159									
5	4	27/2	27/2	0.5		1/8	1/8	Chord	4/4	7	1	1/8	1/8	1	160									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	161									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	162									
5	4	16	16	0.5		3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	163									
5	4	33/2	33/2	0.5		7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	164									
5	4	13	13	1.0		0	0	Chord	4/4	8	2	1/4	1/4	1	165									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	8	2	1/4	1/4	1	166									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	167									
5	4	16	16	1.0		3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	168									
5	4	13	13	1.0		0	0	Chord	4/4	9	2	1/4	1/4	1	169									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	170									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	171									
5	4	16	16	1.0		3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	172									
5	4	13	13	1.0		0	0	Chord	4/4	10	2	1/4	1/4	1	173									
5	4	14	14	1.0		1/4	1/4	Chord	4/4	10	2	1/4	1/4	1	174									
5	4	15	15	1.0		1/2	1/2	Chord	4/4	10	2	1/4	1/4	1	175									
5	4	16	16	1.0		3/4	3/4	Chord	4/4	10	2	1/4	1/4	1	176									
6	5	18	18	2.0		1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	177									
6	5	20	20	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	178									
6	5	18	18	0.5		1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	179									
6	5	37/2	37/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	180									
6	5	19	19	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	181									
6	5	39/2	39/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	182									
6	5	20	20	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	183									
6	5	18	18	1.0		1/4	1/4	Chord	4/4	1	3	1/4	1/4	1	184									
6	5	19	19	1.0		1/2	1/2	Chord	4/4	1	3	1/4	1/4	1	185									
6	5	18	18	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	186									
6	5	19	19	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	187									
6	5	20	20	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	188									
6	5	17	17	1.0		0	0	Chord	4/4	3	1	1/4	1/4	1	189									10
6	5	18	18	0.5		1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	190									10
6	5	37/2	37/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	191									10
6	5	19	19	1.0		1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	192									10
6	5	20	20	1.0		3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	193									
6	5	17	17	3.0		0	0	Chord	4/4	4	2	3/4	1/2	3/2	194									11
6	5	20	20	1.0		3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	195									
6	5	17	17	1.0		0	0	Chord	4/4	5	1	1/4	1/4	1	196	Tha-								12
6	5	18	18	0.5		1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	197									12
6	5	37/2	37/2	0.5		3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	198									12
6	5	19	19	1.0		1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	199									12
6	5	20	20	1.0		3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	200									
6	5	17	17	3.0		0	0	Chord	4/4	5	2	3/4	1/2	3/2	201									13
6	5	20	20	1.0		3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	202									
6	5	17	17	3.0		0	0	Chord	4/4	6	1	3/4	1/2	3/2	203									14
6	5	20	20	1.0		3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	204									
6	5	17	17	1.0		0	0	Chord	4/4	6	2	1/4	1/4	1	205									15
6	5	18	18	1.0		1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	206									15
6	5	19	19	1.0		1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	207									15
6	5	20	20	1.0		3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	208									
6	5	17	17	3.0		0	0	Chord	4/4	7	1	3/4	1/2	3/2	209									16
6	5	20	20	1.0		3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	210									
6	5	17	17	1.0		0	0	Chord	4/4	8	2	1/4	1/4	1	211									17
6	5	18	18	1.0		1/4	1/4	Chord	4/4	8	2	1/4	1/4	1	212									17
6	5	19	19	1.0		1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	213									17
6	5	20	20	1.0		3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	214									
6	5	17	17	1.0		0	0	Chord	4/4	9	2	1/4	1/4	1	215									18
6	5	18	18	1.0		1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	216									18
6	5	19	19	1.0		1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	217									18
6	5	20	20	1.0		3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	218									
6	5	17	17	1.0		0	0	Chord	4/4	10	2	1/4	1/4	1	219									19
6	5	18	18	1.0		1/4	1/4	Chord	4/4	10	2	1/4	1/4	1	220									19
6	5	19	19	1.0		1/2	1/2	Chord	4/4	10	2	1/4	1/4	1	221									19
6	5	20	20	1.0		3/4	3/4	Chord	4/4	10	2	1/4	1/4	1	222									
7	6		21	3.0	1	0	0	Chord	4/4	1	1	3/4	1/2	3/2	223									
7	6		21	3.0	1	0	0	Chord	4/4	1	2	3/4	1/2	3/2	224									
7	6		21	3.0	1	0	0	Chord	4/4	2	1	3/4	1/2	3/2	225									
7	6		21	3.0	1	0	0	Chord	4/4	3	1	3/4	1/2	3/2	226									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	227									
7	6		21	3.0	1	0	0	Chord	4/4	4	2	3/4	1/2	3/2	228									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	229									
7	6		21	3.0	1	0	0	Chord	4/4	5	1	3/4	1/2	3/2	230	-then.								
7	6		24	1.0	1	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	231	Das-								
7	6		21	3.0	1	0	0	Chord	4/4	5	2	3/4	1/2	3/2	232									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	233									
7	6		21	3.0	1	0	0	Chord	4/4	6	1	3/4	1/2	3/2	234									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	235									
7	6		21	3.0	1	0	0	Chord	4/4	6	2	3/4	1/2	3/2	236									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	237									
7	6		21	3.0	1	0	0	Chord	4/4	7	1	3/4	1/2	3/2	238									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	239									
7	6		21	3.0	1	0	0	Chord	4/4	8	2	3/4	1/2	3/2	240									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	241									
7	6		21	3.0	1	0	0	Chord	4/4	9	2	3/4	1/2	3/2	242									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	243									
7	6		21	3.0	1	0	0	Chord	4/4	10	2	3/4	1/2	3/2	244									
7	6		24	1.0	1	3/4	3/4	Chord	4/4	10	2	1/4	1/4	1	245									
8	7	21	25	3.0	2	0	0	Chord	4/4	1	1	3/4	1/2	3/2	246									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	247									
8	7	21	25	3.0	2	0	0	Chord	4/4	1	2	3/4	1/2	3/2	248									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	249									
8	7	21	25	3.0	2	0	0	Chord	4/4	2	1	3/4	1/2	3/2	250									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	251									
8	7	21	25	3.0	2	0	0	Chord	4/4	3	1	3/4	1/2	3/2	252									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	253									
8	7	21	25	3.0	2	0	0	Chord	4/4	4	2	3/4	1/2	3/2	254									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	255									
8	7	21	25	3.0	2	0	0	Chord	4/4	5	1	3/4	1/2	3/2	256	then.								
