mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
2	1	3	3	1.0	1/2	1/2	Chord	4/4	11	1	1/4	1/4	1	83											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	11	1	1/4	1/4	1	84											
2	1	1	1	1.0	0	0	Chord	4/4	12	2	1/4	1/4	1	85											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	12	2	1/4	1/4	1	86											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	12	2	1/4	1/4	1	87											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	12	2	1/4	1/4	1	88											
2	1	1	1	1.0	0	0	Chord	4/4	13	2	1/4	1/4	1	89											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	13	2	1/4	1/4	1	90											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	13	2	1/4	1/4	1	91											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	13	2	1/4	1/4	1	92											
2	1	1	1	1.0	0	0	Chord	4/4	14	1	1/4	1/4	1	93											
2	1	2	2	0.0	1/4	1/4	FiguredBass	4/4	14	1	0										1/4	6			
2	1	2	2	1.0	1/4	1/4	Chord	4/4	14	1	1/4	1/4	1	94											
2	1	3	3	0.0	1/2	1/2	FiguredBass	4/4	14	1	0										1/8	5			
2	1	3	3	1.0	1/2	1/2	Chord	4/4	14	1	1/4	1/4	1	95											
2	1	7/2	7/2	0.0	5/8	5/8	FiguredBass	4/4	14	1	0										1/8	6			
2	1	4	4	0.0	3/4	3/4	FiguredBass	4/4	14	1	0										1/4	6			
2	1	4	4	1.0	3/4	3/4	Chord	4/4	14	1	1/4	1/4	1	96											
2	1	1	1	1.0	0	0	Chord	4/4	15	1	1/4	1/4	1	97											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	15	1	1/4	1/4	1	98											
2	1	3	3	0.5	1/2	1/2	Chord	4/4	15	1	1/8	1/8	1	99											
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	15	1	1/8	1/8	1	100											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	15	1	1/4	1/4	1	101											
3	2	5	5	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=69.1	69.0	𝅘𝅥	69.1	0.0					
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	102											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	103											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	104											
3	2	8	8	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0					
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	105											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	106											
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	107											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	108											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	109											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	110											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	111											
3	2	5	5	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	112											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	113											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	114											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	115											
3	2	5	5	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	116	dei-										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	117	-ne,										
3	2	8	8	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	118	und										
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	119											
3	2	5	5	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	120											0
3	2	6	6	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	121											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	122											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	123											
3	2	5	5	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	124											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	125											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	126											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	127											
3	2	5	5	1.0	0	0	Chord	4/4	6	2	1/4	1/4	1	128											1
3	2	6	6	1.0	1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	129											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	130											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	131											
3	2	5	5	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	132											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	133											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	134											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	135											
3	2	5	5	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	136											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	137											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	8	1	1/8	1/8	1	138											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	8	1	1/8	1/8	1	139											
3	2	5	5	1.0	0	0	Chord	4/4	9	1	1/4	1/4	1	140											2
3	2	6	6	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	141											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	9	1	1/4	1/4	1	142											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	9	1	1/8	1/8	1	143											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	9	1	1/8	1/8	1	144											
3	2	5	5	1.0	0	0	Chord	4/4	9	2	1/4	1/4	1	145											3
3	2	6	6	1.0	1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	146											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	147											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	148											
3	2	5	5	1.0	0	0	Chord	4/4	10	1	1/4	1/4	1	149											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	10	1	1/4	1/4	1	150											
