mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	95									5
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	96									
6	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	97	ler	be-							
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	98									
6	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	99									6
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	100									6
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	101									6
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	102									6
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	103									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	104									
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	105									7
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	106									7
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	107									7
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	108									7
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	109									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	110									
6	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	111									8
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	112									8
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	113									8
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	114									8
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	115									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	116									
6	5	17	17	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	117									
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	118									
6	5	17	17	0.5	0	0	Chord	4/4	5	2	1/8	1/8	1	119									9
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	5	2	1/8	1/8	1	120									9
6	5	18	18	0.5	1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	121									9
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	122									9
6	5	19	19	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	123									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	124									
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	125	Gü-	-hü-							10
7	6	22	22	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	126									
7	6	45/2	45/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
7	6	23	23	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0	
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	127	-te,	-te,							
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	128									11
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	129									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	130									
7	6	21	21	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	131									12
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	132									12
7	6	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	133									12
7	6	45/2	45/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	134									12
7	6	91/4	91/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	135									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	136									
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	137									13
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	138									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	139									
7	6	21	21	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	140									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	141									
7	6	21	21	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	142									14
7	6	22	22	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	143									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	144									
8	7	24	24	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
8	7	24	24	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	145		und							
8	7	24	24	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	146									
8	7	24	24	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	147									
8	7	24	24	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	148									
8	7	24	24	1.0	0	3/4	Chord	4/4	5	2	1/4	1/4	1	149									
9	8	25	25	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	150		Gott,							
9	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	151									
9	8	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	152		dem							
9	8	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	153		hei-							
9	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	154									
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	155		-li-							
9	8	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	156									
9	8	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	157									
9	8	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	158									
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	159									
9	8	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	160									
9	8	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	161									
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	162									
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	163									
9	8	28	28	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	164									
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	165									
9	8	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	166									
9	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	167									
9	8	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	168									
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	169									
9	8	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	170									
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	171									
9	8	25	25	0.5	0	0	Chord	4/4	5	2	1/8	1/8	1	172									
