mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
2	1	2	1a	11/4	11/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	8	11.469999999999999	14.08
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		1	55	G3	3	25	14.08	15.7
2	1	2	1a	3	3	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	62	D4	4	23	14.08	20.08
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		1	67	G4	4	15	14.08	15.7
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		-2	70	Bb4	4	9	14.08	15.7
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		3	57	A3	3	26	15.7	16.68
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	16	15.7	16.68
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	10	15.7	16.68
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		-2	58	Bb3	3	27	16.68	18.76
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		1	67	G4	4	11	16.68	18.76
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	1	2	1/8		1/8	1		1	67	G4	4	17	16.68	18.76
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		3	57	A3	3	28	18.76	20.08
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	18	18.76	20.08
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	12	18.76	20.08
3	2	3	2a	5	5	0.5	0	0	4/4	2	2	1/8		1/8	1		1	55	G3	3	47	20.08	20.44
3	2	3	2a	5	5	0.5	0	0	4/4	2	1	1/8		1/8	1		2	62	D4	4	39	20.08	20.44
3	2	3	2a	5	5	1.5	0	0	4/4	1	2	3/8		1/4	3/2		1	67	G4	4	35	20.08	21.32
3	2	3	2a	5	5	0.75	0	0	4/4	1	1	3/16		1/8	3/2		-2	70	Bb4	4	29	20.08	20.689999999999998
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		-1	53	F3	3	48	20.44	20.94
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	40	20.44	20.94
3	2	3	2a	23/4	23/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	30	20.689999999999998	20.94
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		-3	51	Eb3	3	49	20.94	21.8
3	2	3	2a	6	6	0.25	1/4	1/4	4/4	2	1	1/16		1/16	1		0	60	C4	4	41	20.94	21.09
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	31	20.94	21.8
3	2	3	2a	25/4	25/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		-2	58	Bb3	3	42	21.09	21.32
3	2	3	2a	13/2	13/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		3	57	A3	3	43	21.32	21.549999999999997
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		3	69	A4	4	36	21.32	21.8
3	2	3	2a	27/4	27/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		1	55	G3	3	44	21.549999999999997	21.8
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		2	50	D3	3	50	21.8	22.6
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	A3	3	45	21.8	22.6
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	37	21.8	22.6
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		2	74	D5	5	32	21.8	22.6
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	51	22.6	23.56
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		-2	58	Bb3	3	46	22.6	23.56
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		1	67	G4	4	38	22.6	23.56
3	2	3	2a	8	8	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5	33	22.6	23.06
3	2	3	2a	17/2	17/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	34	23.06	23.56
4	3	4	3a	9	9	1.0	0	0	4/4	2	2	1/4		1/4	1		3	57	A3	3	69	23.56	28.76
4	3	4	3a	9	9	1.0	0	0	4/4	2	1	1/4		1/4	1		0	60	C4	4	63	23.56	28.76
4	3	4	3a	9	9	1.0	0	0	4/4	1	2	1/4		1/4	1		-1	65	F4	4	59	23.56	28.76
4	3	4	3a	9	9	0.5	0	0	4/4	1	1	1/8		1/8	1		-1	77	F5	5	52	23.56	26.74
4	3	4	3a	19/2	19/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	53	26.74	28.76
4	3	4	3a	10	10	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		-2	58	Bb3	3	64	28.76	43.72
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		-2	58	Bb3	3	70	28.76	44.22
4	3	4	3a	10	10	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		-1	65	F4	4	60	28.76	44.22
4	3	4	3a	10	10	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		2	74	D5	5	54	28.76	43.72
4	3	4	3a	21/2	21/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-4	56	Ab3	3	65	43.72	44.22
4	3	4	3a	21/2	21/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	55	43.72	44.22
4	3	4	3a	11	11	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		-3	51	Eb3	3	71	44.22	45.72
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	66	44.22	46.64
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		1	67	G4	4	61	44.22	46.64
4	3	4	3a	11	11	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		-2	70	Bb4	4	56	44.22	46.64
4	3	4	3a	23/2	23/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		-1	53	F3	3	72	45.72	46.64
4	3	4	3a	12	12	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		-3	51	Eb3	3	73	46.64	51.38
4	3	4	3a	12	12	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		3	57	A3	3	67	46.64	51.38
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		-1	65	F4	4	62	46.64	52.26
4	3	4	3a	12	12	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		0	72	C5	5	57	46.64	51.38
4	3	4	3a	25/2	25/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		2	50	D3	3	74	51.38	52.26
4	3	4	3a	25/2	25/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	68	51.38	52.26
4	3	4	3a	25/2	25/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		2	74	D5	5	58	51.38	52.26
5	4	5	4a	13	13	2.0	0	0	4/4	2	2	1/2		1/2	1		0	48	C3	3	85	52.26	57.06
5	4	5	4a	13	13	0.5	0	0	4/4	2	1	1/8		1/8	1		0	60	C4	4	81	52.26	54.78
5	4	5	4a	13	13	0.5	0	0	4/4	1	2	1/8		1/8	1		-3	63	Eb4	4	77	52.26	54.78
5	4	5	4a	13	13	2.0	0	0	4/4	1	1	1/2		1/2	1		-3	75	Eb5	5	75	52.26	57.06
5	4	5	4a	27/2	27/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		-2	58	Bb3	3	82	54.78	56.06
5	4	5	4a	27/2	27/2	1.0	1/8	1/8	4/4	1	2	1/4		1/4	1		1	67	G4	4	78	54.78	56.56
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	83	56.06	57.06
5	4	5	4a	29/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	79	56.56	57.06
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		1	43	G2	2	86	57.06	61.5
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		-2	58	Bb3	3	84	57.06	61.5
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		1	67	G4	4	80	57.06	61.5
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		2	74	D5	5	76	57.06	61.5
1	0	6	4a	16	0	1.0	0	3/4	4/4	2	2	1/4		1/4	1		6	54	F#3	3	3	61.5	63.0
1	0	6	4a	16	0	1.0	0	3/4	4/4	2	1	1/4		1/4	1		2	62	D4	4	2	61.5	63.0
1	0	6	4a	16	0	1.0	0	3/4	4/4	1	2	1/4		1/4	1		3	69	A4	4	1	61.5	63.0
1	0	6	4a	16	0	1.0	0	3/4	4/4	1	1	1/4		1/4	1		2	74	D5	5	0	61.5	63.0
2	1	7	1b	17	1	0.0	0	0	4/4	1	1	0	appoggiatura	1/8	1		0	72	C5	5	4	63.0	63.0
2	1	7	1b	17	1	2.0	0	0	4/4	2	2	1/2		1/2	1		1	55	G3	3	24	63.0	68.92
2	1	7	1b	17	1	0.5	0	0	4/4	2	1	1/8		1/8	1		2	62	D4	4	19	63.0	67.48
2	1	7	1b	17	1	1.0	0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4	13	63.0	67.98
2	1	7	1b	17	1	1.0	0	0	4/4	1	1	1/4		1/4	1		-2	70	Bb4	4	5	63.0	67.98
2	1	7	1b	35/2	3/2	1.0	1/8	1/8	4/4	2	1	1/4		1/4	1		-3	63	Eb4	4	20	67.48	68.46
2	1	7	1b	18	2	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	14	67.98	68.92
2	1	7	1b	18	2	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		3	69	A4	4	6	67.98	68.46
2	1	7	1b	37/2	5/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		-3	63	Eb4	4	21	68.46	68.67
2	1	7	1b	37/2	5/2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	7	68.46	68.67
2	1	7	1b	75/4	11/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		2	62	D4	4	22	68.67	68.92
2	1	7	1b	75/4	11/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	8	68.67	68.92
2	1	7	1b	19	3	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		1	55	G3	3	25	68.92	69.36
2	1	7	1b	19	3	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		2	62	D4	4	23	68.92	73.3
2	1	7	1b	19	3	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		1	67	G4	4	15	68.92	69.36
2	1	7	1b	19	3	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		-2	70	Bb4	4	9	68.92	69.36
2	1	7	1b	39/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		3	57	A3	3	26	69.36	69.86
2	1	7	1b	39/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	16	69.36	69.86
2	1	7	1b	39/2	7/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	10	69.36	69.86
2	1	7	1b	20	4	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		-2	58	Bb3	3	27	69.86	71.84
2	1	7	1b	20	4	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		1	67	G4	4	11	69.86	71.84
2	1	7	1b	20	4	0.5	3/4	3/4	4/4	1	2	1/8		1/8	1		1	67	G4	4	17	69.86	71.84
2	1	7	1b	41/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		3	57	A3	3	28	71.84	73.3
2	1	7	1b	41/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	18	71.84	73.3
2	1	7	1b	41/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	12	71.84	73.3
3	2	8	2b	21	5	0.5	0	0	4/4	2	2	1/8		1/8	1		1	55	G3	3	47	73.3	74.08
3	2	8	2b	21	5	0.5	0	0	4/4	2	1	1/8		1/8	1		2	62	D4	4	39	73.3	74.08
3	2	8	2b	21	5	1.5	0	0	4/4	1	2	3/8		1/4	3/2		1	67	G4	4	35	73.3	78.86
3	2	8	2b	21	5	0.75	0	0	4/4	1	1	3/16		1/8	3/2		-2	70	Bb4	4	29	73.3	76.57
3	2	8	2b	43/2	11/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		-1	53	F3	3	48	74.08	77.38
3	2	8	2b	43/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	40	74.08	77.38
3	2	8	2b	87/4	23/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	30	76.57	77.38
3	2	8	2b	22	6	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		-3	51	Eb3	3	49	77.38	79.36
3	2	8	2b	22	6	0.25	1/4	1/4	4/4	2	1	1/16		1/16	1		0	60	C4	4	41	77.38	78.25
3	2	8	2b	22	6	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	31	77.38	79.36
3	2	8	2b	89/4	25/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		-2	58	Bb3	3	42	78.25	78.86
3	2	8	2b	45/2	13/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		3	57	A3	3	43	78.86	79.11
3	2	8	2b	45/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		3	69	A4	4	36	78.86	79.36
3	2	8	2b	91/4	27/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		1	55	G3	3	44	79.11	79.36
3	2	8	2b	23	7	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		2	50	D3	3	50	79.36	87.6
3	2	8	2b	23	7	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	A3	3	45	79.36	87.6
3	2	8	2b	23	7	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	37	79.36	87.6
3	2	8	2b	23	7	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		2	74	D5	5	32	79.36	87.6
3	2	8	2b	24	8	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	51	87.6	88.48
3	2	8	2b	24	8	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		-2	58	Bb3	3	46	87.6	88.48
3	2	8	2b	24	8	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		1	67	G4	4	38	87.6	88.48
3	2	8	2b	24	8	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5	33	87.6	88.0
3	2	8	2b	49/2	17/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	34	88.0	88.48
4	3	9	3b	25	9	1.0	0	0	4/4	2	2	1/4		1/4	1		3	57	A3	3	69	88.48	89.26
4	3	9	3b	25	9	1.0	0	0	4/4	2	1	1/4		1/4	1		0	60	C4	4	63	88.48	89.26
4	3	9	3b	25	9	1.0	0	0	4/4	1	2	1/4		1/4	1		-1	65	F4	4	59	88.48	89.26
4	3	9	3b	25	9	0.5	0	0	4/4	1	1	1/8		1/8	1		-1	77	F5	5	52	88.48	88.82
4	3	9	3b	51/2	19/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	53	88.82	89.26
4	3	9	3b	26	10	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		-2	58	Bb3	3	64	89.26	89.68
4	3	9	3b	26	10	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		-2	58	Bb3	3	70	89.26	90.06
4	3	9	3b	26	10	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		-1	65	F4	4	60	89.26	90.06
4	3	9	3b	26	10	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		2	74	D5	5	54	89.26	89.68
4	3	9	3b	53/2	21/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-4	56	Ab3	3	65	89.68	90.06
4	3	9	3b	53/2	21/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	55	89.68	90.06
4	3	9	3b	27	11	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		-3	51	Eb3	3	71	90.06	90.44
4	3	9	3b	27	11	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	66	90.06	90.88
4	3	9	3b	27	11	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		1	67	G4	4	61	90.06	90.88
4	3	9	3b	27	11	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		-2	70	Bb4	4	56	90.06	90.88
4	3	9	3b	55/2	23/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		-1	53	F3	3	72	90.44	90.88
4	3	9	3b	28	12	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		-3	51	Eb3	3	73	90.88	91.38
4	3	9	3b	28	12	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		3	57	A3	3	67	90.88	91.38
4	3	9	3b	28	12	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		-1	65	F4	4	62	90.88	91.7
4	3	9	3b	28	12	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		0	72	C5	5	57	90.88	91.38
4	3	9	3b	57/2	25/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		2	50	D3	3	74	91.38	91.7
4	3	9	3b	57/2	25/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	68	91.38	91.7
4	3	9	3b	57/2	25/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		2	74	D5	5	58	91.38	91.7
5	4	10	4b	29	13	2.0	0	0	4/4	2	2	1/2		1/2	1		0	48	C3	3	85	91.7	93.7
5	4	10	4b	29	13	0.5	0	0	4/4	2	1	1/8		1/8	1		0	60	C4	4	81	91.7	92.2
5	4	10	4b	29	13	0.5	0	0	4/4	1	2	1/8		1/8	1		-3	63	Eb4	4	77	91.7	92.2
5	4	10	4b	29	13	2.0	0	0	4/4	1	1	1/2		1/2	1		-3	75	Eb5	5	75	91.7	93.7
5	4	10	4b	59/2	27/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		-2	58	Bb3	3	82	92.2	92.7
5	4	10	4b	59/2	27/2	1.0	1/8	1/8	4/4	1	2	1/4		1/4	1		1	67	G4	4	78	92.2	93.2
5	4	10	4b	30	14	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	83	92.7	93.7
5	4	10	4b	61/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	79	93.2	93.7
5	4	10	4b	31	15	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		1	43	G2	2	86	93.7	94.84
5	4	10	4b	31	15	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		-2	58	Bb3	3	84	93.7	94.84
5	4	10	4b	31	15	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		1	67	G4	4	80	93.7	94.84
5	4	10	4b	31	15	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		2	74	D5	5	76	93.7	94.84
6	4	11	4b	32	16	1.0	0	3/4	4/4	2	2	1/4		1/4	1		2	50	D3	3	92	94.84	95.8
6	4	11	4b	32	16	1.0	0	3/4	4/4	2	1	1/4		1/4	1		-2	58	Bb3	3	91	94.84	95.8
6	4	11	4b	32	16	0.5	0	3/4	4/4	1	2	1/8		1/8	1		-1	65	F4	4	88	94.84	95.34
6	4	11	4b	32	16	1.0	0	3/4	4/4	1	1	1/4		1/4	1		-1	77	F5	5	87	94.84	95.8
6	4	11	4b	65/2	33/2	0.25	1/8	7/8	4/4	1	2	1/16		1/16	1		-2	70	Bb4	4	89	95.34	95.59
6	4	11	4b	131/4	67/4	0.25	3/16	15/16	4/4	1	2	1/16		1/16	1		-4	68	Ab4	4	90	95.59	95.8
7	5	12	5a	33	17	1.0	0	0	4/4	2	2	1/4		1/4	1		-3	51	Eb3	3	110	95.8	96.58
7	5	12	5a	33	17	0.5	0	0	4/4	2	1	1/8		1/8	1		-2	58	Bb3	3	104	95.8	96.08
7	5	12	5a	33	17	1.0	0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4	100	95.8	96.58
7	5	12	5a	33	17	1.0	0	0	4/4	1	1	1/4		1/4	1		1	79	G5	5	93	95.8	96.58
7	5	12	5a	67/2	35/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	105	96.08	96.58
7	5	12	5a	34	18	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		-1	53	F3	3	111	96.58	97.5
7	5	12	5a	34	18	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		2	62	D4	4	106	96.58	97.0
7	5	12	5a	34	18	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		3	69	A4	4	101	96.58	97.5
7	5	12	5a	34	18	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		-1	77	F5	5	94	96.58	97.0
7	5	12	5a	69/2	37/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	107	97.0	97.5
7	5	12	5a	69/2	37/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	95	97.0	97.5
7	5	12	5a	35	19	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		6	54	F#3	3	112	97.5	98.22
7	5	12	5a	35	19	1.5	1/2	1/2	4/4	2	1	3/8		1/4	3/2		2	62	D4	4	108	97.5	98.58
7	5	12	5a	35	19	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		3	69	A4	4	102	97.5	98.22
7	5	12	5a	35	19	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		2	74	D5	5	96	97.5	98.0
7	5	12	5a	71/2	39/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	97	98.0	98.22
7	5	12	5a	36	20	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	113	98.22	99.04
7	5	12	5a	36	20	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		-2	70	Bb4	4	98	98.22	98.58
7	5	12	5a	36	20	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		-2	70	Bb4	4	103	98.22	99.04
7	5	12	5a	73/2	41/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	109	98.58	99.04
7	5	12	5a	73/2	41/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	99	98.58	99.04
8	6	13	6a	37	21	0.5	0	0	4/4	2	2	1/8		1/8	1		-1	53	F3	3	131	99.04	99.54
8	6	13	6a	37	21	0.5	0	0	4/4	2	1	1/8		1/8	1		-1	65	F4	4	125	99.04	99.54
8	6	13	6a	37	21	0.5	0	0	4/4	1	2	1/8		1/8	1		-2	70	Bb4	4	119	99.04	99.54
8	6	13	6a	37	21	0.5	0	0	4/4	1	1	1/8		1/8	1		2	74	D5	5	114	99.04	99.54
8	6	13	6a	75/2	43/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		-3	51	Eb3	3	132	99.54	99.88
8	6	13	6a	75/2	43/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		1	67	G4	4	126	99.54	99.88
8	6	13	6a	75/2	43/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		0	72	C5	5	120	99.54	99.88
8	6	13	6a	75/2	43/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	115	99.54	99.88
8	6	13	6a	38	22	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		-1	53	F3	3	133	99.88	100.88
8	6	13	6a	38	22	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		-1	65	F4	4	127	99.88	100.38
8	6	13	6a	38	22	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		3	69	A4	4	121	99.88	100.88
8	6	13	6a	38	22	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	116	99.88	100.88
8	6	13	6a	77/2	45/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	128	100.38	100.88
8	6	13	6a	39	23	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		-2	46	Bb2	2	134	100.88	101.88
8	6	13	6a	39	23	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		2	62	D4	4	129	100.88	101.88
