mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	7	5a	20	0	1.0	0	3/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	1	18.46	19.46
1	0	7	5a	20	0	1.0	0	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	0	18.46	19.46
2	1	8	1b	21	1	0.5	0	0	4/4	2	2	1/8		1/8	1		4	52	E3	3	25	19.46	19.96
2	1	8	1b	21	1	1.0	0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	18	19.46	20.46
2	1	8	1b	21	1	1.0	0	0	4/4	1	2	1/4		1/4	1		4	64	E4	4	10	19.46	20.46
2	1	8	1b	21	1	1.0	0	0	4/4	1	1	1/4		1/4	1		1	67	G4	4	4	19.46	20.46
2	1	8	1b	43/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	26	19.96	20.46
2	1	8	1b	22	2	0.5	1/4	1/4	4/4	2	2	1/8		1/8	1		4	52	E3	3	27	20.46	20.94
2	1	8	1b	22	2	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		0	60	C4	4	19	20.46	20.94
2	1	8	1b	22	2	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		6	66	F#4	4	11	20.46	20.94
2	1	8	1b	22	2	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		3	69	A4	4	5	20.46	20.94
2	1	8	1b	45/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	28	20.94	21.34
2	1	8	1b	45/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		6	54	F#3	3	20	20.94	21.34
2	1	8	1b	45/2	5/2	0.25	3/8	3/8	4/4	1	2	1/16		1/16	1		1	67	G4	4	12	20.94	21.15
2	1	8	1b	45/2	5/2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		5	71	B4	4	6	20.94	21.15
2	1	8	1b	91/4	11/4	0.25	7/16	7/16	4/4	1	2	1/16		1/16	1		3	69	A4	4	13	21.15	21.34
2	1	8	1b	91/4	11/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	7	21.15	21.34
2	1	8	1b	23	3	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		4	52	E3	3	29	21.34	21.84
2	1	8	1b	23	3	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	55	G3	3	21	21.34	21.84
2	1	8	1b	23	3	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		1	67	G4	4	14	21.34	21.84
2	1	8	1b	23	3	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	8	21.34	22.62
2	1	8	1b	47/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	30	21.84	22.16
2	1	8	1b	47/2	7/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	22	21.84	22.16
2	1	8	1b	47/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	15	21.84	22.16
2	1	8	1b	24	4	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		1	55	G3	3	31	22.16	22.62
2	1	8	1b	24	4	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		5	59	B3	3	23	22.16	22.62
2	1	8	1b	24	4	0.5	3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	16	22.16	22.62
2	1	8	1b	49/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		3	57	A3	3	32	22.62	23.08
2	1	8	1b	49/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	24	22.62	23.08
2	1	8	1b	49/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	17	22.62	23.08
2	1	8	1b	49/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	9	22.62	23.08
3	2	9	2b	25	5	1.0	0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	45	23.08	23.8
3	2	9	2b	25	5	1.0	0	0	4/4	2	2	1/4		1/4	1		5	59	B3	3	50	23.08	23.8
3	2	9	2b	25	5	0.5	0	0	4/4	1	2	1/8		1/8	1		6	66	F#4	4	39	23.08	23.54
3	2	9	2b	25	5	1.0	0	0	4/4	1	1	1/4		1/4	1		1	67	G4	4	33	23.08	23.8
3	2	9	2b	51/2	11/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	40	23.54	23.8
3	2	9	2b	26	6	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		5	47	B2	2	51	23.8	24.58
