mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id	start	end
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4		19	3.24	3.7
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4		14	3.24	3.7
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		2	74	D5	5		9	3.24	3.3
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		4	76	E5	5		10	3.3	3.7
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		20	3.7	4.36
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		10	70	A#4	4		15	3.7	4.2
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		11	3.7	4.36
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3		24	4.2	4.36
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		5	71	B4	4		16	4.2	4.36
3	2	3	2a	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		10	58	A#3	3		37	4.36	5.36
3	2	3	2a	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4		32	4.36	5.36
3	2	3	2a	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		7	73	C#5	5		28	4.36	5.36
3	2	3	2a	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		25	4.36	5.36
3	2	3	2a	6	6	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		5	59	B3	3		38	5.36	5.707272727272727
3	2	3	2a	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		33	5.36	5.707272727272727
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		29	5.36	5.94
3	2	3	2a	6	6	2.0	1/4	1/4	4/4	1	1	1/2	1/2	1		2	74	D5	5		26	5.36	6.58
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3		39	5.707272727272727	5.94
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4		34	5.707272727272727	5.94
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		8	56	G#3	3		40	5.94	6.58
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3		35	5.94	6.58
3	2	3	2a	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		30	5.94	6.58
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3		36	6.58	7.42
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3		41	6.58	7.42
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		31	6.58	7.42
3	2	3	2a	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5		27	6.58	7.42
4	3	4	3a	9	9	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3		48	7.42	9.42
4	3	4	3a	9	9	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3		46	7.42	9.42
4	3	4	3a	9	9	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4		44	7.42	9.42
4	3	4	3a	9	9	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5		42	7.42	9.42
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	6.0	47	9.58	10.26
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	62	D4	4		49	9.58	10.26
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		45	9.58	10.26
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		43	9.58	10.26
5	4	5	4a	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3		65	10.26	11.02
5	4	5	4a	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4		60	10.26	11.02
5	4	5	4a	13	13	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4		55	10.26	10.58
5	4	5	4a	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		50	10.26	11.02
5	4	5	4a	27/2	27/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4		56	10.58	11.02
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3		66	11.02	11.66
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		61	11.02	11.66
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		57	11.02	11.66
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		51	11.02	11.66
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		67	11.66	12.28
5	4	5	4a	15	15	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4		62	11.66	12.16
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4		58	11.66	12.28
5	4	5	4a	15	15	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73	C#5	5		52	11.66	12.16
5	4	5	4a	31/2	31/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		63	12.16	12.28
5	4	5	4a	31/2	31/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4		53	12.16	12.28
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1	1	6	54	F#3	3		68	12.28	13.28
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4		64	12.28	13.28
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		59	12.28	13.28
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		54	12.28	13.28
6	5	6	5a	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1	-1	6	54	F#3	3		81	13.28	13.74
6	5	6	5a	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4		76	13.28	13.74
6	5	6	5a	17	17	3.0	0	0	4/4	1	2	3/4	1/2	3/2		1	67	G4	4		73	13.28	15.12
6	5	6	5a	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4		69	13.28	13.74
6	5	6	5a	18	18	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		82	13.74	14.08
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		77	13.74	14.48
6	5	6	5a	18	18	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5		70	13.74	14.08
6	5	6	5a	37/2	37/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		83	14.08	14.48
6	5	6	5a	37/2	37/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5		71	14.08	14.48
6	5	6	5a	19	19	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		7	49	C#3	3		84	14.48	14.82
6	5	6	5a	19	19	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		10	58	A#3	3		78	14.48	14.82
6	5	6	5a	19	19	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5		72	14.48	15.82
6	5	6	5a	39/2	39/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		85	14.82	15.12
6	5	6	5a	39/2	39/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		79	14.82	15.12
6	5	6	5a	20	20	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		10	46	A#2	2		86	15.12	15.62
6	5	6	5a	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4		80	15.12	15.82
6	5	6	5a	20	20	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4		74	15.12	15.62
6	5	6	5a	41/2	41/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3		87	15.62	15.82
6	5	6	5a	41/2	41/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4		75	15.62	15.82
7	6	7	6a	21	21	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3		100	15.82	16.68
7	6	7	6a	21	21	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4		97	15.82	16.68
7	6	7	6a	21	21	1.0	0	0	4/4	1	2	1/4	1/4	1		10	70	A#4	4		91	15.82	16.68
7	6	7	6a	21	21	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		88	15.82	16.68
7	6	7	6a	22	22	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		101	16.68	16.94
7	6	7	6a	22	22	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		5	59	B3	3		98	16.68	18.06
7	6	7	6a	22	22	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		5	71	B4	4		92	16.68	16.94
7	6	7	6a	22	22	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		89	16.68	17.22
7	6	7	6a	45/2	45/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3		102	16.94	17.22
7	6	7	6a	45/2	45/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4		93	16.94	17.22
7	6	7	6a	23	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		103	17.22	18.06
7	6	7	6a	23	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4		94	17.22	18.06
7	6	7	6a	23	23	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5		90	17.22	19.02
7	6	7	6a	24	24	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3		104	18.06	19.02
7	6	7	6a	24	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3		99	18.06	19.02
7	6	7	6a	24	24	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4		95	18.06	18.52
7	6	7	6a	49/2	49/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		96	18.52	19.02
8	7	8	7a	25	25	2.0	0	0	4/4	2	2	1/2	1/2	1		5	47	B2	2		108	19.02	21.02
8	7	8	7a	25	25	2.0	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3		107	19.02	21.02
8	7	8	7a	25	25	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4		106	19.02	21.02
8	7	8	7a	25	25	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4		105	19.02	21.02
1	0	9	7a	28	0	0.5	0	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3		4	21.14	21.64
1	0	9	7a	28	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3		3	21.14	21.92
1	0	9	7a	28	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4		1	21.14	21.64
1	0	9	7a	28	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		0	21.14	21.92
1	0	9	7a	57/2	1/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		5	21.64	21.92
1	0	9	7a	57/2	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4		2	21.64	21.92
2	1	10	1b	29	1	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3		21	21.92	22.66
2	1	10	1b	29	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4		17	21.92	22.66
2	1	10	1b	29	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4		6	21.92	22.66
2	1	10	1b	29	1	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4		12	21.92	22.66
2	1	10	1b	30	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3		22	22.66	23.38
2	1	10	1b	30	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		18	22.66	23.38
2	1	10	1b	30	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4		13	22.66	23.38
2	1	10	1b	30	2	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4		7	22.66	22.94
2	1	10	1b	61/2	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5		8	22.94	23.38
2	1	10	1b	31	3	1.5	1/2	1/2	4/4	2	2	3/8	1/4	3/2		6	54	F#3	3		23	23.38	24.48
2	1	10	1b	31	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4		19	23.38	24.02
2	1	10	1b	31	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4		14	23.38	24.02
2	1	10	1b	31	3	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		2	74	D5	5		9	23.38	23.68
2	1	10	1b	63/2	7/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		4	76	E5	5		10	23.68	24.02
2	1	10	1b	32	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		20	24.02	24.74
2	1	10	1b	32	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		10	70	A#4	4		15	24.02	24.48
2	1	10	1b	32	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		11	24.02	24.74
2	1	10	1b	65/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3		24	24.48	24.74
2	1	10	1b	65/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		5	71	B4	4		16	24.48	24.74
3	2	11	2b	33	5	1.0	0	0	4/4	2	2	1/4	1/4	1		10	58	A#3	3		37	24.74	25.52
3	2	11	2b	33	5	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4		32	24.74	25.52
3	2	11	2b	33	5	1.0	0	0	4/4	1	2	1/4	1/4	1		7	73	C#5	5		28	24.74	25.52
3	2	11	2b	33	5	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		25	24.74	25.52
3	2	11	2b	34	6	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		5	59	B3	3		38	25.52	25.82
3	2	11	2b	34	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		33	25.52	25.82
3	2	11	2b	34	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		29	25.52	26.12
3	2	11	2b	34	6	2.0	1/4	1/4	4/4	1	1	1/2	1/2	1		2	74	D5	5		26	25.52	26.88
3	2	11	2b	69/2	13/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3		39	25.82	26.12
3	2	11	2b	69/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4		34	25.82	26.12
3	2	11	2b	35	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		8	56	G#3	3		40	26.12	26.88
3	2	11	2b	35	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3		35	26.12	26.88
3	2	11	2b	35	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		30	26.12	26.88
3	2	11	2b	36	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3		36	26.88	27.62
3	2	11	2b	36	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3		41	26.88	27.62
3	2	11	2b	36	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		31	26.88	27.62
3	2	11	2b	36	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5		27	26.88	27.62
4	3	12	3b	37	9	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3		48	27.62	29.62
4	3	12	3b	37	9	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3		46	27.62	29.62
4	3	12	3b	37	9	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4		44	27.62	29.62
4	3	12	3b	37	9	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5		42	27.62	29.62
4	3	12	3b	40	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	6.0	47	29.82	30.62
4	3	12	3b	40	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	62	D4	4		49	29.82	30.62
4	3	12	3b	40	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		45	29.82	30.62
4	3	12	3b	40	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		43	29.82	30.62
5	4	13	4b	41	13	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3		65	30.62	31.2
5	4	13	4b	41	13	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4		60	30.62	31.2
5	4	13	4b	41	13	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4		55	30.62	31.12
5	4	13	4b	41	13	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		50	30.62	31.2
5	4	13	4b	83/2	27/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4		56	31.12	31.2
5	4	13	4b	42	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3		66	31.2	31.94
5	4	13	4b	42	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		61	31.2	31.94
5	4	13	4b	42	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		57	31.2	31.94
5	4	13	4b	42	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		51	31.2	31.94
5	4	13	4b	43	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		67	31.94	32.62
5	4	13	4b	43	15	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4		62	31.94	32.3
5	4	13	4b	43	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4		58	31.94	32.62
5	4	13	4b	43	15	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73	C#5	5		52	31.94	32.3
5	4	13	4b	87/2	31/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		63	32.3	32.62
5	4	13	4b	87/2	31/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4		53	32.3	32.62
5	4	13	4b	44	16	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1	1	6	54	F#3	3		68	32.62	33.52
5	4	13	4b	44	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4		64	32.62	33.52
5	4	13	4b	44	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		59	32.62	33.52
5	4	13	4b	44	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		54	32.62	33.52
6	5	14	5b	45	17	1.0	0	0	4/4	2	2	1/4	1/4	1	-1	6	54	F#3	3		81	33.52	34.02
6	5	14	5b	45	17	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4		76	33.52	34.02
6	5	14	5b	45	17	3.0	0	0	4/4	1	2	3/4	1/2	3/2		1	67	G4	4		73	33.52	35.26
6	5	14	5b	45	17	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4		69	33.52	34.02
6	5	14	5b	46	18	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		82	34.02	34.38
6	5	14	5b	46	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		77	34.02	34.76
6	5	14	5b	46	18	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5		70	34.02	34.38
6	5	14	5b	93/2	37/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		83	34.38	34.76
6	5	14	5b	93/2	37/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5		71	34.38	34.76
6	5	14	5b	47	19	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		7	49	C#3	3		84	34.76	35.08
6	5	14	5b	47	19	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		10	58	A#3	3		78	34.76	35.08
6	5	14	5b	47	19	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5		72	34.76	36.22
6	5	14	5b	95/2	39/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		85	35.08	35.26
6	5	14	5b	95/2	39/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		79	35.08	35.26
6	5	14	5b	48	20	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		10	46	A#2	2		86	35.26	35.72
6	5	14	5b	48	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4		80	35.26	36.22
6	5	14	5b	48	20	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4		74	35.26	35.72
6	5	14	5b	97/2	41/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3		87	35.72	36.22
6	5	14	5b	97/2	41/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4		75	35.72	36.22
7	6	15	6b	49	21	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3		100	36.22	36.98
7	6	15	6b	49	21	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4		97	36.22	36.98
7	6	15	6b	49	21	1.0	0	0	4/4	1	2	1/4	1/4	1		10	70	A#4	4		91	36.22	36.98
7	6	15	6b	49	21	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		88	36.22	36.98
7	6	15	6b	50	22	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		101	36.98	37.34
7	6	15	6b	50	22	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		5	59	B3	3		98	36.98	38.38
7	6	15	6b	50	22	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		5	71	B4	4		92	36.98	37.34
7	6	15	6b	50	22	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		89	36.98	37.6
7	6	15	6b	101/2	45/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3		102	37.34	37.6
7	6	15	6b	101/2	45/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4		93	37.34	37.6
7	6	15	6b	51	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		103	37.6	38.38
7	6	15	6b	51	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4		94	37.6	38.38
7	6	15	6b	51	23	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5		90	37.6	39.38
7	6	15	6b	52	24	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3		104	38.38	39.38
7	6	15	6b	52	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3		99	38.38	39.38
7	6	15	6b	52	24	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4		95	38.38	38.88
7	6	15	6b	105/2	49/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		96	38.88	39.38
8	7	16	7b	53	25	2.0	0	0	4/4	2	2	1/2	1/2	1		5	47	B2	2		108	39.38	41.38
8	7	16	7b	53	25	2.0	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3		107	39.38	41.38
8	7	16	7b	53	25	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4		106	39.38	41.38
8	7	16	7b	53	25	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4		105	39.38	41.38
9	7	17	7b	56	28	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3		112	41.48	42.28
9	7	17	7b	56	28	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		111	41.48	42.28
9	7	17	7b	56	28	1.0	0	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4		110	41.48	42.28
