mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
4	4	9	4b	69/2	29/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1	1	4	64	E4	4		61
4	4	9	4b	139/4	59/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		-2	58	Bb3	3		70
4	4	9	4b	35	15	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		79
4	4	9	4b	35	15	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3		71
4	4	9	4b	35	15	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	4	64	E4	4		62
4	4	9	4b	35	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		56
4	4	9	4b	71/2	31/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		5	59	B3	3		72
4	4	9	4b	71/2	31/2	0.25	7/8	7/8	4/4	1	2	1/16	1/16	1		2	62	D4	4		63
4	4	9	4b	143/4	63/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	57	A3	3		73
4	4	9	4b	143/4	63/4	0.25	15/16	15/16	4/4	1	2	1/16	1/16	1		0	60	C4	4		64
5	5	10	5b	36	16	4.0	0	0	4/4	2	2	1	1	1		4	52	E3	3		83
5	5	10	5b	36	16	4.0	0	0	4/4	2	1	1	1	1		8	56	G#3	3		82
5	5	10	5b	36	16	4.0	0	0	4/4	1	2	1	1	1		5	59	B3	3		81
5	5	10	5b	36	16	4.0	0	0	4/4	1	1	1	1	1		4	64	E4	4		80
6	6	11	6a	41	21	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		95
6	6	11	6a	41	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3		91
6	6	11	6a	41	21	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	59	B3	3		87
6	6	11	6a	41	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4		84
6	6	11	6a	83/2	43/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		96
6	6	11	6a	42	22	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		97
