mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
24	24	29	24a	114	94	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		-1	53	F3	3		426
24	24	29	24a	114	94	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59	B3	3		419
24	24	29	24a	114	94	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4		411
24	24	29	24a	114	94	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4		405
24	24	29	24a	229/2	189/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		427
24	24	29	24a	229/2	189/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4		420
24	24	29	24a	229/2	189/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		412
24	24	29	24a	115	95	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3		428
24	24	29	24a	115	95	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		3	57	A3	3		413
24	24	29	24a	115	95	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		421
24	24	29	24a	115	95	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		406
24	24	29	24a	231/2	191/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		429
24	24	29	24a	231/2	191/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3		422
24	24	29	24a	231/2	191/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		414
25	25	30	25a	116	96	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3		434
25	25	30	25a	116	96	2.0	0	0	4/4	2	2	1/2	1/2	1		3	57	A3	3		437
25	25	30	25a	116	96	2.0	0	0	4/4	1	2	1/2	1/2	1		7	61	C#4	4		432
25	25	30	25a	116	96	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4		430
25	25	30	25a	119	99	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-1	53	F3	3		438
25	25	30	25a	119	99	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3		435
25	25	30	25a	119	99	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4		431
25	25	30	25a	119	99	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4		433
25	25	30	25a	239/2	199/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		439
25	25	30	25a	239/2	199/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		1	55	G3	3		436
26	26	31	26a	120	100	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3		458
26	26	31	26a	120	100	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	53	F3	3		450
26	26	31	26a	120	100	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4		443
26	26	31	26a	120	100	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4		440
26	26	31	26a	241/2	201/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	52	E3	3		451
26	26	31	26a	121	101	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2		459
26	26	31	26a	121	101	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3		452
26	26	31	26a	121	101	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		0	60	C4	4		444
26	26	31	26a	243/2	203/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		460
26	26	31	26a	243/2	203/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		445
26	26	31	26a	122	102	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		0	48	C3	3		461
26	26	31	26a	122	102	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	52	E3	3		453
26	26	31	26a	122	102	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1	1	4	64	E4	4		446
26	26	31	26a	122	102	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4		441
26	26	31	26a	245/2	205/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3		462
26	26	31	26a	245/2	205/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3		454
26	26	31	26a	123	103	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		463
26	26	31	26a	123	103	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3		455
26	26	31	26a	123	103	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	4	64	E4	4		447
26	26	31	26a	123	103	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		442
26	26	31	26a	247/2	207/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		5	59	B3	3		456
26	26	31	26a	247/2	207/2	0.25	7/8	7/8	4/4	1	2	1/16	1/16	1		2	62	D4	4		448
26	26	31	26a	495/4	415/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	57	A3	3		457
26	26	31	26a	495/4	415/4	0.25	15/16	15/16	4/4	1	2	1/16	1/16	1		0	60	C4	4		449
27	27	32	27a	124	104	4.0	0	0	4/4	2	2	1	1	1		4	52	E3	3		467
27	27	32	27a	124	104	4.0	0	0	4/4	2	1	1	1	1		8	56	G#3	3		466
27	27	32	27a	124	104	4.0	0	0	4/4	1	2	1	1	1		5	59	B3	3		465
27	27	32	27a	124	104	4.0	0	0	4/4	1	1	1	1	1		4	64	E4	4		464
