mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
3	1	9	1b	20	4	1.0		1/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	20	15.18	15.88
3	1	9	1b	20	4	1.0		1/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	17	15.18	15.88
3	1	9	1b	20	4	1.0		1/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	15	15.18	15.88
4	2	10	2b	21	5	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	36	15.88	16.68
4	2	10	2b	21	5	1.0		0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	32	15.88	16.68
4	2	10	2b	21	5	0.5		0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	27	15.88	16.36
4	2	10	2b	21	5	1.0		0	0	4/4	1	1	1/4	1/4	1		-4	68	Ab4	4	23	15.88	16.68
4	2	10	2b	43/2	11/2	1.0		1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	28	16.36	17.0
4	2	10	2b	22	6	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	37	16.68	17.46
4	2	10	2b	22	6	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	33	16.68	17.46
4	2	10	2b	22	6	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	24	16.68	17.46
4	2	10	2b	45/2	13/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	29	17.0	17.46
4	2	10	2b	23	7	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	38	17.46	18.22
4	2	10	2b	23	7	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	34	17.46	18.22
4	2	10	2b	23	7	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	25	17.46	18.22
4	2	10	2b	23	7	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	30	17.46	18.22
4	2	10	2b	24	8	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	39	18.22	19.12
4	2	10	2b	24	8	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	35	18.22	19.12
4	2	10	2b	24	8	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	31	18.22	19.12
4	2	10	2b	24	8	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	26	18.22	19.12
5	3	11	3b	25	9	1.0		0	0	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	54	19.12	19.9
5	3	11	3b	25	9	0.5		0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	49	19.12	19.58
5	3	11	3b	25	9	1.0		0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	45	19.12	19.9
5	3	11	3b	25	9	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	40	19.12	19.9
5	3	11	3b	51/2	19/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	50	19.58	19.9
5	3	11	3b	26	10	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	55	19.9	20.54
5	3	11	3b	26	10	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	51	19.9	20.54
5	3	11	3b	26	10	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	46	19.9	20.54
5	3	11	3b	26	10	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	41	19.9	20.54
5	3	11	3b	27	11	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	56	20.54	21.16
5	3	11	3b	27	11	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	52	20.54	21.16
5	3	11	3b	27	11	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	47	20.54	21.16
5	3	11	3b	27	11	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	42	20.54	21.16
5	3	11	3b	28	12	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	57	21.16	22.0
5	3	11	3b	28	12	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	48	21.16	22.0
5	3	11	3b	28	12	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	53	21.16	22.0
5	3	11	3b	28	12	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	43	21.16	21.5
5	3	11	3b	57/2	25/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	44	21.5	22.0
6	4	12	4b	29	13	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	68	22.0	22.64
6	4	12	4b	29	13	0.5		0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	61	22.0	22.462105263157895
6	4	12	4b	29	13	1.0		0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	65	22.0	22.64
6	4	12	4b	29	13	1.0		0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	58	22.0	22.64
6	4	12	4b	59/2	27/2	1.0		1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	62	22.462105263157895	23.04
6	4	12	4b	30	14	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	69	22.64	23.5
6	4	12	4b	30	14	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	66	22.64	23.5
6	4	12	4b	30	14	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	59	22.64	23.5
6	4	12	4b	61/2	29/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	63	23.04	23.5
6	4	12	4b	31	15	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	70	23.5	24.42
6	4	12	4b	31	15	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	67	23.5	24.42
6	4	12	4b	31	15	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	64	23.5	24.42
6	4	12	4b	31	15	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	60	23.5	24.42
9	4	13	4b	32	19	1.0	2	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	89	24.42	25.24
9	4	13	4b	32	19	0.5	2	0	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	87	24.42	24.88
9	4	13	4b	32	19	0.5	2	0	3/4	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	85	24.42	24.88
9	4	13	4b	32	19	1.0	2	0	3/4	4/4	1	1	1/4	1/4	1		-1	77	F5	5	84	24.42	25.24
9	4	13	4b	65/2	39/2	0.5	2	1/8	7/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	88	24.88	25.24
9	4	13	4b	65/2	39/2	0.5	2	1/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	86	24.88	25.24
10	5	14	5a	33	20	1.0		0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	106	25.24	26.1
10	5	14	5a	33	20	0.5		0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	100	25.24	25.66
10	5	14	5a	33	20	1.0		0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	94	25.24	26.1
10	5	14	5a	33	20	1.0		0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	90	25.24	26.1
10	5	14	5a	67/2	41/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	101	25.66	26.1
10	5	14	5a	34	21	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	107	26.1	26.7
10	5	14	5a	34	21	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	102	26.1	26.28
10	5	14	5a	34	21	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4	95	26.1	26.28
10	5	14	5a	34	21	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	91	26.1	26.7
