mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
4	3	9	9	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	150													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	151													
4	3	11	11	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	152													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	153													
4	3	12	12	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	154													
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	155													
4	3	9	9	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	156													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	157													
4	3	11	11	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	158													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	159													
4	3	12	12	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	160													
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	161													
4	3	9	9	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	162													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	163													
4	3	11	11	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	164													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	165													
4	3	12	12	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	166													
4	3	9	9	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	167													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	168													
4	3	11	11	0.5	1/2	1/2	Chord	4/4	6	1	1/8	1/8	1	169													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	6	1	1/8	1/8	1	170													
4	3	12	12	0.5	3/4	3/4	Chord	4/4	6	1	1/8	1/8	1	171													
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	6	1	1/8	1/8	1	172													
4	3	9	9	0.0	0	0	FiguredBass	4/4	7	1	0													1/4	6	5	
4	3	9	9	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	173													
4	3	10	10	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/4	6	h	
4	3	10	10	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	174													
4	3	11	11	0.0	1/2	1/2	FiguredBass	4/4	7	1	0													1/8	6		
4	3	11	11	0.5	1/2	1/2	Chord	4/4	7	1	1/8	1/8	1	175													
4	3	23/2	23/2	0.0	5/8	5/8	FiguredBass	4/4	7	1	0													1/8	6	6	
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	7	1	1/8	1/8	1	176													
4	3	12	12	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	177													
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	178													
4	3	9	9	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	179													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	180													
4	3	11	11	0.5	1/2	1/2	Chord	4/4	8	1	1/8	1/8	1	181													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	8	1	1/8	1/8	1	182													
4	3	12	12	0.5	3/4	3/4	Chord	4/4	8	1	1/8	1/8	1	183													
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	8	1	1/8	1/8	1	184													
4	3	9	9	1.0	0	0	Chord	4/4	9	1	1/4	1/4	1	185													
4	3	10	10	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	186													
4	3	11	11	0.5	1/2	1/2	Chord	4/4	9	1	1/8	1/8	1	187													
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	9	1	1/8	1/8	1	188													
4	3	12	12	0.5	3/4	3/4	Chord	4/4	9	1	1/8	1/8	1	189													
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	9	1	1/8	1/8	1	190													
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0				
5	4	13	13	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	191													
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	192													
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0				
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	193													
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	194													
5	4	15	15	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	195													
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	196													
5	4	16	16	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	197													
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	198													
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	199	Au-	Leib											
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	200	-ge-	und											
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	201	-lein	Blut											
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	202	mich	mich											
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	203													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	204													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	205													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	206													
5	4	13	13	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	207													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	208													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	209													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	210													
5	4	13	13	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	211													
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	212													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	213													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	214													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	215													
5	4	13	13	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	216													
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	217													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	218													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	219													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	220													
5	4	13	13	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	221													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	222													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	223													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	224													
5	4	13	13	0.5	0	0	Chord	4/4	6	1	1/8	1/8	1	225													
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	6	1	1/8	1/8	1	226													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	227													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	228													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	229													
5	4	13	13	0.0	0	0	FiguredBass	4/4	7	1	0													1/8	65		
5	4	13	13	0.5	0	0	Chord	4/4	7	1	1/8	1/8	1	230													
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	7	1	1/8	1/8	1	231													
5	4	14	14	0.0	1/4	1/4	FiguredBass	4/4	7	1	0													1/4	h		
5	4	14	14	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	232													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	233													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	234													
5	4	13	13	0.5	0	0	Chord	4/4	8	1	1/8	1/8	1	235													
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	8	1	1/8	1/8	1	236													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	237													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	238													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	8	1	1/4	1/4	1	239													
5	4	13	13	0.5	0	0	Chord	4/4	9	1	1/8	1/8	1	240													
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	9	1	1/8	1/8	1	241													
5	4	14	14	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	242													
5	4	15	15	1.0	1/2	1/2	Chord	4/4	9	1	1/4	1/4	1	243													
5	4	16	16	1.0	3/4	3/4	Chord	4/4	9	1	1/4	1/4	1	244													
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0				
6	5	17	17	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	245													
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	246													
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	247													
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	248													
6	5	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0				
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	249													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	250													
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	251													
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	252													
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	253	freund-	in-											
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	254	-lich	-ner-											
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	255	thust	-lich											
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	256	an-	er-											
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	257													
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	258													
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	259													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	260													
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	261													
6	5	17	17	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	262													
6	5	18	18	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	263													
6	5	19	19	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	264													
6	5	20	20	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	265													
6	5	17	17	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	266													
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	267													
6	5	18	18	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	268													
6	5	19	19	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	269													
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	270													
6	5	20	20	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	271													
6	5	17	17	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	272													
