mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
7	5	18	18	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	144									
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	145									
8	6	21	21	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	146		an							
8	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	147									
8	6	22	22	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	
8	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	148		uns	ornamentTrill						
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	149		hat,							
8	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	150		nun							
8	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	151									5
8	6	43/2	43/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	152									
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	153									
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	154									
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	155									
8	6	21	21	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	156									6
8	6	85/4	85/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	157									6
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	158									6
8	6	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	159									
8	6	45/2	45/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	160									
8	6	91/4	91/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	161									
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	162									
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	163									
8	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	164									
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	165									
8	6	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	166									
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	167									
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	168									
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	169									
8	6	21	21	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	170									
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	171									
8	6	22	22	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	172									
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	173									
8	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	174									
8	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	175									
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	176		ist							
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	177		gross							
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	178		Fried							
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	179		ohn'							
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	180									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	181									
9	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	182									
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	183									
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	184									
9	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	185									
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	186									
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	187									
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	188									
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	189									
9	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	190									
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	191									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	192									
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	193									
9	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	194									
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	195									
