mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	130							
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	131							
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	132							
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	133							14
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	2	2	1/16	1/16	1	134							14
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	135							
8	8	28	28	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	136	-spei-						
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	137	-set						
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	138	hat,						
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	139							
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	140							
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	141							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	142							
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	143							
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	144							
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	145							15
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	146							15
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	147							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	148							
8	8	28	28	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	149							
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	150							
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	151							
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	152							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	153							
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	154	und						
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	155	Chri-						
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	156	-stum						
9	9	35	35	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	157	sei-						
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	158							
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	159							16
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	160							16
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	161							
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	162							
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	163							17
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	164							
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	165							
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	166							
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	167							18
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	168							18
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	169							
9	9	32	32	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	170							19
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	171							
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	172							
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	173							
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	174	-nen						
10	10	37	37	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	175	Sohn,						
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	176							
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	177							
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	178							
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	179							
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	180							
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	181							20
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	182							20
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	183							
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	184							
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	185							
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	186							
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	187							
11	11	40	40	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	188	durch						
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	189	wel-						
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	190	-chen						
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	191	der						
11	11	40	40	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	192							
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	193							
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	194							
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	195							
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	196							
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	197							
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	198							
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	199							
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	200							
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	201							
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	202							
11	11	40	40	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	203							
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	204							
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	205							
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	206							
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	207							
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	208							
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	209	Se-						
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	210	-gen						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	211	kommt						
12	12	44	44	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	212							
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	213							
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	214							
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	215							
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	216							
12	12	45	45	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	217							
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	218							
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	219							
12	12	44	44	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	220							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	221							
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	222							
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	223	vom						
13	13	49	49	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	224	al-						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	225	-ler-						
13	13	51	51	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	226	-höch-						
13	13	48	48	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	227							
13	13	97/2	97/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	228							
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	229							21
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	230							21
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	231							
