mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	227										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	228										
13	12	45	45	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	229								25		
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	230										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	231										
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	232										
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	233										
13	12	45	45	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	234								26		
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	235								26		
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	236										
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	237										
13	12	48	48	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	238										
14	13	49	49	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	239	wär'									
14	13	199/4	199/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	240										
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	241	die									
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	242										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	243	Welt									
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	244										
14	13	52	52	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	245	ver-									
14	13	49	49	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	246										
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	247										
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	248										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	249										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	250										
14	13	52	52	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	251										
14	13	49	49	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	252								27		
14	13	99/2	99/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	253										
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	254										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	255										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	256										
14	13	52	52	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	257										
14	13	49	49	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	258										
14	13	50	50	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	259										
14	13	51	51	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	260										
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	261										
14	13	52	52	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	262										
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	263										
15	14	53	53	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	264	-gan-							28		
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	265								28		
15	14	54	54	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	266										
15	14	109/2	109/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=55	55.0	𝅘𝅥	55.0	0.0			
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	267	-gen:									
15	14	56	56	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
15	14	56	56	0.0	3/4	3/4	Dynamic	4/4	1	1	0					ff								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	268	seit									
15	14	53	53	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	269								29		
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	270										
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	271										
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	272										
15	14	53	53	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	273								30		
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	274										
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	275										
15	14	56	56	0.0	3/4	3/4	Dynamic	4/4	2	1	0					ff								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	276										
15	14	53	53	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	277								31		
15	14	54	54	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	278										
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	279										
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	280										
16	15	57	57	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	281	dass									
16	15	58	58	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	282	er									
16	15	117/2	117/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	283	nun									
16	15	60	60	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	284	er-									
16	15	57	57	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	285										
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	286										
16	15	58	58	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	287										
16	15	59	59	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	288								32		
16	15	119/2	119/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	289										
16	15	121/2	121/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	290										
16	15	243/4	243/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	291										
16	15	57	57	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	292										
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	293										
16	15	58	58	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	294										
16	15	59	59	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	295										
16	15	239/4	239/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	296										
16	15	60	60	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	297										
16	15	57	57	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	298										
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	299										
16	15	58	58	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	300										
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	301										
16	15	59	59	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	302										
16	15	60	60	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	303										
17	16	61	61	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	304	-stan-									
17	16	62	62	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	305	-den									
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	306	ist,									
17	16	64	64	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
17	16	64	64	0.0	3/4	3/4	Dynamic	4/4	1	1	0					ff								
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	307	so									
17	16	61	61	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	308										
17	16	62	62	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	309										
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	310										
17	16	64	64	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	311										
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	312										
17	16	61	61	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	313										
17	16	62	62	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	314										
17	16	63	63	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	315										
17	16	64	64	0.0	3/4	3/4	Dynamic	4/4	2	1	0					ff								
17	16	64	64	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	316										
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	317										
17	16	61	61	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	318										
17	16	123/2	123/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	319										
17	16	62	62	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	320										
17	16	125/2	125/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	321										
17	16	63	63	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	322										
17	16	64	64	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	323										
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	324										
18	17	65	65	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
18	17	65	65	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	325	lo-									
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	326										
18	17	66	66	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	327	-ben									
18	17	267/4	267/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	328										
18	17	67	67	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	329	wir									
18	17	68	68	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	330	den									
18	17	65	65	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	331										
18	17	66	66	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	332										
18	17	67	67	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	333										
18	17	68	68	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	334										
18	17	65	65	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	335										
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	336										
18	17	66	66	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	337										
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	338										
18	17	67	67	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	339										
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	340										
18	17	68	68	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	341										
18	17	65	65	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	342										
18	17	67	67	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	343										
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	344										
18	17	68	68	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	345										
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	346										
19	18	69	69	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=59.15	59.0	𝅘𝅥	59.15	0.0			
19	18	69	69	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	347	Her-									
19	18	70	70	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=54.5	54.0	𝅘𝅥	54.5	0.0			
19	18	70	70	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	348	-ren									
19	18	71	71	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	349	Christ,									
19	18	69	69	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	350								33		
19	18	139/2	139/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	351										
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	352										
19	18	71	71	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	353										
19	18	69	69	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	354										
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	355										
19	18	70	70	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	356										
19	18	71	71	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	357										
19	18	69	69	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	358										
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	359										
19	18	70	70	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	360										
19	18	71	71	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	361										
20	19	73	73	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=53.6	54.0	𝅘𝅥	53.6	0.0			
20	19	73	73	0.0	0	0	Dynamic	4/4	1	1	0					mp								
20	19	73	73	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	362	Ky-									
20	19	74	74	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0			
20	19	74	74	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	363	-rie									
20	19	75	75	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0			
20	19	75	75	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	364	e-									
20	19	151/2	151/2	0.0	5/8	5/8	Tempo	4/4	1	1	0						𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0			
20	19	73	73	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	365										
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	366										
20	19	74	74	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	367										
20	19	75	75	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	368								34		
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	369										
20	19	73	73	0.0	0	0	Dynamic	4/4	2	1	0					mp								
20	19	73	73	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	370								35		
20	19	147/2	147/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	371										
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	372										
20	19	75	75	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	373								36		
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	374								36		
20	19	76	76	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	375								36		
20	19	73	73	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	376										
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	377										
20	19	74	74	1.5	1/4	1/4	Chord	4/4	2	2	3/8	1/4	3/2	378										
20	19	151/2	151/2	0.25	5/8	5/8	Chord	4/4	2	2	1/16	1/16	1	379								37		
20	19	303/4	303/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	380								37		
20	19	76	76	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	381								37		
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	382										
21	20	77	77	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=50.5	51.0	𝅘𝅥	50.5	0.0			
21	20	77	77	4.0	0	0	Chord	4/4	1	1	1	1	1	383	-leis!									
21	20	78	78	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=45.6	46.0	𝅘𝅥	45.6	0.0			
21	20	77	77	4.0	0	0	Chord	4/4	1	2	1	1	1	384										
21	20	77	77	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	385								36		
21	20	78	78	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	386								36		
21	20	157/2	157/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	387										
21	20	79	79	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	388										
21	20	77	77	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	389								38		
21	20	79	79	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	390										
22	20	81	81	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
22	20	81	81	0.0	0	0	Dynamic	4/4	1	1	0					mf								
22	20	81	81	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	391	Al-									
22	20	81	81	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	392										
22	20	81	81	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	393										
22	20	81	81	0.0	0	0	Dynamic	4/4	2	2	0					mf								
22	20	81	81	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	394										
23	21	82	82	0.0	0	0	Spanner	4/4	1	1	0													0
23	21	82	82	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	395	-le-									0
23	21	83	83	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			0
23	21	83	83	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	396	-lu-									0
23	21	84	84	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			0
23	21	84	84	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	397	-ja,									0
23	21	85	85	0.0	3/4	3/4	Dynamic	4/4	1	1	0					f								
23	21	85	85	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0			
23	21	85	85	0.0	3/4	3/4	Spanner	4/4	1	1	0													
23	21	85	85	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	398	al-									
23	21	171/2	171/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
23	21	171/2	171/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	399										
23	21	82	82	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	400										
23	21	83	83	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	401										
23	21	84	84	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	402										
23	21	85	85	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	403										
23	21	171/2	171/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	404										
23	21	82	82	0.0	0	0	Spanner	4/4	2	1	0													1
23	21	82	82	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	405										1
23	21	165/2	165/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	406										1
23	21	83	83	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	407										1
23	21	167/2	167/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	408										1
23	21	84	84	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	409										1
23	21	85	85	0.0	3/4	3/4	Dynamic	4/4	2	1	0					f								
23	21	85	85	0.0	3/4	3/4	Spanner	4/4	2	1	0													
23	21	85	85	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	410										
23	21	82	82	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	411										
23	21	83	83	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	412										
23	21	84	84	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	413										
23	21	85	85	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	414										
23	21	171/2	171/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	415										
24	22	86	86	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0			
24	22	86	86	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	416	-le-									
24	22	87	87	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0			
24	22	87	87	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	417	-lu-									
24	22	88	88	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	418	-ja,									
24	22	89	89	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
24	22	89	89	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	419	al-									
24	22	179/2	179/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
24	22	179/2	179/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	420										
24	22	86	86	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	421								39		
24	22	173/2	173/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	422										
24	22	175/2	175/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	423										
24	22	88	88	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	424										
24	22	89	89	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	425										
24	22	86	86	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	426										
24	22	175/2	175/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	427										
24	22	88	88	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	428										
24	22	89	89	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	429										
24	22	86	86	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	430										
24	22	87	87	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	431										
24	22	88	88	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	432										
24	22	89	89	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	433										
25	23	90	90	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
25	23	90	90	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	434	-le-									
25	23	91	91	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
25	23	91	91	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	435	-lu-									
25	23	92	92	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=57.6	58.0	𝅘𝅥	57.6	0.0			
25	23	92	92	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	436	-ja!									
25	23	93	93	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
25	23	93	93	0.0	3/4	3/4	Dynamic	4/4	1	1	0					ff								
25	23	93	93	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	437	Dess									
25	23	90	90	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	438								40		
25	23	181/2	181/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	439										
25	23	183/2	183/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	440										
25	23	92	92	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	441								41		
25	23	185/2	185/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	442										
25	23	93	93	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	443										
25	23	90	90	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	444										
25	23	91	91	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	445										
25	23	183/2	183/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	446										
25	23	92	92	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	447										
25	23	93	93	0.0	3/4	3/4	Dynamic	4/4	2	1	0					ff								
25	23	93	93	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	448										
25	23	187/2	187/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	449										
25	23	90	90	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	450										
25	23	181/2	181/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	451										
25	23	91	91	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	452										
25	23	183/2	183/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	453										
25	23	92	92	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	454										
25	23	93	93	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	455										
26	24	94	94	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
26	24	94	94	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	456	soll'n									
26	24	95	95	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	457	wir									
26	24	96	96	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0			
26	24	96	96	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	458	al-									
26	24	97	97	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
26	24	97	97	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	459	-le									
26	24	195/2	195/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0			
26	24	94	94	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	460										
26	24	95	95	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	461										
26	24	191/2	191/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	462										
26	24	96	96	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	463										
26	24	193/2	193/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	464										
26	24	97	97	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	465										
26	24	195/2	195/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	466										
26	24	94	94	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	467								42		
