mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
5	4	12	12	1.0	1/2	1/2	Chord	3/4	5	1	1/4	1/4	1	127													
5	4	10	10	2.0	0	0	Chord	3/4	6	1	1/2	1/2	1	128													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	6	1	1/4	1/4	1	129													
5	4	10	10	2.0	0	0	Chord	3/4	7	1	1/2	1/2	1	130													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	7	1	1/4	1/4	1	131													
5	4	10	10	2.0	0	0	Chord	3/4	8	1	1/2	1/2	1	132													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	8	1	1/4	1/4	1	133													
5	4	10	10	2.0	0	0	Chord	3/4	9	1	1/2	1/2	1	134	-ren,	-ren,											
5	4	12	12	1.0	1/2	1/2	Chord	3/4	9	1	1/4	1/4	1	135	Gott	was											
5	4	10	10	2.0	0	0	Chord	3/4	9	2	1/2	1/2	1	136													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	9	2	1/4	1/4	1	137													
5	4	10	10	2.0	0	0	Chord	3/4	10	1	1/2	1/2	1	138													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	10	1	1/4	1/4	1	139													
5	4	10	10	2.0	0	0	Chord	3/4	11	1	1/2	1/2	1	140													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	11	1	1/4	1/4	1	141													
5	4	10	10	2.0	0	0	Chord	3/4	11	2	1/2	1/2	1	142													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	11	2	1/4	1/4	1	143													
5	4	10	10	2.0	0	0	Chord	3/4	12	1	1/2	1/2	1	144													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	12	1	1/4	1/4	1	145													
5	4	10	10	2.0	0	0	Chord	3/4	13	1	1/2	1/2	1	146													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	13	1	1/4	1/4	1	147													
6	5	13	13	0.5	0	0	Chord	3/4	5	1	1/8	1/8	1	148													
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	5	1	1/8	1/8	1	149													
6	5	14	14	2.0	1/4	1/4	Chord	3/4	5	1	1/2	1/2	1	150													
6	5	13	13	0.5	0	0	Chord	3/4	6	1	1/8	1/8	1	151													
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	6	1	1/8	1/8	1	152													
6	5	14	14	2.0	1/4	1/4	Chord	3/4	6	1	1/2	1/2	1	153													
6	5	13	13	2.0	0	0	Chord	3/4	7	1	1/2	1/2	1	154													
6	5	15	15	1.0	1/2	1/2	Chord	3/4	7	1	1/4	1/4	1	155													
6	5	13	13	2.0	0	0	Chord	3/4	8	1	1/2	1/2	1	156													
6	5	15	15	1.0	1/2	1/2	Chord	3/4	8	1	1/4	1/4	1	157													
6	5	13	13	0.5	0	0	Chord	3/4	9	1	1/8	1/8	1	158	Va-	er											
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	9	1	1/8	1/8	1	159													
6	5	14	14	2.0	1/4	1/4	Chord	3/4	9	1	1/2	1/2	1	160	-ter	uns											
6	5	13	13	2.0	0	0	Chord	3/4	9	2	1/2	1/2	1	161													
6	5	15	15	1.0	1/2	1/2	Chord	3/4	9	2	1/4	1/4	1	162													
6	5	13	13	0.5	0	0	Chord	3/4	10	1	1/8	1/8	1	163													
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	10	1	1/8	1/8	1	164													
6	5	14	14	2.0	1/4	1/4	Chord	3/4	10	1	1/2	1/2	1	165													
6	5	13	13	2.0	0	0	Chord	3/4	11	1	1/2	1/2	1	166													
6	5	15	15	1.0	1/2	1/2	Chord	3/4	11	1	1/4	1/4	1	167													
6	5	13	13	1.5	0	0	Chord	3/4	11	2	3/8	1/4	3/2	168													9
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	11	2	1/8	1/8	1	169													9
6	5	15	15	0.5	1/2	1/2	Chord	3/4	11	2	1/8	1/8	1	170													9
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	11	2	1/8	1/8	1	171													9
6	5	13	13	1.5	0	0	Chord	3/4	12	1	3/8	1/4	3/2	172													
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	12	1	1/8	1/8	1	173													
6	5	15	15	0.0	1/2	1/2	FiguredBass	3/4	12	1	0												1/8	5	4	2	
6	5	15	15	0.5	1/2	1/2	Chord	3/4	12	1	1/8	1/8	1	174													
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	12	1	1/8	1/8	1	175													
6	5	13	13	1.5	0	0	Chord	3/4	13	1	3/8	1/4	3/2	176													
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	13	1	1/8	1/8	1	177													
6	5	15	15	0.5	1/2	1/2	Chord	3/4	13	1	1/8	1/8	1	178													
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	13	1	1/8	1/8	1	179													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	180													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	181													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	182													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	183													
7	6	16	16	2.0	0	0	Chord	3/4	5	1	1/2	1/2	1	184													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	5	1	1/4	1/4	1	185													
7	6	16	16	2.0	0	0	Chord	3/4	6	1	1/2	1/2	1	186													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	6	1	1/4	1/4	1	187													
7	6	16	16	1.0	0	0	Chord	3/4	7	1	1/4	1/4	1	188													
7	6	17	17	1.0	1/4	1/4	Chord	3/4	7	1	1/4	1/4	1	189													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	7	1	1/4	1/4	1	190													
7	6	16	16	2.0	0	0	Chord	3/4	8	1	1/2	1/2	1	191													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	8	1	1/4	1/4	1	192													
7	6	16	16	2.0	0	0	Chord	3/4	9	1	1/2	1/2	1	193	Sohn,	aus											
7	6	18	18	1.0	1/2	1/2	Chord	3/4	9	1	1/4	1/4	1	194	hei-	Gna-											
7	6	16	16	1.0	0	0	Chord	3/4	9	2	1/4	1/4	1	195													10
7	6	17	17	1.0	1/4	1/4	Chord	3/4	9	2	1/4	1/4	1	196													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	9	2	1/4	1/4	1	197													
7	6	16	16	2.0	0	0	Chord	3/4	10	1	1/2	1/2	1	198													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	10	1	1/4	1/4	1	199													
7	6	16	16	2.0	0	0	Chord	3/4	11	1	1/2	1/2	1	200													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	11	1	1/4	1/4	1	201													
7	6	16	16	0.5	0	0	Chord	3/4	11	2	1/8	1/8	1	202													9
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	11	2	1/8	1/8	1	203													
7	6	17	17	0.5	1/4	1/4	Chord	3/4	11	2	1/8	1/8	1	204													
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	11	2	1/8	1/8	1	205													
7	6	18	18	0.5	1/2	1/2	Chord	3/4	11	2	1/8	1/8	1	206													
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	11	2	1/8	1/8	1	207													
7	6	16	16	0.0	0	0	FiguredBass	3/4	12	1	0												1/8	5			
7	6	16	16	0.5	0	0	Chord	3/4	12	1	1/8	1/8	1	208													
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	12	1	1/8	1/8	1	209													
7	6	17	17	0.0	1/4	1/4	FiguredBass	3/4	12	1	0												1/8	7			
7	6	17	17	0.5	1/4	1/4	Chord	3/4	12	1	1/8	1/8	1	210													
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	12	1	1/8	1/8	1	211													
7	6	18	18	0.0	1/2	1/2	FiguredBass	3/4	12	1	0												1/8	6	4	2	
7	6	18	18	0.5	1/2	1/2	Chord	3/4	12	1	1/8	1/8	1	212													
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	12	1	1/8	1/8	1	213													
7	6	16	16	0.5	0	0	Chord	3/4	13	1	1/8	1/8	1	214													
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	13	1	1/8	1/8	1	215													
7	6	17	17	0.5	1/4	1/4	Chord	3/4	13	1	1/8	1/8	1	216													
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	13	1	1/8	1/8	1	217													
7	6	18	18	0.5	1/2	1/2	Chord	3/4	13	1	1/8	1/8	1	218													
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	13	1	1/8	1/8	1	219													
8	7	19	19	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	220													
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	221													
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	222													
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	223													
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	224													
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	225													
8	7	20	20	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	226			ornamentTrill										
8	7	19	19	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	227													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	228													
8	7	19	19	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	229													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	230													
8	7	19	19	0.5	0	0	Chord	3/4	5	1	1/8	1/8	1	231													
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	5	1	1/8	1/8	1	232													
8	7	20	20	2.0	1/4	1/4	Chord	3/4	5	1	1/2	1/2	1	233			ornamentTrill										
8	7	19	19	0.5	0	0	Chord	3/4	6	1	1/8	1/8	1	234													
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	6	1	1/8	1/8	1	235													
8	7	20	20	2.0	1/4	1/4	Chord	3/4	6	1	1/2	1/2	1	236			ornamentTrill										
8	7	19	19	1.0	0	0	Chord	3/4	7	1	1/4	1/4	1	237													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	7	1	1/4	1/4	1	238													
8	7	21	21	0.5	1/2	1/2	Chord	3/4	7	1	1/8	1/8	1	239													
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	7	1	1/8	1/8	1	240													
8	7	19	19	2.0	0	0	Chord	3/4	8	1	1/2	1/2	1	241													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	8	1	1/4	1/4	1	242													
8	7	19	19	0.5	0	0	Chord	3/4	9	1	1/8	1/8	1	243	-li-	-den											
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	9	1	1/8	1/8	1	244													
8	7	20	20	2.0	1/4	1/4	Chord	3/4	9	1	1/2	1/2	1	245	-gem	ver-	ornamentTrill										
8	7	19	19	1.0	0	0	Chord	3/4	9	2	1/4	1/4	1	246													11
8	7	20	20	1.0	1/4	1/4	Chord	3/4	9	2	1/4	1/4	1	247													
8	7	21	21	0.5	1/2	1/2	Chord	3/4	9	2	1/8	1/8	1	248													
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	9	2	1/8	1/8	1	249													
8	7	19	19	0.5	0	0	Chord	3/4	10	1	1/8	1/8	1	250													
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	10	1	1/8	1/8	1	251													
8	7	20	20	2.0	1/4	1/4	Chord	3/4	10	1	1/2	1/2	1	252			ornamentTrill										
8	7	19	19	2.0	0	0	Chord	3/4	11	1	1/2	1/2	1	253													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	11	1	1/4	1/4	1	254													
8	7	19	19	1.0	0	0	Chord	3/4	11	2	1/4	1/4	1	255													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	11	2	1/4	1/4	1	256													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	11	2	1/4	1/4	1	257													
8	7	19	19	0.0	0	0	FiguredBass	3/4	12	1	0												1/4	6			
8	7	19	19	1.0	0	0	Chord	3/4	12	1	1/4	1/4	1	258													
8	7	20	20	0.0	1/4	1/4	FiguredBass	3/4	12	1	0												1/4	6	5		
8	7	20	20	1.0	1/4	1/4	Chord	3/4	12	1	1/4	1/4	1	259													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	12	1	1/4	1/4	1	260													
8	7	19	19	1.0	0	0	Chord	3/4	13	1	1/4	1/4	1	261													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	13	1	1/4	1/4	1	262													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	13	1	1/4	1/4	1	263													
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	264													
9	8	22	22	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	265													
9	8	22	22	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	266													
9	8	22	22	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	267													
9	8	22	22	2.0	0	0	Chord	3/4	5	1	1/2	1/2	1	268													
9	8	22	22	2.0	0	0	Chord	3/4	6	1	1/2	1/2	1	269													
9	8	22	22	2.0	0	0	Chord	3/4	7	1	1/2	1/2	1	270													
9	8	22	22	2.0	0	0	Chord	3/4	8	1	1/2	1/2	1	271													
9	8	22	22	2.0	0	0	Chord	3/4	9	1	1/2	1/2	1	272	Geist!	-heisst,											
9	8	22	22	2.0	0	0	Chord	3/4	9	2	1/2	1/2	1	273													
