mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	117								
8	6	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	118								
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	119								
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	120								
8	6	24	24	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	121								
8	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	122								
8	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	123								
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	124								
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	125								
8	6	23	23	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	126								
8	6	47/2	47/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	127								
8	6	24	24	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	128								
8	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	129								
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	130		dei-						
9	7	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
9	7	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	131		-ne						
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	132								
9	7	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
9	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	133		Son-						
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	134								
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	135		-ne,						
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	136								
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	137								
9	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	138								
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	139								
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	140								
9	7	25	25	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	141								
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	142								
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	143								
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	144								
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	145								
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	146								
9	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	147								
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	148								
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	149								
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	150								
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	151		scheint						
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	152		täg-						
