mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
13	11	85/2	85/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			8
13	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0			8
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	190		ist									8
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	191		ge-									8
13	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	192											8
13	11	42	42	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	193											8
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	194											8
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	195											8
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	196											8
13	11	41	41	0.0	0	0	Spanner	4/4	2	1	0														9
13	11	41	41	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	197											9
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	198											9
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	199											9
13	11	43	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	200											9
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	201											9
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	202											9
13	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	203											9
13	11	42	42	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	204											9
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	205											9
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	206											9
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	207											9
14	12	45	45	0.0	0	0	Dynamic	4/4	1	1	0						ff								
14	12	45	45	0.0	0	0	Spanner	4/4	1	1	0														
14	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	208		-born,									
14	12	46	46	0.0	1/4	1/4	Dynamic	4/4	1	1	0						f								
14	12	46	46	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
14	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	209		als									
14	12	47	47	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
14	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	210		je-									
14	12	48	48	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0			
14	12	48	48	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	211		-mals									
14	12	45	45	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	212											
14	12	46	46	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	213											
14	12	47	47	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	214											
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	215											
14	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	216											
14	12	45	45	0.0	0	0	Spanner	4/4	2	1	0														
14	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	217											
14	12	46	46	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	218											
14	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	219											
14	12	48	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	220											
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	221											
14	12	45	45	0.0	0	0	Dynamic	4/4	2	2	0						ff								
14	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	222											
14	12	46	46	0.0	1/4	1/4	Dynamic	4/4	2	2	0						f								
14	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	223											
14	12	47	47	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	224											
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	225											
14	12	48	48	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	226											
15	13	49	49	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
15	13	49	49	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	227		ist									
15	13	50	50	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0			
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	228		ge-									
15	13	101/2	101/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=37.4	37.0	𝅘𝅥	37.4	0.0			
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	229		-born.									
15	13	49	49	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	230											
15	13	99/2	99/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	231											
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	232											
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	233											
15	13	49	49	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	234											
15	13	50	50	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	235											
15	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	236											
15	13	51	51	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	237											
15	13	49	49	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	238											
15	13	99/2	99/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	239											
15	13	50	50	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	240											
15	13	51	51	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	241											
