mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	120							
12	12	35	35	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	121							
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	122							
12	12	33	33	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	123							7
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	124							
12	12	35	35	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	125							
13	13	36	36	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	126	zu						
13	13	38	38	0.0		1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=83.1	83.0	𝅘𝅥	83.1	0.0	
13	13	38	38	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	127	sich						
13	13	36	36	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	128							8
13	13	37	37	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	129							
13	13	38	38	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	130							
13	13	36	36	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	131							
13	13	37	37	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	132							
13	13	38	38	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	133							
13	13	77/2	77/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	134							
13	13	36	36	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	135							
13	13	37	37	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	136							
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	137							
14	14	39	39	0.0		0	0	Tempo	3/4	1	1	0					𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
14	14	39	39	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	138	la-						
14	14	40	40	0.0		1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
14	14	41	41	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	139	-den,						
14	14	39	39	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	140							9
14	14	40	40	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	141							
14	14	41	41	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	142							
14	14	39	39	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	143							10
14	14	40	40	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	144							10
14	14	81/2	81/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	145							
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	146							
14	14	39	39	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	147							11
14	14	40	40	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	148							
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	149							
15	15	42	42	0.0		0	0	Tempo	3/4	1	1	0					𝅘𝅥=79.6	80.0	𝅘𝅥	79.6	0.0	
15	15	42	42	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	150	freu-						
15	15	87/2	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	151	-e						
15	15	44	44	0.0		1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=79.4	79.0	𝅘𝅥	79.4	0.0	
15	15	44	44	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	152	dich,						
15	15	42	42	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	153							
15	15	85/2	85/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	154							
15	15	43	43	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	155							
15	15	44	44	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	156							
15	15	42	42	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	157							
15	15	43	43	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	158							
15	15	87/2	87/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	159							
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	160							
15	15	42	42	1.5		0	0	Chord	3/4	2	2	3/8	1/4	3/2	161							
15	15	87/2	87/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	162							
15	15	44	44	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	163							
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	164							
16	16	45	45	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	165	I-						
16	16	93/2	93/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	166							
16	16	47	47	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	167	-sra-						
16	16	45	45	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	168							12
16	16	91/2	91/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	169							12
16	16	46	46	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	170							
16	16	47	47	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	171							
16	16	45	45	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	172							
16	16	47	47	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	173							
16	16	45	45	0.5		0	0	Chord	3/4	2	2	1/8	1/8	1	174							13
16	16	91/2	91/2	0.5		1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	175							13
16	16	46	46	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	176							
16	16	47	47	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	177							
16	16	95/2	95/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	178							
17	17	48	48	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	179	-el,						
17	17	49	49	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	180	sei-						
17	17	50	50	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	181	-ner						
17	17	48	48	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	182							
17	17	49	49	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	183							
17	17	50	50	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	184							
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	185							
17	17	49	49	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	186							
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	187							
17	17	48	48	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	188							
17	17	49	49	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	189							
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	190							
18	18		51	0.0	1	0	0	Tempo	3/4	1	1	0					𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
18	18		51	2.0	1	0	0	Chord	3/4	1	1	1/2	1/2	1	191	Gna-						
18	18		52	0.0	1	1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=73.2	73.0	𝅘𝅥	73.2	0.0	
18	18		52	0.0	1	1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
18	18		53	1.0	1	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	192	-den.						
18	18		51	1.0	1	0	0	Chord	3/4	1	2	1/4	1/4	1	193							14
18	18		52	1.0	1	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	194							
18	18		53	1.0	1	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	195							
18	18		51	1.0	1	0	0	Chord	3/4	2	1	1/4	1/4	1	196							15
18	18		52	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	197							15
18	18		105/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	198							
18	18		53	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	199							
18	18		51	1.0	1	0	0	Chord	3/4	2	2	1/4	1/4	1	200							16
18	18		52	1.0	1	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	201							
18	18		53	1.0	1	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	202							
19	18	51	54	0.0	2	0	0	Tempo	3/4	1	1	0					𝅘𝅥=66.64	67.0	𝅘𝅥	66.64	0.0	
19	18	51	54	2.0	2	0	0	Chord	3/4	1	1	1/2	1/2	1	203	Gna-						
19	18	52	55	0.0	2	1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
19	18	53	56	1.0	2	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	204	-den.						
19	18	51	54	1.0	2	0	0	Chord	3/4	1	2	1/4	1/4	1	205							17
19	18	52	55	1.0	2	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	206							
19	18	53	56	1.0	2	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	207							
19	18	51	54	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	208							18
19	18	52	55	0.5	2	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	209							18
19	18	105/2	111/2	0.5	2	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	210							
19	18	53	56	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	211							
19	18	51	54	1.0	2	0	0	Chord	3/4	2	2	1/4	1/4	1	212							19
19	18	52	55	1.0	2	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	213							
19	18	53	56	1.0	2	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	214							
