mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	21								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	22								
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	23	Her-							
2	2	5	5	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	24	-zens							
2	2	6	6	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=66.12	66.0	𝅘𝅥	66.12	0.0	
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	25	Freud',							
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	26								
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	27								
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	28								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	29								
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30								
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	31								
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	32								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33								
2	2	4	4	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	34								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	35								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	36								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	37								
3	3	8	8	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=67.3	67.0	𝅘𝅥	67.3	0.0	
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	38	sü-							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	39	-sser							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	40								
3	3	10	10	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	41	Je-							0
3	3	11	11	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=64.38	64.0	𝅘𝅥	64.38	0.0	0
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	42								
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	43								
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	44								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	45								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	46								1
3	3	11	11	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	47								1
3	3	45/4	45/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	48								1
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	49								1
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	50								
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	51								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	52								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	53								2
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	54								
3	3	8	8	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	55								
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	56								
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	57								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	58								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	59								3
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	60								
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	61	-su!							
4	4	14	14	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	62	Mei-							
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	63								
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	64	-ner							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	65								
4	4	12	12	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	66								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	67								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	68								
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	69								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	70								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	71								
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	72								
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	73								
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	74								
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	75								
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	76								
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	77	See-							
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	78								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	79	-len							
5	5	18	18	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
5	5	18	18	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	80	Se-							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	81	-lig-							
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	82								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	83								
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	84								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	85								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	86								
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	87								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	88								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	89								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	90								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	91								
5	5	16	16	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	92								
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	93								
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	94								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	95								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	96								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	97								
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	98	-keit,							
6	6	22	22	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=65.73	66.0	𝅘𝅥	65.73	0.0	
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	99	sü-							
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	100	-sser							
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	101								
6	6	20	20	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	102								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	103								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	104								
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	105								
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	106								
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	107								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	108								
6	6	20	20	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	109								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	110								
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	111								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	112								
7	7	24	24	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
7	7	24	24	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	113	Je-							4
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	114								
7	7	26	26	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	115	-su!							
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	116								5
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	117								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	118								
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	119								6
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	120								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	121								
7	7	24	24	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	122								7
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	123								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	124								
8	8	28	28	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=67.35	67.0	𝅘𝅥	67.35	0.0	
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	125	Des							
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	126	Ge-							
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	127								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	128	-mü-							
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	129	-thes							
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	130								
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	131								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	132								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	133								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	134								
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	135								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	136								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	137								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	138								
8	8	28	28	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	139								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	140								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	141								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	142								
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
9	9	32	32	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	143	Si-							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	144	-cher-							
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	145	-heit,							
9	9	32	32	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	146								
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	147								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	148								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	149								
9	9	32	32	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	150								
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	151								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	152								
9	9	32	32	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	153								
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	154								
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	155								
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	156								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	157								
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	158	sü-							
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	159	-sser							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	160								
10	10	38	38	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=65.3	65.0	𝅘𝅥	65.3	0.0	
10	10	38	38	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	161	Je-							8
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	162								
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	163								
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	164								
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	165								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	166								9
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	167								
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	168								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	169								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	170								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	171								10
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	172								10
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	173								
10	10	36	36	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	174								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	175								
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	176								
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	177								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	178								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	179								
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	180	-su!							
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	181	Je-							
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	182								
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	183	-su,							
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	184								
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	185								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	186								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	187								
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	188								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	189								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	190								
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	191								
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	192								
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	193								
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	194								
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	195								
12	12	44	44	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	196	sü-							
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	197								
12	12	45	45	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0	
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	198	-sser							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	199								
12	12	46	46	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0	
12	12	46	46	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	200	Je-	ornamentTrill						11
12	12	47	47	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	11
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	201								
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	202								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	203								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	204								12
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	205								
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	206								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	207								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	208								13
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	209								13
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	210								
12	12	44	44	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	211								
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	212								
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	213								
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	214								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	215								14
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	216								
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1	1	1	217	-su!							
13	13	48	48	4.0	0	0	Chord	4/4	1	2	1	1	1	218								
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	219								
13	13	48	48	4.0	0	0	Chord	4/4	2	2	1	1	1	220								
