mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
3	2	6	6	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	32												
3	2	13/2	13/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/4	5h				
3	2	27/4	27/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	33												
3	2	7	7	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	34												
3	2	15/2	15/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	6	4+	2	*	
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	35												
3	2	8	8	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	6				
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	36												
3	2	17/2	17/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	7	*			
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	37												
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	38												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	39												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	40												
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	41												2
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	42												
4	3	9	9	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0						
4	3	9	9	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	43	-wen-											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	44	det											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	45	und,											
4	3	9	9	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	46												3
4	3	19/2	19/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	47												3
4	3	39/4	39/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	48												3
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	49												
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	50												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	51												
4	3	9	9	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	5h	4			
