mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	168													0
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	169													
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	170													
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	171													
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	172													
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	173													
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	174													1
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	175													1
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	176													1
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	177													
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	178													
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	179													
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	180													
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	181	-ben	-te,	-che										
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	182	will	fer-	und										
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	183	aus	-ner	des										
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	184													
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	185													
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	186													
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	187													
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	188													
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	189													
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	190													
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	191													
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	192													
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	193													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	194													
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	195	mei-	dei-	Glau-										
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	196	-nem	-ne	-bens										
12	12	46	46	0.0	1/2	1/2	Tempo	4/4	1	1	0											𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	197	Her-	Gnad'	Ziel										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	198	-zen	er-	er-										
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	199													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	200													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	201													
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	202													
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	203													
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	204													
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	205													
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	206													
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	207													
12	12	44	44	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	208													
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	209													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	210													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	211													
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	212													
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	213													
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	214													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	215													
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	216	rau-	-hal-	-rei-										
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	217	-ben.	-te.	-che.										
13	13	48	48	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	218													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	219													
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	220													2
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	221													2
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	222													2
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	223													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	224													
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	225													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	226													
13	13	48	48	1.0	0	0	Chord	4/4	2	3	1/4	1/4	1	227													3
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	3	1/4	1/4	1	228													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	3	1/2	1/2	1	229													
