mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	241											
14	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	242											
14	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	243											
14	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	244											
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	245											
14	12	47	47	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	246											
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	247											
14	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	248											
14	12	46	46	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	249											
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	250											
14	12	47	47	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	251											
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	252											
14	12	48	48	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	253											
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	254											
15	13	49	49	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
15	13	49	49	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	255	e-	las-									12
15	13	50	50	0.0	1/4	1/4	Tempo	4/4	1	1	0										𝅘𝅥=51	51.0	𝅘𝅥	51.0	0.0	
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	256											
