mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	187											7
12	10	38	38	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	188											7
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	189											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	190	-nes,	-be,									
12	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	191	mit	der									
12	10	37	37	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	192											8
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	193											8
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	194											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	195											
12	10	40	40	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	196											
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	197											
12	10	37	37	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	198											9
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	199											9
12	10	38	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	200											9
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	201											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	202											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	203											
12	10	37	37	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	204											10
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	205											10
12	10	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	206											10
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	207											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	208											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	209											
13	11	41	41	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	210	bei-	al-									
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	211											
13	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	212	-den	-lein									
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	213											
13	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=79.5	80.0	𝅘𝅥	79.5	0.0	
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	214	gleich	hel-									
13	11	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
13	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	215	ge-	-fen									
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	216											
13	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	217											
13	11	42	42	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	218											
