mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
9	7	25	27	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	107	ehr-							
9	7	51/2	55/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	108	-lich							
9	7	26	28	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	109	Grab							
9	7	27	29	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	110	ne-							
9	7	55/2	59/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	111	-ben							
10	8	29	31	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	112	ne-							
10	8	59/2	63/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	113	-ben							
10	8	30	32	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	114	from-							
10	8	31	33	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	115	-men							
10	8	29	31	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	116								
10	8	59/2	63/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	117								
10	8	30	32	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	118								
10	8	31	33	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	119								
10	8	29	31	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	120								
10	8	59/2	63/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	121								
10	8	30	32	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	122								
10	8	31	33	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	123								
10	8	28	30	3.0		0	0	Chord	4/4	2	2	3/4		1/2	3/2	124	from-							
10	8	31	33	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	125	-men							
10	8	63/2	67/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	126								
11	9	32	34	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	127	Chris-							
11	9	33	35	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	128	-ten							
11	9	34	36	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	129	hab',							
11	9	35	37	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	130	und							
11	9	71/2	75/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	131	auch							
11	9	32	34	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	132								
11	9	33	35	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	133								
11	9	34	36	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	134								
11	9	32	34	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	135								
11	9	65/2	69/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	136								
11	9	33	35	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	137								
11	9	34	36	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	138								
11	9	32	34	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	139								
11	9	33	35	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	140								
11	9	34	36	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	141								
12	10	36	38	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	142	end-							
12	10	75/2	79/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	143	-lich							
12	10	38	40	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	144	in							
12	10	39	41	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	145	der							
12	10	37	39	2.0		1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	146	und							
12	10	39	41	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	147	auch							
12	10	37	39	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	148								
12	10	75/2	79/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	149								
12	10	38	40	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	150								
12	10	39	41	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	151								
12	10	37	39	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	152	und							
