mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	91										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	92										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	93										
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	94										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	95										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	96										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	97										
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	98	dass									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	99	ich									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	100	nicht									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	101	zu									
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	102										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	103										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	104										
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	105										
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	106										
5	4	13	13	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	107										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	108										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	109										
5	4	16	16	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	110										
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	111										
5	4	13	13	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	112										
5	4	14	14	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	113										
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	114										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	115										
5	4	16	16	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	116										
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	117										
5	4	13	13	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	118										
5	4	14	14	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	119										
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	120										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	121										
5	4	16	16	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	122										
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	123										
6	5	17	17	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	124										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	125										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	126										
6	5	19	19	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	127										
6	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	128										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	129										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	130										
6	5	19	19	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	131										
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	132	Schan-									
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	133										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	134	-den									
6	5	19	19	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	135	werd,									
6	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	136										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	137										
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	138										
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	139										
6	5	19	19	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	140										
6	5	17	17	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	141										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	142										
6	5	18	18	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	143										5
6	5	37/2	37/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	144										5
6	5	75/4	75/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	145										
6	5	19	19	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	146										
6	5	17	17	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	147										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	148										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	149										
6	5	19	19	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	150										
6	5	17	17	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	151										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	152										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	153										
6	5	19	19	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	154										
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	155										
7	6	23	23	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	156										
7	6	47/2	47/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	157										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	158										
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	159										
7	6	23	23	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	160										
7	6	47/2	47/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	161										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	162										
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	163	noch									
7	6	23	23	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	164	e-									
7	6	47/2	47/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	165										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	166	-wig-									
7	6	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	167										
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	168										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	169										
7	6	24	24	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	170										
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	171										
7	6	22	22	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	172										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	173										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	174										
7	6	22	22	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	175										
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	176										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	177										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	178										
7	6	22	22	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	179										
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	180										
