mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	5	17	17	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	125											
6	5	17	17	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	126											
6	5	17	17	3.0	0	0	Chord	4/4	2	3	3/4	1/2	3/2	127											
6	5	17	17	3.0	0	0	Chord	4/4	3	3	3/4	1/2	3/2	128											
6	5	17	17	3.0	0	0	Chord	4/4	4	3	3/4	1/2	3/2	129											
7	5	20	20	0.0	0	3/4	Tempo	4/4	1	1	0									𝅘𝅥=70.2	70.0	𝅘𝅥	70.2	0.0	
7	5	20	20	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	130	und	giebst									
7	5	20	20	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	131											
7	5	20	20	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	132											
7	5	20	20	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	133											
7	5	20	20	1.0	0	3/4	Chord	4/4	2	3	1/4	1/4	1	134											
7	5	20	20	1.0	0	3/4	Chord	4/4	3	3	1/4	1/4	1	135											
7	5	20	20	1.0	0	3/4	Chord	4/4	4	3	1/4	1/4	1	136											
8	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	137	an-	ihn'n									
8	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	138	-de-	be-									
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	139	-re	-reit									
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	140	A-	die									
8	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	141											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	142											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	143											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	144											
8	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	145											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	146											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	147											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	148											
8	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	149											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	150											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	151											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	152											
8	6	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	153											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	154											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	155											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	156											
8	6	21	21	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	157											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	158											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	159											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	160											
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	161	-po-	Se-									
9	7	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	162	-stel	-lig-									
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	163	mehr,	-keit									
9	7	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	164	aus	und									
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	165											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	166											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	167											
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	168											
9	7	25	25	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	169											
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	170											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	171											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	172											
9	7	28	28	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	173											
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	174											
9	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	175											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	176											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	177											
9	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	178											
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	179											
9	7	25	25	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	180											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	181											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	182											
9	7	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	183											
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	184											
9	7	25	25	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	185											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	186											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	187											
9	7	28	28	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	188											
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	189											
10	8	29	29	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	190	dein'm	läss'st									
10	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	191											
10	8	31	31	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	192	-li-	nicht									
10	8	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	193	-chen	ver-									
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	194											
10	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	195											
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	196											
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	197	gött-	sie									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	198											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	199											
10	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	200											
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	201											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	202											
10	8	32	32	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	203											
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	204											
10	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	205											
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	206											
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	207											
10	8	31	31	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	208											
10	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	209											
10	8	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	210											
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	211											
10	8	29	29	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	212											
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	213											
10	8	30	30	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	214											
10	8	31	31	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	215											
10	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	216											
10	8	32	32	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	217											
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	218											
10	8	29	29	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	219											
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	220											
10	8	30	30	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	221											
10	8	31	31	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	222											
10	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	223											
10	8	32	32	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	224											
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	225											
11	9	33	33	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=69.2	69.0	𝅘𝅥	69.2	0.0	
11	9	33	33	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	226	Mun-	-der-									
11	9	34	34	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	227	-de:	-ben.									
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	228	Dass	O									
11	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	229											5
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	230											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	231											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	232											
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	233											6
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	234											6
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	235											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	236											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	237											
11	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	238											7
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	239											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	240											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	241											
11	9	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	242											8
11	9	34	34	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	243											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	244											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	245											
11	9	33	33	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	246											9
11	9	34	34	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	247											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	248											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	249											
12	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	250	dank'n	Herr,									
12	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	251	wir	durch									
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	252	dir	dich									
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	253	mit	bitt'									
12	10	37	37	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	254											
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	255											
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	256											
12	10	39	39	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	257											
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	258											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	259											
12	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	260											
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	261											
12	10	39	39	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	262											
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	263											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	264											
12	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	265											
12	10	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	266											
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	267											
12	10	39	39	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	268											
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	269											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	270											
12	10	37	37	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	271											
12	10	38	38	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	272											
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	273											
12	10	39	39	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	274											
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	275											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	276											
12	10	37	37	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	277											
12	10	38	38	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	278											
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	279											
12	10	39	39	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	280											
12	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	281											
12	10	40	40	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	282											
13	11	41	41	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
13	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	283	Fleiss,	ich,									
13	11	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	284	dass	lass									
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	285	wir	mich									
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	286	er-	fröh-									
13	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	287											
13	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	288											
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	289											
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	290											
13	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	291											
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	292											
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	293											
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	294											
13	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	295											
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	296											
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	297											
13	11	44	44	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	298											
