mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	3	1/4	1/4	1	102									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	3	1/4	1/4	1	103									
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	104									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	105									
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	106									
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	107									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	108									
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	109									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	110									
6	5	19	19	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	111									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	112									
7	6	21	21	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	113	tra-	Ta-							
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	114	-gen	-ge.							
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	115									1
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	116									1
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	117									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	118									
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	119									2
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	120									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	121									
7	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	122									3
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	123									3
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	124									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	125									
8	6	24	24	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	126		Als							
8	6	24	24	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	127									
8	6	24	24	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	128									
8	6	24	24	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	129									
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	130		dann							
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	131		von							
9	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	132		Tod							
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	133									
9	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	134		-er-							
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	135									
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	136									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	137									
9	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	138									
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	139									
9	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	140									
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	141									
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	3	1/4	1/4	1	142									
9	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	143									
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	144									
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	145									
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	146									
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	147									
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	148									
9	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	149									
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	150									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	151									
9	7	27	27	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	152									
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	153									
10	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	154		-we-							
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	155		-cke							
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	156		mich,							
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	157		dass							
10	8	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	158									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	159									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	160									
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	161									
10	8	29	29	1.0	0	0	Chord	4/4	1	3	1/4	1/4	1	162									
10	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	163									
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	164									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	165									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	166									
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	167									
10	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	168									
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	169									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	170									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	171									
10	8	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	172									
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	173									
11	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	174		mei-							
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	175		-ne							
11	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	176		Aug-							
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	177									
11	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	178		-gen							
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	179									
11	9	33	33	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	180									
