piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus	staff_9_instrument	staff_9_ambitus	staff_10_instrument	staff_10_ambitus	staff_11_instrument	staff_11_ambitus	staff_12_instrument	staff_12_ambitus	staff_13_instrument	staff_13_ambitus	staff_14_instrument	staff_14_ambitus	staff_15_instrument	staff_15_ambitus	staff_16_instrument	staff_16_ambitus	staff_17_instrument	staff_17_ambitus	staff_18_instrument	staff_18_ambitus	staff_19_instrument	staff_19_ambitus	staff_20_instrument	staff_20_ambitus	staff_21_instrument	staff_21_ambitus	staff_22_instrument	staff_22_ambitus	staff_23_instrument	staff_23_ambitus
B021	1: 4/4	1: 0	9	8	32.0	9	8	32.0		160.0	186	53	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5034959		21. Als Jesus Christus in der Nacht	(B. A. 39, No. 13, BWV 265)	Joh. Heermann 1636	"J.S. Bach (1685-1750)
Mich. Weisse 1531  Joh. Crüger 1649"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B021.mscx	False	26-74 (D1-D5)		Soprano/Alto	57-74 (A3-D5)	Tenor/Bass	38-65 (D2-F4)	Contrabass	26-48 (D1-C3)																																								
B022	1: 3/4	1: 1	22	22	66.0	22	22	66.0		330.0	305	84	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5035495		22. Als vierzig Tag' nach Ostern war'n	"(Erschienen ist der herrlich' Tag) 
(B. A. 39. No. 14, BWV 266)"	Nic. Herman 1560	"J.S. Bach (1685-1750)
(sehr umgebildet)
Nic. Herman, 1560 
"	3.6.2	2.5.0	MS3	MS3/B022.mscx	False	28-71 (E1-B4)		Soprano/Alto	59-71 (B3-B4)	Tenor/Bass	40-64 (E2-E4)	Contrabass	28-43 (E1-G2)																																								
B023	1: 4/4	1: 1	19	17	68.0	24	21	84.0		341.5	416	123	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5035581		23. An Wasserflüssen Babylon	(B. A. 39, No. 15, BWV 267)	"Text 'An Wasserflüssen: Wolfg. Dachstein
Text 'Ein Lämmlein': P. Gerhardt 1653 "	"J.S. Bach (1685-1750)
Wolf. Dachstein 1525"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B023.mscx	False	28-76 (E1-E5)		Soprano/Alto	54-76 (F#3-E5)	Tenor/Bass	40-64 (E2-E4)	Contrabass	28-50 (E1-D3)	Tenor	64-66 (E4-F#4)																																						
B024	1: 4/4	1: 1	12	11	44.0	12	11	44.0		220.0	316	87	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5035798		24. Auf, auf, mein Herz, und du mein ganzer Sinn	(B. A. 39. No. 16, BWV 268)	Martin Opitz (1597-1639)	"J.S. Bach (1685-1750)
(J. Stadens Melodey) umgebildet.
Erfurter G.B. 1663"	3.6.2	2.5.0	MS3	MS3/B024.mscx	False	26-76 (D1-E5)		Soprano/Alto	59-76 (B3-E5)	Tenor/Bass	38-66 (D2-F#4)	Contrabass	26-45 (D1-A2)																																								
B025	1: 4/4	1: 0	13	12	48.0	13	12	48.0		230.0	258	70	0	0	0	J.S. Bach (Orig. J.H. Schein 1627)	25. Auf meinen lieben Gott					Siegmund Weingärtner 1609			2017-03-22	3.02	Linux	http://musescore.com/user/1685616/scores/3607886		25. Auf meinen lieben Gott	(Cant. 188. Ich habe meine Zuversicht B.A. 37, 212)	Siegmund Weingärtner 1609	J.S. Bach (Orig. J.H. Schein 1627)	3.6.2	2.5.0	MS3	MS3/B025.mscx	False	33-79 (A1-G5)		Soprano/Alto	64-79 (E4-G5)	Tenor/Bass	45-65 (A2-F4)	Contrabass	33-48 (A1-C3)																																								
B026	1: 4/4	1: -2	13	12	48.0	13	12	48.0		248.0	260	62	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5035865		"26. Auf meinen lieben Gott
(Wo soll ich fliehen hin)"	(Cant. 89. was soll ich aus dir machen, Ephraim? B. 20 I, 194, BWV 89.6)	Johann Heermann 1630	"J.S. Bach (1685-1750)
J.H. Schein 1627"	3.6.2	2.5.0	MS3	MS3/B026.mscx	False	24-77 (C1-F5)		Soprano/Alto	62-77 (D4-F5)	Tenor/Bass	36-69 (C2-A4)	Contrabass	24-46 (C1-Bb2)																																								
B027	1: 4/4	1: 2	13	12	48.0	13	12	48.0		542.0	590	83	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5041101		"27. Auf meinen lieben Gott
"	(Cant. 136, Erforsche mich Gott, B.A. 28, 164, BWV 136.6)	Johann Heermann 1630	"J.S. Bach (1685-1750)
J.H. Schein 1627"	3.6.2	2.5.0	MS3	MS3/B027.mscx	False	25-86 (C#1-D6)		Violin	69-86 (A4-D6)	Soprano/Alto	61-81 (C#4-A5)	Tenor/Bass	37-67 (C#2-G4)	Tenor	57-62 (A3-D4)	Horn in F	71-81 (B4-A5)	Oboe	71-81 (B4-A5)	Violin	61-74 (C#4-D5)	Viola	54-67 (F#3-G4)	Violoncello	37-62 (C#2-D4)	Contrabass	25-50 (C#1-D3)																										
B028	1: 4/4	1: -2	13	12	48.0	13	12	48.0		240.0	250	66	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5041723		"28. Auf meinen lieben Gott
"	(Cant. 5, Wo soll ich fliehen hin, B.A 1,150, BWV 5.7)	Joh. Heermann 1630	"J.S. Bach (1685-1750)
J.H. Schein 1627"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B028.mscx	False	31-77 (G1-F5)		Soprano/Alto	60-77 (C4-F5)	Tenor/Bass	43-67 (G2-G4)	Contrabass	31-48 (G1-C3)																																								
B029	1: 4/4	1: 3	13	12	48.0	13	12	48.0		230.0	263	73	0	0	0											3.02	Linux	http://musescore.com/user/1685616/scores/5041774		29. Auf meinen lieben Gott	(Cant. 148, Bringet dem Herrn Ehre seines Namens, B.A. 30, 260, BWV 148.6)	Joh. Heermann 1630	"J.S. Bach (1685-1750)
Joh. H. Schein 1627"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B029.mscx	False	30-76 (F#1-E5)		Soprano/Alto	61-76 (C#4-E5)	Tenor/Bass	42-66 (F#2-F#4)	Contrabass	30-45 (F#1-A2)																																								
B030	1: 3/4	1: 1	23	21	63.0	31	28	84.0		315.0	289	80	0	0	0	J.S. Bach (Orig. Dav. Wolder 1598)	30. Aus meines Herzens Grunde  					Zuerst 1592			2017-03-21	3.02	Linux	http://musescore.com/user/1685616/scores/3607276		30. Aus meines Herzens Grunde  	(B.A. 39, No 17, B.W.V. 269)	Zuerst 1592	"J.S. Bach (Orig. Dav. Wolder 1598)
From: Bach Choral-Gesänge, edition Breitkopf nr. 3756"	3.6.2	0.0.post1.dev1+gd6b2ef0	MS3	MS3/B030.mscx	False	30-74 (F#1-D5)		Soprano/Alto	59-74 (B3-D5)	Tenor/Bass	42-64 (F#2-E4)	Contrabass	30-43 (F#1-G2)																																								
