type	type-id	target	ordering-key	direction	attribute-list	attributes	work.id	work.title	work.language	work.disambiguation
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	1c3647f3-6092-3d15-8082-c50689053987	85	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '85', 'attribute': 'number'}]	1c3647f3-6092-3d15-8082-c50689053987	"Choralsatz, BWV 306 ""Erstanden ist der heilge Christ"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	2cba0e44-08b7-3c80-8f6d-33fb1b5c46f3	261	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '262', 'attribute': 'number'}]	2cba0e44-08b7-3c80-8f6d-33fb1b5c46f3	"Choralsatz, BWV 307 ""Es ist gewißlich an der Zeit"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	070917ee-f7dd-34a0-acae-49b3499185c8	92	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '92', 'attribute': 'number'}]	070917ee-f7dd-34a0-acae-49b3499185c8	"Choralsatz, BWV 308 ""Es spricht der Unweisen Mund wohl"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	8c70b455-5370-3b14-be07-8ddb512807b9	93	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '93', 'attribute': 'number'}]	8c70b455-5370-3b14-be07-8ddb512807b9	"Choralsatz, BWV 309 ""Es stehn vor Gottes Throne"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	f4b61085-b9a5-327b-9d97-6ee60e38f3b6	94	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '94', 'attribute': 'number'}]	f4b61085-b9a5-327b-9d97-6ee60e38f3b6	"Choralsatz, BWV 310 ""Es wird schier der letzte Tag herkommen"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	ba802358-2e22-4001-a07f-d70a7f2aa007	95	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '95', 'attribute': 'number'}]	ba802358-2e22-4001-a07f-d70a7f2aa007	"Choralsatz, BWV 311 ""Es woll uns Gott genädig sein"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	78c9ae5d-1a1e-3038-9466-e7788ad5aa5e	96	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '96', 'attribute': 'number'}]	78c9ae5d-1a1e-3038-9466-e7788ad5aa5e	"Choralsatz, BWV 312 ""Es woll uns Gott genädig sein"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	07855396-74fd-3ed2-bd5b-62ad34ad059c	106	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '106', 'attribute': 'number'}]	07855396-74fd-3ed2-bd5b-62ad34ad059c	"Choralsatz, BWV 313 ""Für Freuden laßt uns springen"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	887a9d41-8741-3898-8c75-1d04e558bdac	107	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '107', 'attribute': 'number'}]	887a9d41-8741-3898-8c75-1d04e558bdac	"Choralsatz, BWV 314 ""Gelobet seist du, Jesu Christ"""	deu	
part of	b0d44366-cdf0-3acb-bee6-0f65a77a6ef0	d9535e64-cec8-368d-9487-9f48c0099dc0	111	forward	['number']	[{'type-id': 'a59c5830-5ec7-38fe-9a21-c7ea54f6650a', 'value': '111', 'attribute': 'number'}]	d9535e64-cec8-368d-9487-9f48c0099dc0	"Choralsatz, BWV 315 ""Gib dich zufrieden und sei stille"""	deu	
