cd	track	track_title	recording_title	chorale	recording_id
4	11	Christus, der uns selig macht ZBWV283)	Christus, der uns selig macht, BWV 285	48	92798cf2-8337-4d6e-908d-da01d3d04310
4	12	Christus, der uns selig macht (Johannes-Passion BWV245)	Christus, der uns selig macht, St. John Passion BWV 245	49	0ac512c8-86a7-4ec0-9e90-1d06bacfdf9a
4	13	Christus, der uns selig macht (Johannes-Passion)	Christus, der uns selig macht, St. John Passion	50	2d72ac32-4dc2-48ea-8923-092323882f06
4	14	Christus ist erstanden, hat überwunden BWV284	Christus ist erstanden, hat überwunden, BWV 284	51	e089ffbd-53cb-4c93-bc54-94780259f24d
4	15	Da der Herr Christ zu Tische saß BWV285	Da der Herr Christ zu Tische saß, BWV 285	52	3bd92fe5-5703-4c2c-8621-34f722d96266
4	16	Des heil.gen Geistes reiche Gnad. BWV205	Des heil'gen Geistes reiche Gnad', BWV 205	63	5f875f1d-e11c-4bec-9346-b89b67617b2a
4	17	Du grosser Schmerzensmann BWV300	Du grosser Schmerzensmann, BWV 300	70	e0ce0d14-e236-487f-b5a5-1dcf2d25aa07
4	18	Ermuntre dich, mein schwacher Geist (Cantata BWV43)	Ermuntre dich, mein schwacher Geist, Cantata BWV 45	81	d2803e59-cf70-4f0c-9195-09ff94be1057
4	19	Erschienen ist der herrlich. Tag (Cantata BWV67)	Erschienen ist der herrlich' Tag, Cantata BWV 67	83	e47b9a7a-f1e0-4c8a-ae1c-b723de38c7bf
4	20	Erschienen ist der herrlich. Tag (Cantata BWV145)	Erschienen ist der herrlich' Tag, Cantata BWV 145	84	aa157d5d-36ab-4ee0-aa7d-d556921ddadd
4	21	Erstanden ist der heilig. Christ BWV306	Erstanden ist der heilig' Christ, BWV 306	85	a5438847-3851-4909-9ab9-a4ce6be90aba
4	22	Es ist das Heil uns kommen her (Cantata BWV9)	Es ist das Heil uns kommen her, Cantata BWV 9	87	a42213af-2341-43f8-bc0f-b6645c15f916
4	23	Es ist das Heil uns kommen her (Cantata BWV155)	Es ist das Heil uns kommen her, Cantata BWV 155	88	1e475fe4-097f-4335-9042-de68d29c4f5d
4	24	Gott sei gelobet und gebenedeiet BWV322	Gott sei gelobet und gebenedeiet, BWV 322	119	4070a7e2-a4a4-40af-8436-d8391f10b7ef
4	25	Herzlich lieb hab. ich dich, o Herr (Johannes-Passion)	Herzlich lieb hab' ich dich, o Herr, St. John Passion	154	0fc064d1-7100-459a-8ade-3a0db1334dd3
4	26	Herzlich thut mich verlangen (Matthäus-Passion BWV244)	Herzlich thut mich verlangen, St. Matthew Passion BWV 244	163	76db0362-aa33-4aac-8adf-40453f8f7200
