filename	cd	track	title	bwv	cd	track	track_title	recording_title	chorale	recording_id
01-22 Was Gott tut, das ist wohlgetan, BWV 99- No. 1, Was Gott thut, das ist wohlgethan.mp3	1	22	Was Gott tut, das ist wohlgetan, BWV 99- No. 1, Was Gott thut, das ist wohlgethan.mp3	99	1	22	Was Gott thut, das ist wohlgethan (Cantata BWV99)	Was Gott thut, das ist wohlgethan, Cantata BWV 99	341	8ea0ea58-2ff3-4d7b-b566-aa4331cca0cf
01-23 Matthäus-Passion, BWV 244- No. 25, Was mein Gott will, das g'scheh' allzeit.mp3	1	23	Matthäus-Passion, BWV 244- No. 25, Was mein Gott will, das g'scheh' allzeit.mp3	244	1	23	Was mein Gott will, das g.scheh. allzeit (Matthäus-Passion BWV244)	Was mein Gott will, das g'scheh' allzeit, St. Mathew Passion BWV 244	342	5b08ff76-ee04-4652-bff6-fe9401e9e40a
01-24 Nimm, was dein ist, und gehe hin, BWV 144- No. 6, Was mein Gott will, das g'scheh' allzeit.mp3	1	24	Nimm, was dein ist, und gehe hin, BWV 144- No. 6, Was mein Gott will, das g'scheh' allzeit.mp3	144	1	24	Was mein Gott will, das g.scheh. allzeit (Cantata BWV144)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 144	343	a576d6ff-e17a-4387-9139-15c36ff0c104
01-25 Alles nur nach Gottes Willen, BWV 72- No. 6, Was mein Gott will, das g'scheh' allzeit.mp3	1	25	Alles nur nach Gottes Willen, BWV 72- No. 6, Was mein Gott will, das g'scheh' allzeit.mp3	72	1	25	Was mein Gott will, das g.scheh. allzeit (Cantata BWV72)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 72	344	5730fd88-f0da-44b5-b681-d4b2c1a5a6c5
01-26 Was mein Gott will, das g'scheh allzeit, BWV 111- No. 1, Was mein Gott will, das g'scheh' allzeit.mp3	1	26	Was mein Gott will, das g'scheh allzeit, BWV 111- No. 1, Was mein Gott will, das g'scheh' allzeit.mp3	111	1	26	Was mein Gott will, das g.scheh. allzeit (Cantata BWV111)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 111	345	ee6324f7-8e7e-4874-ae3f-f1f6e30ca9eb
01-27 Sie werden aus Saba alle kommen, BWV 65- No. 7, Was mein Gott will, das g'scheh' allzeit.mp3	1	27	Sie werden aus Saba alle kommen, BWV 65- No. 7, Was mein Gott will, das g'scheh' allzeit.mp3	65	1	27	Was mein Gott will, das g.scheh. allzeit (Cantata BWV65)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 65	346	ebe0dd22-e557-4990-8f8b-aabe62eb254f
01-28 Ich hab in Gottes Herz und Sinn, BWV 92- No. 9, Was mein Gott will, das g'scheh' allzeit.mp3	1	28	Ich hab in Gottes Herz und Sinn, BWV 92- No. 9, Was mein Gott will, das g'scheh' allzeit.mp3	92	1	28	Was mein Gott will, das g.scheh. allzeit (Cantata BWV92)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 92	347	b84f24bb-3e38-49cd-8ddc-41a87d62d68e
01-29 Ihr werdet weinen und heulen, BWV 103- No. 6, Was mein Gott will, das g'scheh' allzeit.mp3	1	29	Ihr werdet weinen und heulen, BWV 103- No. 6, Was mein Gott will, das g'scheh' allzeit.mp3	103	1	29	Was mein Gott will, das g.scheh. allzeit (Cantata BWV103)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 103	348	901e3c82-07ff-4681-81eb-5025480db5bc
01-30 Was willst du dich, o meine Seele, BWV 425.mp3	1	30	Was willst du dich, o meine Seele, BWV 425.mp3	425	1	30	Was willst du dich, o meine Seele BWV425	Was willst du dich, o meine Seele, BWV 425	349	bb6a0bdc-3cc2-4cc0-b586-adafb2190f5a
01-31 Weltlich Ehr' und zeitlich Gut, BWV 426.mp3	1	31	Weltlich Ehr' und zeitlich Gut, BWV 426.mp3	426	1	31	Weltlich Ehr. und zeitlich Gut BWV426	Weltlich Ehr' und zeitlich Gut, BWV 426	351	7e9c0ded-65e1-4dd3-ae44-f20ee3433d04
01-32 Wenn ich in Angst und Noth, BWV 427.mp3	1	32	Wenn ich in Angst und Noth, BWV 427.mp3	427	1	32	Wenn ich in Angst und Noth BWV427	Wenn ich in Angst und Noth, BWV 427	352	8a55032e-faf4-4015-b1e3-44dade79688d
01-33 Wenn mein Stündlein vorhanden ist, BWV 430.mp3	1	33	Wenn mein Stündlein vorhanden ist, BWV 430.mp3	430	1	33	Wenn mein Stündlein vorhanden ist BWV430	Wenn mein Stündlein vorhanden ist, BWV 430	355	a05afb05-2e8a-4dc9-b766-e39114e25e67
01-34 Wenn wir in höchsten Nöthen sein, BWV 431.mp3	1	34	Wenn wir in höchsten Nöthen sein, BWV 431.mp3	431	1	34	Wenn wir in höchsten Nöthen sein BWV431	Wenn wir in höchsten Nöthen sein, BWV 431	358	d082df32-df04-4b89-aed8-6d55cc4d4687
01-35 Wenn wir in höchsten Nöthen sein, BWV 432.mp3	1	35	Wenn wir in höchsten Nöthen sein, BWV 432.mp3	432	1	35	Wenn wir in höchsten Nöthen sein BWV432	Wenn wir in höchsten Nöthen sein, BWV 432	359	8a5c3ff8-acc6-4bf5-b219-788b47d8000c
01-36 Werde munter, mein Gemüthe (Cantata, BWV 116).mp3	1	36	Werde munter, mein Gemüthe (Cantata, BWV 116).mp3	116	1	36	Werde munter, mein Gemüthe (Cantata BWV146)	Werde munter, mein Gemüthe, Cantata BWV 146	360	aa1b01e8-d126-4544-8122-51b8fde8847c
01-37 Werde munter, mein Gemüthe (St Matthew Passion, BWV 244).mp3	1	37	Werde munter, mein Gemüthe (St Matthew Passion, BWV 244).mp3	244	1	37	Werde munter, mein Gemüthe (Matthäus-Passion)	Werde munter, mein Gemüthe, St. Mathew Passion BWV 244	361	543f4654-dcdd-40bf-aa8f-699cc7c13071
01-38 Werde munter, mein Gemüthe, BWV 360.mp3	1	38	Werde munter, mein Gemüthe, BWV 360.mp3	360	1	38	Werde munter, mein Gemüthe BWV360	Werde munter, mein Gemüthe, BWV 360	364	2e6ed2cb-f6eb-4438-bcc0-96bc6427ad98
01-39 Werde munter, mein Gemüthe (Cantata, BWV 154).mp3	1	39	Werde munter, mein Gemüthe (Cantata, BWV 154).mp3	154	1	39	Werde munter, mein Gemüthe (Cantata BWV154)	Werde munter, mein Gemüthe, Cantata BWV 154	365	223c9acc-aec3-428f-8d06-7d961c9569ea
01-40 Wer Gott vertraut, hat wohlgebaut, BWV 433.mp3	1	40	Wer Gott vertraut, hat wohlgebaut, BWV 433.mp3	433	1	40	Wer Gott vertraut, hat wohlgebaut BWV433	Wer Gott vertraut, hat wohlgebaut, BWV 433	366	bad0addc-0310-4cb0-bbe9-3a8a6ea92de0
01-41 Wer nur den lieben Gott läßt walten, BWV 434.mp3	1	41	Wer nur den lieben Gott läßt walten, BWV 434.mp3	434	1	41	Wer nur den lieben Gott läßt walten BWV434	Wer nur den lieben Gott läßt walten, BWV 434	367	3e58f9be-beda-4f3b-953b-5f2c26dd73ad
01-42 Wer nur den lieben Gott läßt walten (Cantata, BWV 88).mp3	1	42	Wer nur den lieben Gott läßt walten (Cantata, BWV 88).mp3	88	1	42	Wer nur den lieben Gott läßt walten (Cantata BWV88)	Wer nur den lieben Gott läßt walten, Cantata BWV 88	368	51c1d458-e834-475e-8625-611f7408dc33
01-43 Wer nur den lieben Gott läßt walten, BWV 197.mp3	1	43	Wer nur den lieben Gott läßt walten, BWV 197.mp3	197	1	43	Wer nur den lieben Gott läßt walten BWV197	Wer nur den lieben Gott läßt walten, BWV 197	370	4415503a-f8e3-43e2-8b58-f8702ac47543
01-44 Wer nur den lieben Gott läßt walten (Cantata, BWV 179).mp3	1	44	Wer nur den lieben Gott läßt walten (Cantata, BWV 179).mp3	179	1	44	Wer nur den lieben Gott läßt walten (Cantata BWV179)	Wer nur den lieben Gott läßt walten, Cantata BWV 179	371	e57019d4-dee8-4fb3-8b56-642d8f581a1b
01-45 Wer nur den lieben Gott läßt walten (Cantata, BWV 166).mp3	1	45	Wer nur den lieben Gott läßt walten (Cantata, BWV 166).mp3	166	1	45	Wer nur den lieben Gott läßt walten (Cantata BWV166)	Wer nur den lieben Gott läßt walten, Cantata BWV 166	372	4bf442d8-8239-4427-9551-6afd00302e24
01-46 Wer nur den lieben Gott läßt walten (Cantata, BWV 84).mp3	1	46	Wer nur den lieben Gott läßt walten (Cantata, BWV 84).mp3	84	1	46	Wer nur den lieben Gott läßt walten (Cantata BWV84)	Wer nur den lieben Gott läßt walten, Cantata BWV 84	373	c5f6d61f-fb97-4cf4-b0fc-0c21dcbf79de
01-47 Wie bist du, Seele, in mir so gar betrübt, BWV 435.mp3	1	47	Wie bist du, Seele, in mir so gar betrübt, BWV 435.mp3	435	1	47	Wie bist du, Seele, in mir so gar betrübt BWV435	Wie bist du, Seele, in mir so gar betrübt, BWV 435	374	bf7450ad-cc16-43ec-8b2e-be790ab00111
01-48 Wie schön leuchtet der Morgenstern (Cantata, BWV 36).mp3	1	48	Wie schön leuchtet der Morgenstern (Cantata, BWV 36).mp3	36	1	48	Wie schön leuchtet der Morgenstern (Cantata BWV36)	Wie schön leuchtet der Morgenstern, Cantata BWV 36	377	ed5328fd-9b05-4812-9f43-54cb20242c39
01-49 Wo Gott der Herr nicht bei uns hält, BWV 258.mp3	1	49	Wo Gott der Herr nicht bei uns hält, BWV 258.mp3	258	1	49	Wo Gott der Herr nicht bei uns hält BWV258	Wo Gott der Herr nicht bei uns hält, BWV258	383	6a43daa4-63cc-48cf-9c8f-02d39f9337be
01-50 Wo Gott der Herr nicht bei uns hält (Cantata, BWV 178).mp3	1	50	Wo Gott der Herr nicht bei uns hält (Cantata, BWV 178).mp3	178	1	50	Wo Gott der Herr nicht bei uns hält (Cantata BWV178)	Wo Gott der Herr nicht bei uns hält, Cnatata BWV 178	384	e11560d8-0fe4-4be5-950c-8dd80a05e017
01-51 Wo Gott der Herr nicht bei uns hält, BWV 256.mp3	1	51	Wo Gott der Herr nicht bei uns hält, BWV 256.mp3	256	1	51	Wo Gott der Herr nicht bei uns hält BWV256	Wo Gott der Herr nicht bei uns hält, BWV 256	385	6344be83-b532-4bad-ada3-c6334c8e3870
01-52 Wo Gott der Herr nicht bei uns hält (Cantata, BWV 114).mp3	1	52	Wo Gott der Herr nicht bei uns hält (Cantata, BWV 114).mp3	114	1	52	Wo Gott der Herr nicht bei uns hält (Cantata BWV114)	Wo Gott der Herr nicht bei uns hält, Cantata BWV 114	386	672a5e51-8dfc-487b-85bf-1b9b0a786e28
01-53 Wo Gott der Herr nicht bei uns hält, BWV 257.mp3	1	53	Wo Gott der Herr nicht bei uns hält, BWV 257.mp3	257	1	53	Wo Gott der Herr nicht bei uns hält BWV257	Wo Gott der Herr nicht bei uns hält, BWV 257	388	ab318767-3950-4183-af95-30eb0288cc1e
