Riemenschneider,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV),Chorale text,Chorale text URL,Zahn_wiki,Zahn URL,BWV_wiki,BWV URL,389,CPE_wiki,Notes,Notes URL,BC F ,BC F URL
10,38.6,94,10,10,10,Aus tiefer Not schrei ich zu dir (5),"Luther, Martin",Aus tiefer Not schrei ich zu dir (melody #1),"Luther, Martin",4437,21st Sunday after Trinity,0,Aus tiefer Not schrei ich zu dir (v. 5),https://en.wikipedia.org/wiki/Aus_tiefer_Not_schrei_ich_zu_dir,4437,https://en.wikipedia.org/wiki/Aus_tiefer_Not_schrei_ich_zu_dir_(Zahn_4437),38/6,https://en.wikipedia.org/wiki/BWV_38,31,10,0038_6 ,http://www.bach-chorales.com/BWV0038_6.htm,22.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011233
340,272,,339,339,340,Befiehl du deine Wege,"Gerhardt, Paul",Befiehl du deine Wege (melody #2),"Gesius, Bartholomäus",5393,Unknown,1 (1126),Befiehl du deine Wege,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5393,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5393),272,,32,339,0272; Setting likely by C. P. E. Bach[34] ,http://www.bach-chorales.com/BWV0272.htm || https://en.wikipedia.org/wiki/C._P._E._Bach || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#cite_note-34,136.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000342
230,273,,230,230,230,"Christ, der du bist der helle Tag","Alber, Erasmus","Christ, der du bist der helle Tag",Eisleben 1568,384,Unknown,0,"Christ, der du bist der helle Tag","https://en.wikipedia.org/wiki/Christ,_der_du_bist_der_helle_Tag",384,"https://en.wikipedia.org/wiki/Christ,_der_du_bist_der_helle_Tag",273,,33,230,273,http://www.bach-chorales.com/BWV0273.htm,24.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000343
245,274,,245,245,245,"Christe, der du bist Tag und Licht",Wittenberg 1526,"Christe, der du bist Tag und Licht","Luther, Martin*",343,Unknown,0,"Christe, der du bist Tag und Licht","https://en.wikipedia.org/wiki/Christe,_der_du_bist_Tag_und_Licht",343,"https://en.wikipedia.org/wiki/Christe,_der_du_bist_Tag_und_Licht",274,,34,245,274,http://www.bach-chorales.com/BWV0274.htm,27.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000344
210,275,,210,210,210,"Christe, du Beistand","Löwenstern, Matthäus Apelles von","Christe, du Beistand","Löwenstern, Matthäus Apelles von",993,Unknown,0,"Christe, du Beistand deiner Kreuzgemeine",,993,,275,,35,210,275,http://www.bach-chorales.com/BWV0275.htm,28.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000345
197,276,,197,197,197,Christ ist erstanden,Anonymous,Christ ist erstanden,Wittenberg 1533*,8584,Unknown,1 (66.6),Christ ist erstanden,https://en.wikipedia.org/wiki/Christ_ist_erstanden,8584,https://en.wikipedia.org/wiki/Christ_ist_erstanden,276,,36,197,276,http://www.bach-chorales.com/BWV0276.htm,25.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000346
,,,,,,,,,,,,,Christ ist erstanden (v. 3),https://en.wikipedia.org/wiki/Christ_ist_erstanden,8584,https://en.wikipedia.org/wiki/Christ_ist_erstanden,66/6,https://en.wikipedia.org/wiki/BWV_66,37,,0066_6 ,http://www.bach-chorales.com/BWV0066_6.htm,25.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011222
15,277,,15,15,15,Christ lag in Todesbanden,"Luther, Martin",Christ lag in Todesbanden,"Luther, Martin*",7012a,Unknown,"4 (4.8, 158.4, 278, 279)",Christ lag in Todesbanden,https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,7012a,https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,277,,38,15,277,http://www.bach-chorales.com/BWV0277.htm,26.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000347
371,278,133,370,370,371,Christ lag in Todesbanden,"Luther, Martin",Christ lag in Todesbanden,"Luther, Martin*",7012a,Unknown,"4 (4.8, 158.4, 277, 279)",Christ lag in Todesbanden,https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,7012a,https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,278,,39,370,278,http://www.bach-chorales.com/BWV0278.htm,26.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000348
261,279,,261,261,261,Christ lag in Todesbanden,"Luther, Martin",Christ lag in Todesbanden,"Luther, Martin*",7012a,Unknown,"4 (4.8, 158.4, 277, 278)",Christ lag in Todesbanden,https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,7012a,https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,279,,40,261,0279; ≈BWV 158/4 ,http://www.bach-chorales.com/BWV0279.htm || https://en.wikipedia.org/wiki/BWV_158,26.4b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000349
