Riemenschneider,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV),Chorale text,Chorale text URL,Zahn_wiki,Zahn URL,BWV_wiki,BWV URL,389,CPE_wiki,Notes,Notes URL,BC F ,BC F URL
129,369,,129,129,129,Keinen hat Gott verlassen,Anonymous,Keinen hat Gott verlassen,Berlin 1640*,5394,Unknown,0,Keinen hat Gott verlassen,https://en.wikipedia.org/wiki/Keinen_hat_Gott_verlassen,5395,https://en.wikipedia.org/wiki/Keinen_hat_Gott_verlassen,369,,217,129,369,http://www.bach-chorales.com/BWV0369.htm,124.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000439
187,370,,187,187,187,"Komm, Gott Schöpfer, heiliger Geist","Luther, Martin","Komm, Gott Schöpfer, heiliger Geist","Luther, Martin*",295,Unknown,0,"Komm, Gott Schöpfer, Heiliger Geist","https://en.wikipedia.org/wiki/Komm,_Gott_Schöpfer,_Heiliger_Geist",295,"https://en.wikipedia.org/wiki/Komm,_Gott_Schöpfer,_heiliger_Geist",370,,218,187,370,http://www.bach-chorales.com/BWV0370.htm,125.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000440
,,,,,,,,,,,,,"Komm, Heiliger Geist, Herre Gott (v. 1)","https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",7445a,"https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",59/3,https://en.wikipedia.org/wiki/BWV_59,220,,0059_3; ≈BWV 175/7 ,http://www.bach-chorales.com/BWV0059_3.htm || https://en.wikipedia.org/wiki/BWV_175,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
,,,,,,,,,,,,,"O Gottes Geist, mein Trost und Rat (v. 9)","https://en.wikipedia.org/wiki/O_Gottes_Geist,_mein_Trost_und_Rat",7445a,"https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",175/7,https://en.wikipedia.org/wiki/BWV_175,220,,0175_7; ≈BWV 59/3 ,http://www.bach-chorales.com/BWV0175_7.htm || https://en.wikipedia.org/wiki/BWV_59,126.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011243
69,226.2,16,69,69,69,"Komm, Heiliger Geist, Herre Gott (3)","Luther, Martin","Komm, Heiliger Geist, Herre Gott",Erfurt 1524,7445a,Funeral,"2 (59.3, 175.7)","Komm, Heiliger Geist, Herre Gott (v. 3)","https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",7445a,"https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",226/2,https://en.wikipedia.org/wiki/BWV_226,221,69,0226_2 ,http://www.bach-chorales.com/BWV0226_2.htm,126.2a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011182
,,,,,,,,,,,,,"Komm, Jesu, komm (v. 11) ","https://en.wikipedia.org/wiki/Komm,_Jesu,_komm",,,229/2,https://en.wikipedia.org/wiki/BWV_229,222,,0229_2; Not on a pre-existing tune[33] ,http://www.bach-chorales.com/BWV0229_2.htm || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#cite_note-33,— ,
370,74.8,112,369,369,370,"Gott Vater, sende deinen Geist (2)","Gerhardt, Paul","Kommt her zu mir, spricht Gottes Sohn",Nürnberg 1534*,2496c,Whit Sunday,1 (108.6),"Gott Vater, sende deinen Geist (v. 2)","https://en.wikipedia.org/wiki/Gott_Vater,_sende_deinen_Geist",2496c,"https://en.wikipedia.org/wiki/Kommt_her_zu_mir,_spricht_Gottes_Sohn",74/8,https://en.wikipedia.org/wiki/BWV_74,223,369,0074_8 ,http://www.bach-chorales.com/BWV0074_8.htm,128.2b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011245
45,108.6,98,46,46,45,"Gott Vater, sende deinen Geist (10)","Gerhardt, Paul","Kommt her zu mir, spricht Gottes Sohn",Nürnberg 1534*,2496c,Cantate (4th Sunday after Easter),1 (74.8),"Gott Vater, sende deinen Geist (v. 10)","https://en.wikipedia.org/wiki/Gott_Vater,_sende_deinen_Geist",2496c,"https://en.wikipedia.org/wiki/Kommt_her_zu_mir,_spricht_Gottes_Sohn",108/6,https://en.wikipedia.org/wiki/BWV_108,224,46,0108_6 ,http://www.bach-chorales.com/BWV0108_6.htm,128.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011235
132,371,,132,132,132,"Kyrie, Gott Vater in Ewigkeit",Naumburg 1537/38 (trans. of Kyrie),"Kyrie, Gott Vater in Ewigkeit",Naumburg 1537/38,8600,Unknown,0,"Kyrie, Gott Vater in Ewigkeit","https://en.wikipedia.org/wiki/Kyrie,_Gott_Vater_in_Ewigkeit",8600,"https://en.wikipedia.org/wiki/Kyrie,_Gott_Vater_in_Ewigkeit",371,,225,132,371,http://www.bach-chorales.com/BWV0371.htm,129.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000441
218,372,,218,218,218,"Lass, o Herr, dein Ohr sich neigen","Opitz, Martin","Lass, o Herr, dein Ohr sich neigen","Bourgeois, Louis",6863,Unknown,0,"Lass, o Herr, dein Ohr sich neigen",,6863,,372,,226,218,372,http://www.bach-chorales.com/BWV0372.htm,82.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000442
43,8.6,88=148,43,43,43,"Liebster Gott, wenn werd ich sterben (5)","Neumann, Kaspar","Liebster Gott, wenn werd ich sterben","Vetter, Daniel",6634,16th Sunday after Trinity,0,"Liebster Gott, wenn werd ich sterben (v. 5)","https://en.wikipedia.org/wiki/Liebster_Gott,_wenn_werd_ich_sterben",6634,"https://en.wikipedia.org/wiki/Liebster_Gott,_wenn_werd_ich_sterben",8/6,https://en.wikipedia.org/wiki/BWV_8,227,43,0008_6; Spurious[15] ,http://www.bach-chorales.com/BWV0008_6.htm || https://en.wikipedia.org/wiki/BWV_Anh._III || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#cite_note-Vetter1713-15,131.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011228
131,373,,131 =327,131,131 =328,"Liebster Jesu, wir sind hier","Clausnizer, Tobias","Liebster Jesu, wir sind hier","Briegel, Wolfgang Carl*",3498,Unknown,0,"Liebster Jesu, wir sind hier ","https://en.wikipedia.org/wiki/Liebster_Jesu,_wir_sind_hier",3498b ,"https://en.wikipedia.org/wiki/Liebster_Jesu,_wir_sind_hier",373,,228,131,373,http://www.bach-chorales.com/BWV0373.htm,133.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000443
194,123.6,,194,194,194,"Liebster Immanuel, Herzog der Frommen (6)","Fritsch, Ahasverus","Liebster Immanuel, Herzog der Frommen",Darmstadt 1698,4932c,Feast of Epiphany,0,"Liebster Immanuel, Herzog ... (v. 6)","https://en.wikipedia.org/wiki/Liebster_Immanuel,_Herzog_der_Frommen",4932c,"https://en.wikipedia.org/wiki/Liebster_Immanuel,_Herzog_der_Frommen",123/6,https://en.wikipedia.org/wiki/BWV_123,229,194,0123_6 ,http://www.bach-chorales.com/BWV0123_6.htm,132.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011340
,,,,,,,,,,,,,"Lobe den Herren, den mächtigen ... (v. 5)","https://en.wikipedia.org/wiki/Lobe_den_Herren,_den_mächtigen_König_der_Ehren",1912a,,137/5,https://en.wikipedia.org/wiki/BWV_137,230,,0137_5; ≈BWV 120a/8 ,http://www.bach-chorales.com/BWV0137_5.htm || https://en.wikipedia.org/wiki/BWV_120a,78.2c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011220
90,57.8,,90,90,90,"Hast du denn, Jesu, dein Angesicht gänzlich verborgen (6)","Fritsch, Ahasverus","Hast du denn, Jesu, dein Angesicht gänzlich verborgen",Stralsund 1665,1912a,2nd Day of Christmas,"2 (120a.8, 137.5)","Hast du denn, Jesu, dein Angesicht (v. 6)",,1912a,,57/8,https://en.wikipedia.org/wiki/BWV_57,231,90,0057_8 ,http://www.bach-chorales.com/BWV0057_8.htm,78.1a/b; — ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011323
227,374,,227,227,227,"Lobet den Herren, denn er ist sehr freundlich",Dresden 1568,"Lobet den Herren, denn er ist sehr freundlich","Scandelli, Antonio",975,Unknown,0,"Lobet den Herren, denn er ist sehr ...","https://en.wikipedia.org/wiki/Lobet_den_Herren,_denn_er_ist_sehr_freundlich",975,"https://en.wikipedia.org/wiki/Lobet_den_Herren,_denn_er_ist_sehr_freundlich",374,,232,227,374,http://www.bach-chorales.com/BWV0374.htm,135.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000444
276,375,58,276,276,276,"Lobt Gott, ihr Christen, allzugleich","Herman, Nikolaus","Kommt her, ihr lieben Schwesterlein","Herman, Nikolaus*",198,Unknown,"3 (151.5, 195.6, 376)","Lobt Gott, ihr Christen, allzugleich","https://en.wikipedia.org/wiki/Lobt_Gott,_ihr_Christen,_allzugleich",198,"https://en.wikipedia.org/wiki/Kommt_her,_ihr_lieben_Schwesterlein",375,,233,276,375,http://www.bach-chorales.com/BWV0375.htm,127.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000445
342,376,,341,341,342,"Lobt Gott, ihr Christen, allzugleich","Herman, Nikolaus","Kommt her, ihr lieben Schwesterlein","Herman, Nikolaus*",198,Unknown,"3 (151.5, 195.6, 375)","Lobt Gott, ihr Christen, allzugleich","https://en.wikipedia.org/wiki/Lobt_Gott,_ihr_Christen,_allzugleich",198,"https://en.wikipedia.org/wiki/Kommt_her,_ihr_lieben_Schwesterlein",376,,234,341,376,http://www.bach-chorales.com/BWV0376.htm,127.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000446
54,151.5,,54,54,54,"Lobt Gott, ihr Christen, allzugleich (8)","Herman, Nikolaus","Kommt her, ihr lieben Schwesterlein","Herman, Nikolaus*",198,3rd Day of Christmas,"3 (195.6, 375, 376)","Lobt Gott, ihr Christen, allzugleich (v. 8)","https://en.wikipedia.org/wiki/Lobt_Gott,_ihr_Christen,_allzugleich",198,"https://en.wikipedia.org/wiki/Kommt_her,_ihr_lieben_Schwesterlein",151/5,https://en.wikipedia.org/wiki/BWV_151,235,54,0151_5 ,http://www.bach-chorales.com/BWV0151_5.htm,127.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011307
,,,,,,,,,,,,,Nun danket all und bringet Ehr (v. 1),https://en.wikipedia.org/wiki/Nun_danket_all_und_bringet_Ehr,198,"https://en.wikipedia.org/wiki/Kommt_her,_ihr_lieben_Schwesterlein",195/6,https://en.wikipedia.org/wiki/BWV_195,236,,0195_6 ,http://www.bach-chorales.com/BWV0195_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
44,377,,44,44,44,"Machs mit mir, Gott, nach deiner Güt","Schein, Johann Hermann","Machs mit mir, Gott, nach deiner Güt","Schein, Johann Hermann",2383,Unknown,"2 (139.6, 245.22)","Machs mit mir, Gott, nach deiner Güt",,2383,,377,,237,44,377,http://www.bach-chorales.com/BWV0377.htm,137.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000447
,,,,,,,,,,,,,"Wohl dem, der sich auf seinen Gott (v. 5)",,2383,,139/6,https://en.wikipedia.org/wiki/BWV_139,238,,0139_6 ,http://www.bach-chorales.com/BWV0139_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
310,245.22,,309,309,310,"Durch dein Gefängis, Gottes Sohn","Postel, Christian Heinrich","Machs mit mir, Gott, nach deiner Güt","Schein, Johann Hermann",2383,Good Friday,"2 (139.6, 377)","Durch dein Gefängnis, Gottes Sohn (1 v.)","https://en.wikipedia.org/wiki/Durch_dein_Gefängnis,_Gottes_Sohn",2383,,245/22,https://en.wikipedia.org/wiki/BWV_245,239,309,0245_22 ,http://www.bach-chorales.com/BWV0245_22.htm,137.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011275
258,378,,258,258,258,Mein Augen schließ ich jetzt,"Löwenstern, Matthäus Apelles von",Mein Augen schließ ich jetzt,"Löwenstern, Matthäus Apelles von",1067,Unknown,0,Mein Augen schließ ich jetzt,https://en.wikipedia.org/wiki/Mein_Augen_schließ_ich_jetzt,1067,https://en.wikipedia.org/wiki/Mein_Augen_schließ_ich_jetzt_in_Gottes_Namen_zu,378,,240,258,378,http://www.bach-chorales.com/BWV0378.htm,138.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000448
151,379,,151,151,151,Meinen Jesum lass ich nicht,"Keymann, Christian",Jesus ist mein Aufenthalt,Lüneburg 1686,3448a,Unknown,0,"Meinen Jesum laß ich nicht, Jesus ...",,3448a,,379,,241,151,379,http://www.bach-chorales.com/BWV0379.htm,122.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000449
299,380,86,298,298,299,Meinen Jesum lass ich nicht,"Keymann, Christian",Meinen Jesum lass ich nicht,"Hammerschmidt, Andreas",3449,Unknown,"5 (70.11, 124.6, 154.8, 157.5, 244b.29)","Meinen Jesum laß ich nicht, weil ...","https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht,_weil",3449,https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht#Music,380,,242,298,380,http://www.bach-chorales.com/BWV0380.htm,141.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000450
348,70.11,,347,347,348,Meinen Jesum lass ich nicht (5),"Keymann, Christian",Meinen Jesum lass ich nicht,"Hammerschmidt, Andreas",3449,26th Sunday after Trinity,"5 (124.6, 154.8, 157.5, 244b.29, 380)","Meinen Jesum laß ich nicht, weil ... (v. 5)",https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht,3449,https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht#Music,70/11,https://en.wikipedia.org/wiki/BWV_70,243,347,0070_11 ,http://www.bach-chorales.com/BWV0070_11.htm,141.4b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011308
152,154.8,129,152,152,152,Meinen Jesum lass ich nicht (6),"Keymann, Christian",Meinen Jesum lass ich nicht,"Hammerschmidt, Andreas",3449,1st Sunday after Epiphany,"5 (70.11, 124.6, 157.5, 244b.29, 380)","Meinen Jesum laß ich nicht, weil ... (v. 6)","https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht,_weil",3449,https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht#Music,154/8,https://en.wikipedia.org/wiki/BWV_154,244,152,0154_8 ,http://www.bach-chorales.com/BWV0154_8.htm,141.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011251
,,,,,,,,,,,,,"Meinen Jesum laß ich nicht, weil ... (v. 6)","https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht,_weil",3449,https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht#Music,157/5,https://en.wikipedia.org/wiki/BWV_157,245,,0157_5 ,http://www.bach-chorales.com/BWV0157_5.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
,,,,,,,,,,,,,"Meinen Jesum laß ich nicht, weil ... (v. 6)","https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht,_weil",3449,https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht#Music,124/6,https://en.wikipedia.org/wiki/BWV_124,246,,0124_6 ,http://www.bach-chorales.com/BWV0124_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
,,,,,,,,,,,,,"Meinen Jesum laß ich nicht, weil ... (v. 6)","https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht,_weil",3449,https://en.wikipedia.org/wiki/Meinen_Jesum_laß_ich_nicht#Music,244b/29,https://en.wikipedia.org/wiki/BWV_244b,247,,0244b_29 ,http://www.bach-chorales.com/BWV0244b_29.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
346,381,,345,345,346,Meines Lebens letzte Zeit,Gotha 1726,Meines Lebens letzte Zeit,Gotha 1726,6380,Unknown,0,Meines Lebens letzte Zeit,,6380,,381,,248,345,381,http://www.bach-chorales.com/BWV0381.htm,142.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000451
49,382,51,49,49,49,Mit Fried und Freud ich fahr dahin,"Luther, Martin",Mit Fried und Freud ich fahr dahin,Wittenberg 1524,3986,Unknown,"2 (83.5, 125.6)",Mit Fried und Freud ich fahr dahin,https://en.wikipedia.org/wiki/Mit_Fried_und_Freud_ich_fahr_dahin,3986,https://en.wikipedia.org/wiki/Mit_Fried_und_Freud_ich_fahr_dahin,382,,249,49,382,http://www.bach-chorales.com/BWV0382.htm,144.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000452
325,83.5,,324,324,325,Mit Fried und Freud ich fahr dahin (4),"Luther, Martin",Mit Fried und Freud ich fahr dahin,Wittenberg 1524,3986,Feast of the Purification of Mary,"2 (125.6, 382)",Mit Fried und Freud ich fahr dahin (v. 4),https://en.wikipedia.org/wiki/Mit_Fried_und_Freud_ich_fahr_dahin,3986,https://en.wikipedia.org/wiki/Mit_Fried_und_Freud_ich_fahr_dahin,83/5,https://en.wikipedia.org/wiki/BWV_83,250,324,0083_5 ,http://www.bach-chorales.com/BWV0083_5.htm,144.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011309
,,,,,,,,,,,,,Mit Fried und Freud ich fahr dahin (v. 4),https://en.wikipedia.org/wiki/Mit_Fried_und_Freud_ich_fahr_dahin,3986,https://en.wikipedia.org/wiki/Mit_Fried_und_Freud_ich_fahr_dahin,125/6,https://en.wikipedia.org/wiki/BWV_125,251,,0125_6 ,http://www.bach-chorales.com/BWV0125_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
214,383,,214,214,214,Mitten wir im Leben sind,Salzburg 1456,Mitten wir im Leben sind,"Walter, Johann*",8502,Unknown,0,Mitten wir im Leben sind,https://en.wikipedia.org/wiki/Mitten_wir_im_Leben_sind,8502,https://en.wikipedia.org/wiki/Mitten_wir_im_Leben_sind,383,,252,214,383,http://www.bach-chorales.com/BWV0383.htm,145.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000453
149,384,,149,149,149,"Nicht so traurig, nicht so sehr","Gerhardt, Paul","Nicht so traurig, nicht so sehr","Bach, J.S.?",3355,Unknown,0,"Nicht so traurig, nicht so sehr",,3355,,384,,253,149,384,http://www.bach-chorales.com/BWV0384.htm,146.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000454
36,385,109,36,36,36,Nun bitten wir den Heiligen Geist,"Luther, Martin",Nun bitten wir den Heiligen Geist,Wittenberg 1524*,2029,Unknown,"2 (169.7, 197.5)",Nun bitten wir den Heiligen Geist,https://en.wikipedia.org/wiki/Nun_bitten_wir_den_Heiligen_Geist,2029,https://en.wikipedia.org/wiki/Nun_bitten_wir_den_Heiligen_Geist,385,,254,36,385,http://www.bach-chorales.com/BWV0385.htm,147.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000455
84,197.05,,83,83,84,Nun bitten wir den Heiligen Geist (3),"Luther, Martin",Nun bitten wir den Heiligen Geist,Wittenberg 1524*,2029,Wedding,"2 (169.7, 385)",Nun bitten wir den Heiligen Geist (v. 3),https://en.wikipedia.org/wiki/Nun_bitten_wir_den_Heiligen_Geist,2029,https://en.wikipedia.org/wiki/Nun_bitten_wir_den_Heiligen_Geist,197/5,https://en.wikipedia.org/wiki/BWV_197,255,83,0197_5 ,http://www.bach-chorales.com/BWV0197_5.htm,147.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011328
97,169.7,36,97,97,97,Nun bitten wir den Heiligen Geist (3),"Luther, Martin",Nun bitten wir den Heiligen Geist,Wittenberg 1524*,2029,18th Sunday after Trinity,"2 (197.5, 385)",Nun bitten wir den Heiligen Geist (v. 3),https://en.wikipedia.org/wiki/Nun_bitten_wir_den_Heiligen_Geist,2029,https://en.wikipedia.org/wiki/Nun_bitten_wir_den_Heiligen_Geist,169/7,https://en.wikipedia.org/wiki/BWV_169,256,97,0169_7 ,http://www.bach-chorales.com/BWV0169_7.htm,147.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011196
32,386,149,32,32,32,Nun danket alle Gott,"Rinckart, Martin",Nun danket alle Gott,"Crüger, Johann",5142,Unknown,"2 (79.3, 252)",Nun danket alle Gott,https://en.wikipedia.org/wiki/Nun_danket_alle_Gott,5142,https://en.wikipedia.org/wiki/Nun_danket_alle_Gott#Melody,386,,257,32,0386; Leuthen Chorale ,http://www.bach-chorales.com/BWV0386.htm || https://en.wikipedia.org/wiki/Leuthen_Chorale,148.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000456
330,252,,329,329,330,Nun danket alle Gott,"Rinckart, Martin",Nun danket alle Gott,"Crüger, Johann",5142,Wedding,"2 (79.3, 386)",Nun danket alle Gott,https://en.wikipedia.org/wiki/Nun_danket_alle_Gott,5142,https://en.wikipedia.org/wiki/Nun_danket_alle_Gott#Melody,252,,258,329,0252; Three Wedding Chorales No. 3 ,http://www.bach-chorales.com/BWV0252.htm,148.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000322
,,,,,,,,,,,,,Nun danket alle Gott (v. 1),https://en.wikipedia.org/wiki/Nun_danket_alle_Gott,5142,https://en.wikipedia.org/wiki/Nun_danket_alle_Gott#Melody,79/3,https://en.wikipedia.org/wiki/BWV_79,259,,0079_3 ,http://www.bach-chorales.com/BWV0079_3.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
185,387,,185,185,185,"Nun freut euch, Gottes Kinder all","Alber, Erasmus","Ihr lieben Christen, freut euch nun",Wittenberg 1546,364,Unknown,0,"Nun freut euch, Gottes Kinder all","https://en.wikipedia.org/wiki/Nun_freut_euch,_Gottes_Kinder_all",364,"https://en.wikipedia.org/wiki/Nun_freut_euch,_Gottes_Kinder_all",387,,260,185,387,http://www.bach-chorales.com/BWV0387.htm,106.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000457
183,388,,183,183,183,"Nun freut euch, lieben Christen gmein","Luther, Martin","Nun freut euch, lieben Christen gmein (melody #1)",Nürnberg 1524*,4427,Unknown,0,"Nun freut euch, lieben Christen g'mein","https://en.wikipedia.org/wiki/Nun_freut_euch,_lieben_Christen_g%27mein",4427,"https://en.wikipedia.org/wiki/Nun_freut_euch,_lieben_Christen_gmein_(Zahn_4427)",388,,261,183,388,http://www.bach-chorales.com/BWV0388.htm,149.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000458
260,307,22,260,260,260,Es ist gewisslich an der Zeit,"Ringwaldt, Bartholomäus*","Nun freut euch, lieben Christen gmein (melody #2)",Wittenberg 1529*,4429a,Unknown,1 (248.59),Es ist gewißlich an der Zeit,https://en.wikipedia.org/wiki/Es_ist_gewißlich_an_der_Zeit,4429a,"https://en.wikipedia.org/wiki/Nun_freut_euch,_lieben_Christen_g%27mein_(Zahn_4429a)",307,,262,260,307,http://www.bach-chorales.com/BWV0307.htm,150.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000377
362,248.59,121,361,361,362,Ich steh an deiner Krippen hier (1),"Gerhardt, Paul","Nun freut euch, lieben Christen gmein (melody #2)",Wittenberg 1529*,4429a,Feast of Epiphany,1 (307),Ich steh an deiner Krippen hier (v. 1),https://en.wikipedia.org/wiki/Ich_steh_an_deiner_Krippen_hier,4429a,"https://en.wikipedia.org/wiki/Nun_freut_euch,_lieben_Christen_g%27mein_(Zahn_4429a)",248/59,https://en.wikipedia.org/wiki/BWV_248,263,361,0248_59 ,http://www.bach-chorales.com/BWV0248_59.htm,150.2b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011268
28,36.8,,28,28,28,"Nun komm, der Heiden Heiland (8)","Luther, Martin","Nun komm, der Heiden Heiland",Erfurt 1524*,1174,1st Sunday in Advent,1 (62.6),"Nun komm, der Heiden Heiland (v. 8)","https://en.wikipedia.org/wiki/Nun_komm,_der_Heiden_Heiland",1174,"https://en.wikipedia.org/wiki/Nun_komm,_der_Heiden_Heiland",36/8,https://en.wikipedia.org/wiki/BWV_36,264,28,0036_8 ,http://www.bach-chorales.com/BWV0036_8.htm,151.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011329
170,62.6,96,170,170,170,"Nun komm, der Heiden Heiland (8)","Luther, Martin","Nun komm, der Heiden Heiland",Erfurt 1524*,1174,1st Sunday after Advent,1 (36.8),"Nun komm, der Heiden Heiland (v. 8)","https://en.wikipedia.org/wiki/Nun_komm,_der_Heiden_Heiland",1174,"https://en.wikipedia.org/wiki/Nun_komm,_der_Heiden_Heiland",62/6,https://en.wikipedia.org/wiki/BWV_62,265,170,0062_6 ,http://www.bach-chorales.com/BWV0062_6.htm,151.1a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011234
,,,,,,,,,,,,,Nun laßt uns Gott dem Herren (v. 5),https://en.wikipedia.org/wiki/Nun_laßt_uns_Gott_dem_Herren,159,https://en.wikipedia.org/wiki/Nun_laßt_uns_Gott_dem_Herren,165/6,https://en.wikipedia.org/wiki/BWV_165,266,,0165_6 ,http://www.bach-chorales.com/BWV0165_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
,,,,,,,,,,,,,Nun laßt uns Gott dem Herren (v. 8),https://en.wikipedia.org/wiki/Nun_laßt_uns_Gott_dem_Herren,159,https://en.wikipedia.org/wiki/Nun_laßt_uns_Gott_dem_Herren,79/6,https://en.wikipedia.org/wiki/BWV_79,267,,0079_6 ,http://www.bach-chorales.com/BWV0079_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
93,194.12,19,93 =257,93,93 =257,"Wach auf, mein Herz, und singe (9,10)","Gerhardt, Paul",Nun lasst uns Gott dem Herren,"Selnecker, Nikolaus",159,Dedication of Church and Organ,"2 (79.6, 165.6)","Wach auf, mein Herz, und singe (vv. 9–10) ","https://en.wikipedia.org/wiki/Wach_auf,_mein_Herz,_und_singe",159,https://en.wikipedia.org/wiki/Nun_laßt_uns_Gott_dem_Herren,194/12 ,https://en.wikipedia.org/wiki/BWV_194,268,93,0194_12 ,http://www.bach-chorales.com/BWV0194_12.htm,152.2a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011185
268,389,39,268,268,268,"Nun lob, mein Seel, den Herren","Gramann, Johann","Nun lob, mein Seel, den Herren","Kugelmann, Hans*",8244,Unknown,"4 (17.7, 29.8, 167.5, 390)","Nun lob, mein Seel, den Herren","https://en.wikipedia.org/wiki/Nun_lob,_mein_Seel,_den_Herren",8244,"https://en.wikipedia.org/wiki/Nun_lob,_mein_Seel,_den_Herren",389,,269,268,389,http://www.bach-chorales.com/BWV0389.htm,153.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000459
296,390,81,295,295,296,"Nun lob, mein Seel, den Herren","Gramann, Johann","Nun lob, mein Seel, den Herren","Kugelmann, Hans*",8244,Unknown,"4 (17.7, 29.8, 167.5, 389)","Nun lob, mein Seel, den Herren","https://en.wikipedia.org/wiki/Nun_lob,_mein_Seel,_den_Herren",8244,"https://en.wikipedia.org/wiki/Nun_lob,_mein_Seel,_den_Herren",390,,270,295,390,http://www.bach-chorales.com/BWV0390.htm,153.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000460
